"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",7.65645925696467,2,1,1959,"bottomT","degC"
"mean","stock_area",7.60195647132229,3,1,1959,"bottomT","degC"
"mean","stock_area",7.58137859317618,4,1,1959,"bottomT","degC"
"mean","stock_area",7.55532237482743,5,1,1959,"bottomT","degC"
"mean","stock_area",7.5393936351991,6,1,1959,"bottomT","degC"
"mean","stock_area",7.39560427222453,7,1,1959,"bottomT","degC"
"mean","stock_area",7.20130673968133,8,1,1959,"bottomT","degC"
"mean","stock_area",7.07961016346032,9,1,1959,"bottomT","degC"
"mean","stock_area",7.01520209559867,10,1,1959,"bottomT","degC"
"mean","stock_area",6.96314737948737,11,1,1959,"bottomT","degC"
"mean","stock_area",6.91644876347708,12,1,1959,"bottomT","degC"
"mean","stock_area",6.87037913336442,13,1,1959,"bottomT","degC"
"mean","stock_area",6.83955519126716,14,1,1959,"bottomT","degC"
"mean","stock_area",6.82746673060863,15,1,1959,"bottomT","degC"
"mean","stock_area",6.80355025911089,16,1,1959,"bottomT","degC"
"mean","stock_area",6.79990557256116,17,1,1959,"bottomT","degC"
"mean","stock_area",6.81170132717616,18,1,1959,"bottomT","degC"
"mean","stock_area",6.81537591074554,19,1,1959,"bottomT","degC"
"mean","stock_area",6.81322416211518,20,1,1959,"bottomT","degC"
"mean","stock_area",6.7954573541292,21,1,1959,"bottomT","degC"
"mean","stock_area",6.78976811247812,22,1,1959,"bottomT","degC"
"mean","stock_area",6.78845994828453,23,1,1959,"bottomT","degC"
"mean","stock_area",6.80110455419461,24,1,1959,"bottomT","degC"
"mean","stock_area",6.77676567440302,25,1,1959,"bottomT","degC"
"mean","stock_area",6.7344222890827,26,1,1959,"bottomT","degC"
"mean","stock_area",6.7022491414782,27,1,1959,"bottomT","degC"
"mean","stock_area",6.64607473225661,28,1,1959,"bottomT","degC"
"mean","stock_area",6.60986646397013,29,1,1959,"bottomT","degC"
"mean","stock_area",6.58442628524673,30,1,1959,"bottomT","degC"
"mean","stock_area",6.57138019669224,31,1,1959,"bottomT","degC"
"mean","stock_area",6.5758829075182,1,2,1959,"bottomT","degC"
"mean","stock_area",6.55822415284708,2,2,1959,"bottomT","degC"
"mean","stock_area",6.48501566752582,3,2,1959,"bottomT","degC"
"mean","stock_area",6.42007437580199,4,2,1959,"bottomT","degC"
"mean","stock_area",6.40443604075788,5,2,1959,"bottomT","degC"
"mean","stock_area",6.41947040348203,6,2,1959,"bottomT","degC"
"mean","stock_area",6.42191599563117,7,2,1959,"bottomT","degC"
"mean","stock_area",6.38107558449871,8,2,1959,"bottomT","degC"
"mean","stock_area",6.321115909796,9,2,1959,"bottomT","degC"
"mean","stock_area",6.26590694376872,10,2,1959,"bottomT","degC"
"mean","stock_area",6.19079489966424,11,2,1959,"bottomT","degC"
"mean","stock_area",6.18153482046187,12,2,1959,"bottomT","degC"
"mean","stock_area",6.12158491152414,13,2,1959,"bottomT","degC"
"mean","stock_area",6.07069455573221,14,2,1959,"bottomT","degC"
"mean","stock_area",6.08536554367294,15,2,1959,"bottomT","degC"
"mean","stock_area",6.10084480434269,16,2,1959,"bottomT","degC"
"mean","stock_area",6.0941968053024,17,2,1959,"bottomT","degC"
"mean","stock_area",6.084084582504,18,2,1959,"bottomT","degC"
"mean","stock_area",6.09641873331678,19,2,1959,"bottomT","degC"
"mean","stock_area",6.10614293167876,20,2,1959,"bottomT","degC"
"mean","stock_area",6.04576982407163,21,2,1959,"bottomT","degC"
"mean","stock_area",5.90444312934897,22,2,1959,"bottomT","degC"
"mean","stock_area",5.8343786016056,23,2,1959,"bottomT","degC"
"mean","stock_area",5.7385453376824,24,2,1959,"bottomT","degC"
"mean","stock_area",5.68906387948153,25,2,1959,"bottomT","degC"
"mean","stock_area",5.64539150522845,26,2,1959,"bottomT","degC"
"mean","stock_area",5.59316520060167,27,2,1959,"bottomT","degC"
"mean","stock_area",5.58652682528237,28,2,1959,"bottomT","degC"
"mean","stock_area",5.59536406247712,1,3,1959,"bottomT","degC"
"mean","stock_area",5.59947916769212,2,3,1959,"bottomT","degC"
"mean","stock_area",5.61409017684842,3,3,1959,"bottomT","degC"
"mean","stock_area",5.625716970434,4,3,1959,"bottomT","degC"
"mean","stock_area",5.62806524911796,5,3,1959,"bottomT","degC"
"mean","stock_area",5.63917532787528,6,3,1959,"bottomT","degC"
"mean","stock_area",5.65059029017638,7,3,1959,"bottomT","degC"
"mean","stock_area",5.65767679697248,8,3,1959,"bottomT","degC"
"mean","stock_area",5.65415612739675,9,3,1959,"bottomT","degC"
"mean","stock_area",5.61709140247049,10,3,1959,"bottomT","degC"
"mean","stock_area",5.61077214731088,11,3,1959,"bottomT","degC"
"mean","stock_area",5.59142000336531,12,3,1959,"bottomT","degC"
"mean","stock_area",5.55247563177644,13,3,1959,"bottomT","degC"
"mean","stock_area",5.51120468822233,14,3,1959,"bottomT","degC"
"mean","stock_area",5.45196025536444,15,3,1959,"bottomT","degC"
"mean","stock_area",5.43752784831782,16,3,1959,"bottomT","degC"
"mean","stock_area",5.45263041780327,17,3,1959,"bottomT","degC"
"mean","stock_area",5.47505381423242,18,3,1959,"bottomT","degC"
"mean","stock_area",5.49997240058423,19,3,1959,"bottomT","degC"
"mean","stock_area",5.49188533707313,20,3,1959,"bottomT","degC"
"mean","stock_area",5.46478817657549,21,3,1959,"bottomT","degC"
"mean","stock_area",5.47588715085637,22,3,1959,"bottomT","degC"
"mean","stock_area",5.47255650652089,23,3,1959,"bottomT","degC"
