"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",1.32983901244058,4,9,1997,"chlor_a","m^-3"
"mean","stock_area",1.32190208667436,1,10,1997,"chlor_a","m^-3"
"mean","stock_area",1.12073078729417,1,11,1997,"chlor_a","m^-3"
"mean","stock_area",0.842504406685593,1,12,1997,"chlor_a","m^-3"
"mean","stock_area",0.728201730312541,1,1,1998,"chlor_a","m^-3"
"mean","stock_area",0.642713510962742,1,2,1998,"chlor_a","m^-3"
"mean","stock_area",0.866403633794328,1,3,1998,"chlor_a","m^-3"
"mean","stock_area",1.29383986569892,1,4,1998,"chlor_a","m^-3"
"mean","stock_area",0.904744763707193,1,5,1998,"chlor_a","m^-3"
"mean","stock_area",0.779411791594469,1,6,1998,"chlor_a","m^-3"
"mean","stock_area",0.889423806857792,1,7,1998,"chlor_a","m^-3"
"mean","stock_area",0.904872547443903,1,8,1998,"chlor_a","m^-3"
"mean","stock_area",1.0989372283462,1,9,1998,"chlor_a","m^-3"
"mean","stock_area",1.45147036974495,1,10,1998,"chlor_a","m^-3"
"mean","stock_area",1.23010191561421,1,11,1998,"chlor_a","m^-3"
"mean","stock_area",1.24106874242828,1,12,1998,"chlor_a","m^-3"
"mean","stock_area",0.835947848949078,1,1,1999,"chlor_a","m^-3"
"mean","stock_area",0.9076788450499,1,2,1999,"chlor_a","m^-3"
"mean","stock_area",1.21698040773205,1,3,1999,"chlor_a","m^-3"
"mean","stock_area",1.40731153710397,1,4,1999,"chlor_a","m^-3"
"mean","stock_area",0.990662951024904,1,5,1999,"chlor_a","m^-3"
"mean","stock_area",0.823500782120399,1,6,1999,"chlor_a","m^-3"
"mean","stock_area",0.951709720945824,1,7,1999,"chlor_a","m^-3"
"mean","stock_area",1.06811960695224,1,8,1999,"chlor_a","m^-3"
"mean","stock_area",1.37009033245327,1,9,1999,"chlor_a","m^-3"
"mean","stock_area",1.59250671902787,1,10,1999,"chlor_a","m^-3"
"mean","stock_area",1.30036686747714,1,11,1999,"chlor_a","m^-3"
"mean","stock_area",0.887248725774175,1,12,1999,"chlor_a","m^-3"
"mean","stock_area",0.717624467362322,1,1,2000,"chlor_a","m^-3"
"mean","stock_area",0.704510317489209,1,2,2000,"chlor_a","m^-3"
"mean","stock_area",1.1653058144128,1,3,2000,"chlor_a","m^-3"
"mean","stock_area",1.57184967801116,1,4,2000,"chlor_a","m^-3"
"mean","stock_area",1.18182250842033,1,5,2000,"chlor_a","m^-3"
"mean","stock_area",0.958273081536676,1,6,2000,"chlor_a","m^-3"
"mean","stock_area",1.05879118646107,1,7,2000,"chlor_a","m^-3"
"mean","stock_area",1.15423534916922,1,8,2000,"chlor_a","m^-3"
"mean","stock_area",1.3140305264894,1,9,2000,"chlor_a","m^-3"
"mean","stock_area",1.70357273523872,1,10,2000,"chlor_a","m^-3"
"mean","stock_area",0.990132511310873,1,11,2000,"chlor_a","m^-3"
"mean","stock_area",0.947060435262845,1,12,2000,"chlor_a","m^-3"
"mean","stock_area",0.6655338592806,1,1,2001,"chlor_a","m^-3"
"mean","stock_area",0.834254933373404,1,2,2001,"chlor_a","m^-3"
"mean","stock_area",0.991727238455275,1,3,2001,"chlor_a","m^-3"
"mean","stock_area",1.29774321069441,1,4,2001,"chlor_a","m^-3"
"mean","stock_area",1.02232600393039,1,5,2001,"chlor_a","m^-3"
"mean","stock_area",0.792977181574381,1,6,2001,"chlor_a","m^-3"
"mean","stock_area",0.929282692721601,1,7,2001,"chlor_a","m^-3"
"mean","stock_area",0.982029229402542,1,8,2001,"chlor_a","m^-3"
"mean","stock_area",1.2214879872014,1,9,2001,"chlor_a","m^-3"
"mean","stock_area",1.54353550924757,1,10,2001,"chlor_a","m^-3"
"mean","stock_area",1.06371250906549,1,11,2001,"chlor_a","m^-3"
"mean","stock_area",0.936598202583355,1,12,2001,"chlor_a","m^-3"
"mean","stock_area",0.717983929103726,1,1,2002,"chlor_a","m^-3"
"mean","stock_area",0.732119394238736,1,2,2002,"chlor_a","m^-3"
"mean","stock_area",0.928718433877651,1,3,2002,"chlor_a","m^-3"
"mean","stock_area",1.39155749122205,1,4,2002,"chlor_a","m^-3"
"mean","stock_area",1.53352346188246,1,5,2002,"chlor_a","m^-3"
"mean","stock_area",1.1395802893128,1,6,2002,"chlor_a","m^-3"
"mean","stock_area",1.00830541816005,1,7,2002,"chlor_a","m^-3"
