"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",9.89189834151967,1,1,2021,"bottomT","degC"
"mean","stock_area",9.87666181903614,2,1,2021,"bottomT","degC"
"mean","stock_area",9.85538387335895,3,1,2021,"bottomT","degC"
"mean","stock_area",9.81349624192024,4,1,2021,"bottomT","degC"
"mean","stock_area",9.76498298938534,5,1,2021,"bottomT","degC"
"mean","stock_area",9.7098093346251,6,1,2021,"bottomT","degC"
"mean","stock_area",9.67326545466591,7,1,2021,"bottomT","degC"
"mean","stock_area",9.64260748767206,8,1,2021,"bottomT","degC"
"mean","stock_area",9.63618436479046,9,1,2021,"bottomT","degC"
"mean","stock_area",9.60885621734006,10,1,2021,"bottomT","degC"
"mean","stock_area",9.58405474218529,11,1,2021,"bottomT","degC"
"mean","stock_area",9.57747115750579,12,1,2021,"bottomT","degC"
"mean","stock_area",9.56599237400228,13,1,2021,"bottomT","degC"
"mean","stock_area",9.5640304010239,14,1,2021,"bottomT","degC"
"mean","stock_area",9.56713517755659,15,1,2021,"bottomT","degC"
"mean","stock_area",9.55351216356519,16,1,2021,"bottomT","degC"
"mean","stock_area",9.54802283223371,17,1,2021,"bottomT","degC"
"mean","stock_area",9.56318677112219,18,1,2021,"bottomT","degC"
"mean","stock_area",9.56617691396237,19,1,2021,"bottomT","degC"
"mean","stock_area",9.58078147498157,20,1,2021,"bottomT","degC"
"mean","stock_area",9.57872476363841,21,1,2021,"bottomT","degC"
"mean","stock_area",9.57783183046599,22,1,2021,"bottomT","degC"
"mean","stock_area",9.57570480666064,23,1,2021,"bottomT","degC"
"mean","stock_area",9.52323474533308,24,1,2021,"bottomT","degC"
"mean","stock_area",9.48078583924796,25,1,2021,"bottomT","degC"
"mean","stock_area",9.46944192964457,26,1,2021,"bottomT","degC"
"mean","stock_area",9.46372641320644,27,1,2021,"bottomT","degC"
"mean","stock_area",9.43736798563038,28,1,2021,"bottomT","degC"
"mean","stock_area",9.38829842034142,29,1,2021,"bottomT","degC"
"mean","stock_area",9.30534118528968,30,1,2021,"bottomT","degC"
"mean","stock_area",9.24982978293967,31,1,2021,"bottomT","degC"
"mean","stock_area",9.20245284529235,1,2,2021,"bottomT","degC"
"mean","stock_area",9.15685711966621,2,2,2021,"bottomT","degC"
"mean","stock_area",9.11982609134947,3,2,2021,"bottomT","degC"
"mean","stock_area",9.104492521684,4,2,2021,"bottomT","degC"
"mean","stock_area",9.08085409078862,5,2,2021,"bottomT","degC"
"mean","stock_area",9.08831226272265,6,2,2021,"bottomT","degC"
"mean","stock_area",9.09822566993049,7,2,2021,"bottomT","degC"
"mean","stock_area",9.09130126570561,8,2,2021,"bottomT","degC"
"mean","stock_area",9.08706515645011,9,2,2021,"bottomT","degC"
"mean","stock_area",9.0840008995094,10,2,2021,"bottomT","degC"
"mean","stock_area",9.05464467644132,11,2,2021,"bottomT","degC"
"mean","stock_area",9.01943996590628,12,2,2021,"bottomT","degC"
"mean","stock_area",8.97316111222368,13,2,2021,"bottomT","degC"
"mean","stock_area",8.94753740016657,14,2,2021,"bottomT","degC"
"mean","stock_area",8.93436525175207,15,2,2021,"bottomT","degC"
"mean","stock_area",8.90913394632971,16,2,2021,"bottomT","degC"
"mean","stock_area",8.90730110754492,17,2,2021,"bottomT","degC"
"mean","stock_area",8.87713143784489,18,2,2021,"bottomT","degC"
"mean","stock_area",8.83400625988538,19,2,2021,"bottomT","degC"
"mean","stock_area",8.80737386473654,20,2,2021,"bottomT","degC"
"mean","stock_area",8.78343054212253,21,2,2021,"bottomT","degC"
"mean","stock_area",8.75750500420823,22,2,2021,"bottomT","degC"
"mean","stock_area",8.76670582417591,23,2,2021,"bottomT","degC"
"mean","stock_area",8.77696844172092,24,2,2021,"bottomT","degC"
"mean","stock_area",8.79510036445124,25,2,2021,"bottomT","degC"
"mean","stock_area",8.81228433702536,26,2,2021,"bottomT","degC"
"mean","stock_area",8.81327353185456,27,2,2021,"bottomT","degC"
"mean","stock_area",8.8401103411482,28,2,2021,"bottomT","degC"
"mean","stock_area",8.8558565628796,1,3,2021,"bottomT","degC"
"mean","stock_area",8.85837827390473,2,3,2021,"bottomT","degC"
"mean","stock_area",8.83582113158535,3,3,2021,"bottomT","degC"
"mean","stock_area",8.86463365122,4,3,2021,"bottomT","degC"
"mean","stock_area",8.88338339509103,5,3,2021,"bottomT","degC"
"mean","stock_area",8.87873768993014,6,3,2021,"bottomT","degC"
"mean","stock_area",8.87610631904443,7,3,2021,"bottomT","degC"
"mean","stock_area",8.87191912552063,8,3,2021,"bottomT","degC"
"mean","stock_area",8.86212226868173,9,3,2021,"bottomT","degC"
"mean","stock_area",8.85311055158536,10,3,2021,"bottomT","degC"
"mean","stock_area",8.85173239991512,11,3,2021,"bottomT","degC"
"mean","stock_area",8.86947613230085,12,3,2021,"bottomT","degC"
"mean","stock_area",8.87920688786852,13,3,2021,"bottomT","degC"
"mean","stock_area",8.88105194980301,14,3,2021,"bottomT","degC"
