"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",7.66822729986266,2,1,1959,"bottomT","degC"
"mean","stock_area",7.61346293586796,3,1,1959,"bottomT","degC"
"mean","stock_area",7.59266289991174,4,1,1959,"bottomT","degC"
"mean","stock_area",7.56641682231494,5,1,1959,"bottomT","degC"
"mean","stock_area",7.55028309188994,6,1,1959,"bottomT","degC"
"mean","stock_area",7.40706299630936,7,1,1959,"bottomT","degC"
"mean","stock_area",7.21348461638473,8,1,1959,"bottomT","degC"
"mean","stock_area",7.09222863851967,9,1,1959,"bottomT","degC"
"mean","stock_area",7.02248607651662,10,1,1959,"bottomT","degC"
"mean","stock_area",6.97060179885498,11,1,1959,"bottomT","degC"
"mean","stock_area",6.92401843343231,12,1,1959,"bottomT","degC"
"mean","stock_area",6.87795611894218,13,1,1959,"bottomT","degC"
"mean","stock_area",6.84702448214158,14,1,1959,"bottomT","degC"
"mean","stock_area",6.83479596181668,15,1,1959,"bottomT","degC"
"mean","stock_area",6.81075733866395,16,1,1959,"bottomT","degC"
"mean","stock_area",6.80948225185696,17,1,1959,"bottomT","degC"
"mean","stock_area",6.82316726318187,18,1,1959,"bottomT","degC"
"mean","stock_area",6.82648022107485,19,1,1959,"bottomT","degC"
"mean","stock_area",6.82407969916608,20,1,1959,"bottomT","degC"
"mean","stock_area",6.80617221654472,21,1,1959,"bottomT","degC"
"mean","stock_area",6.80013597698535,22,1,1959,"bottomT","degC"
"mean","stock_area",6.79816033247501,23,1,1959,"bottomT","degC"
"mean","stock_area",6.81028903292154,24,1,1959,"bottomT","degC"
"mean","stock_area",6.78598879784514,25,1,1959,"bottomT","degC"
"mean","stock_area",6.74361472506981,26,1,1959,"bottomT","degC"
"mean","stock_area",6.71140536507644,27,1,1959,"bottomT","degC"
"mean","stock_area",6.6552470958839,28,1,1959,"bottomT","degC"
"mean","stock_area",6.6188864030407,29,1,1959,"bottomT","degC"
"mean","stock_area",6.59331203167048,30,1,1959,"bottomT","degC"
"mean","stock_area",6.58006867729338,31,1,1959,"bottomT","degC"
"mean","stock_area",6.58442461625331,1,2,1959,"bottomT","degC"
"mean","stock_area",6.56682760526905,2,2,1959,"bottomT","degC"
"mean","stock_area",6.49399150859165,3,2,1959,"bottomT","degC"
"mean","stock_area",6.42678313699819,4,2,1959,"bottomT","degC"
"mean","stock_area",6.41117639326106,5,2,1959,"bottomT","degC"
"mean","stock_area",6.42847556579982,6,2,1959,"bottomT","degC"
"mean","stock_area",6.43061607472973,7,2,1959,"bottomT","degC"
"mean","stock_area",6.38980735244557,8,2,1959,"bottomT","degC"
"mean","stock_area",6.32751700929387,9,2,1959,"bottomT","degC"
"mean","stock_area",6.27236111918343,10,2,1959,"bottomT","degC"
"mean","stock_area",6.19716498415957,11,2,1959,"bottomT","degC"
"mean","stock_area",6.18780577068081,12,2,1959,"bottomT","degC"
"mean","stock_area",6.12783698827855,13,2,1959,"bottomT","degC"
"mean","stock_area",6.07696711551029,14,2,1959,"bottomT","degC"
"mean","stock_area",6.09167788615302,15,2,1959,"bottomT","degC"
"mean","stock_area",6.1069665357226,16,2,1959,"bottomT","degC"
"mean","stock_area",6.10252234538846,17,2,1959,"bottomT","degC"
"mean","stock_area",6.0923287395447,18,2,1959,"bottomT","degC"
"mean","stock_area",6.10451087595247,19,2,1959,"bottomT","degC"
"mean","stock_area",6.11411679958177,20,2,1959,"bottomT","degC"
"mean","stock_area",6.05185473025958,21,2,1959,"bottomT","degC"
"mean","stock_area",5.9086085768784,22,2,1959,"bottomT","degC"
"mean","stock_area",5.83866040299578,23,2,1959,"bottomT","degC"
"mean","stock_area",5.74283395059804,24,2,1959,"bottomT","degC"
"mean","stock_area",5.69319790534151,25,2,1959,"bottomT","degC"
"mean","stock_area",5.64954392700628,26,2,1959,"bottomT","degC"
"mean","stock_area",5.59739078130754,27,2,1959,"bottomT","degC"
"mean","stock_area",5.59073054229909,28,2,1959,"bottomT","degC"
"mean","stock_area",5.59953507287702,1,3,1959,"bottomT","degC"
"mean","stock_area",5.60358906413963,2,3,1959,"bottomT","degC"
"mean","stock_area",5.6181483630961,3,3,1959,"bottomT","degC"
"mean","stock_area",5.62985536001382,4,3,1959,"bottomT","degC"
