"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",32.5039948681011,1,1,1993,"bottomS","1e-3"
"mean","stock_area",32.5725998396345,1,2,1993,"bottomS","1e-3"
"mean","stock_area",32.4661531510838,1,3,1993,"bottomS","1e-3"
"mean","stock_area",32.3113827592659,1,4,1993,"bottomS","1e-3"
"mean","stock_area",31.9794937585773,1,5,1993,"bottomS","1e-3"
"mean","stock_area",31.6779985517493,1,6,1993,"bottomS","1e-3"
"mean","stock_area",31.8192572380464,1,7,1993,"bottomS","1e-3"
"mean","stock_area",32.0543071537132,1,8,1993,"bottomS","1e-3"
"mean","stock_area",32.193814318121,1,9,1993,"bottomS","1e-3"
"mean","stock_area",32.4942608542403,1,10,1993,"bottomS","1e-3"
"mean","stock_area",32.5165512690141,1,11,1993,"bottomS","1e-3"
"mean","stock_area",32.6210878617198,1,12,1993,"bottomS","1e-3"
"mean","stock_area",32.6542183265697,1,1,1994,"bottomS","1e-3"
"mean","stock_area",32.6906802341219,1,2,1994,"bottomS","1e-3"
"mean","stock_area",32.5141978881801,1,3,1994,"bottomS","1e-3"
"mean","stock_area",32.141970294658,1,4,1994,"bottomS","1e-3"
"mean","stock_area",32.1326960908895,1,5,1994,"bottomS","1e-3"
"mean","stock_area",31.9832005708586,1,6,1994,"bottomS","1e-3"
"mean","stock_area",32.2669605357258,1,7,1994,"bottomS","1e-3"
"mean","stock_area",32.6017901383381,1,8,1994,"bottomS","1e-3"
"mean","stock_area",32.7807210989061,1,9,1994,"bottomS","1e-3"
"mean","stock_area",32.8256392276583,1,10,1994,"bottomS","1e-3"
"mean","stock_area",32.9331137462411,1,11,1994,"bottomS","1e-3"
"mean","stock_area",32.9670457310298,1,12,1994,"bottomS","1e-3"
"mean","stock_area",32.7950172858916,1,1,1995,"bottomS","1e-3"
"mean","stock_area",32.8494694437338,1,2,1995,"bottomS","1e-3"
"mean","stock_area",32.8356396586289,1,3,1995,"bottomS","1e-3"
"mean","stock_area",32.603062679407,1,4,1995,"bottomS","1e-3"
"mean","stock_area",32.3193905193967,1,5,1995,"bottomS","1e-3"
"mean","stock_area",31.8497614288765,1,6,1995,"bottomS","1e-3"
"mean","stock_area",31.927012522042,1,7,1995,"bottomS","1e-3"
"mean","stock_area",32.4363635287805,1,8,1995,"bottomS","1e-3"
"mean","stock_area",32.7758052052341,1,9,1995,"bottomS","1e-3"
