"MONTH","YEAR","STATISTIC","AREA","DATA_VALUE","INDICATOR_NAME","INDICATOR_UNITS"
1,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.15176510319004,"bottomT","degC"
2,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",7.90216418395438,"bottomT","degC"
3,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",7.74096655679575,"bottomT","degC"
4,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.17964079738737,"bottomT","degC"
5,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",8.56507794896316,"bottomT","degC"
6,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.02250268159919,"bottomT","degC"
7,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.49568810323916,"bottomT","degC"
8,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",9.89986399660834,"bottomT","degC"
9,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",10.6372528255845,"bottomT","degC"
10,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",11.4337571390644,"bottomT","degC"
11,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",11.2922014610429,"bottomT","degC"
12,"C:/Users/stephanie.owen/Documents/READ-EDAB-stockESP/data-raw/2026/glorys_2021_2026.nc","mean","stock_area",10.1820030610994,"bottomT","degC"
