"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",8.47125282498826,2,1,1959,"bottomT","degC"
"mean","stock_area",8.40333276299834,3,1,1959,"bottomT","degC"
"mean","stock_area",8.3930312248659,4,1,1959,"bottomT","degC"
"mean","stock_area",8.3714053654049,5,1,1959,"bottomT","degC"
"mean","stock_area",8.33669203974861,6,1,1959,"bottomT","degC"
"mean","stock_area",8.10344129742746,7,1,1959,"bottomT","degC"
"mean","stock_area",7.85330145411521,8,1,1959,"bottomT","degC"
"mean","stock_area",7.70300606549161,9,1,1959,"bottomT","degC"
"mean","stock_area",7.61418645710729,10,1,1959,"bottomT","degC"
"mean","stock_area",7.51788342798789,11,1,1959,"bottomT","degC"
"mean","stock_area",7.43038564999497,12,1,1959,"bottomT","degC"
"mean","stock_area",7.34658733621791,13,1,1959,"bottomT","degC"
"mean","stock_area",7.3107324232598,14,1,1959,"bottomT","degC"
"mean","stock_area",7.28765865837008,15,1,1959,"bottomT","degC"
"mean","stock_area",7.26038798720022,16,1,1959,"bottomT","degC"
"mean","stock_area",7.27293295197389,17,1,1959,"bottomT","degC"
"mean","stock_area",7.28840150447033,18,1,1959,"bottomT","degC"
"mean","stock_area",7.24955140189776,19,1,1959,"bottomT","degC"
"mean","stock_area",7.24759127833313,20,1,1959,"bottomT","degC"
"mean","stock_area",7.22784923036718,21,1,1959,"bottomT","degC"
"mean","stock_area",7.24881852493838,22,1,1959,"bottomT","degC"
"mean","stock_area",7.28935453571065,23,1,1959,"bottomT","degC"
"mean","stock_area",7.33202023867427,24,1,1959,"bottomT","degC"
"mean","stock_area",7.31161254011259,25,1,1959,"bottomT","degC"
"mean","stock_area",7.28541288092629,26,1,1959,"bottomT","degC"
"mean","stock_area",7.27775564049865,27,1,1959,"bottomT","degC"
"mean","stock_area",7.19620982331348,28,1,1959,"bottomT","degC"
"mean","stock_area",7.14072856327635,29,1,1959,"bottomT","degC"
"mean","stock_area",7.10082889300034,30,1,1959,"bottomT","degC"
"mean","stock_area",7.09321417020298,31,1,1959,"bottomT","degC"
"mean","stock_area",7.13085598888673,1,2,1959,"bottomT","degC"
"mean","stock_area",7.10568449618605,2,2,1959,"bottomT","degC"
"mean","stock_area",6.99916905123509,3,2,1959,"bottomT","degC"
"mean","stock_area",6.88702891698654,4,2,1959,"bottomT","degC"
"mean","stock_area",6.87532812705361,5,2,1959,"bottomT","degC"
"mean","stock_area",6.93081848631112,6,2,1959,"bottomT","degC"
"mean","stock_area",6.9377353485183,7,2,1959,"bottomT","degC"
"mean","stock_area",6.8632717776396,8,2,1959,"bottomT","degC"
"mean","stock_area",6.78906547775808,9,2,1959,"bottomT","degC"
"mean","stock_area",6.75179415635622,10,2,1959,"bottomT","degC"
"mean","stock_area",6.65570183053786,11,2,1959,"bottomT","degC"
"mean","stock_area",6.68288265875054,12,2,1959,"bottomT","degC"
"mean","stock_area",6.61950018819153,13,2,1959,"bottomT","degC"
"mean","stock_area",6.52696997274564,14,2,1959,"bottomT","degC"
"mean","stock_area",6.56988682517177,15,2,1959,"bottomT","degC"
"mean","stock_area",6.5940743858389,16,2,1959,"bottomT","degC"
"mean","stock_area",6.57388673949144,17,2,1959,"bottomT","degC"
"mean","stock_area",6.51568423249566,18,2,1959,"bottomT","degC"
"mean","stock_area",6.52534437142066,19,2,1959,"bottomT","degC"
"mean","stock_area",6.52110269811918,20,2,1959,"bottomT","degC"
"mean","stock_area",6.4188144917758,21,2,1959,"bottomT","degC"
"mean","stock_area",6.29285630493681,22,2,1959,"bottomT","degC"
"mean","stock_area",6.23844632139125,23,2,1959,"bottomT","degC"
"mean","stock_area",6.16757843961328,24,2,1959,"bottomT","degC"
"mean","stock_area",6.11948898749684,25,2,1959,"bottomT","degC"
"mean","stock_area",6.06271816159018,26,2,1959,"bottomT","degC"
"mean","stock_area",5.98532856910732,27,2,1959,"bottomT","degC"
"mean","stock_area",5.96689041465653,28,2,1959,"bottomT","degC"
"mean","stock_area",5.95999681862767,1,3,1959,"bottomT","degC"
"mean","stock_area",5.94775670411771,2,3,1959,"bottomT","degC"
"mean","stock_area",5.93990116900021,3,3,1959,"bottomT","degC"
"mean","stock_area",5.92159198815965,4,3,1959,"bottomT","degC"
"mean","stock_area",5.89289024191511,5,3,1959,"bottomT","degC"
"mean","stock_area",5.91181708477945,6,3,1959,"bottomT","degC"
"mean","stock_area",5.93467933113062,7,3,1959,"bottomT","degC"
"mean","stock_area",5.94876618171243,8,3,1959,"bottomT","degC"
"mean","stock_area",5.97301675201141,9,3,1959,"bottomT","degC"
"mean","stock_area",5.97503560819203,10,3,1959,"bottomT","degC"
"mean","stock_area",5.98616583588757,11,3,1959,"bottomT","degC"
"mean","stock_area",5.95835787397397,12,3,1959,"bottomT","degC"
"mean","stock_area",5.89563803075799,13,3,1959,"bottomT","degC"
"mean","stock_area",5.82833847810652,14,3,1959,"bottomT","degC"
"mean","stock_area",5.79519437798386,15,3,1959,"bottomT","degC"
"mean","stock_area",5.85343097015204,16,3,1959,"bottomT","degC"
"mean","stock_area",5.90191291055991,17,3,1959,"bottomT","degC"
"mean","stock_area",5.9405418330163,18,3,1959,"bottomT","degC"
"mean","stock_area",5.97572575244922,19,3,1959,"bottomT","degC"
"mean","stock_area",5.95282417826444,20,3,1959,"bottomT","degC"
"mean","stock_area",5.92574469857461,21,3,1959,"bottomT","degC"
"mean","stock_area",5.95662597757352,22,3,1959,"bottomT","degC"
"mean","stock_area",5.96362426943961,23,3,1959,"bottomT","degC"
"mean","stock_area",5.89774162549553,24,3,1959,"bottomT","degC"
"mean","stock_area",5.85531530791472,25,3,1959,"bottomT","degC"
"mean","stock_area",5.89334452692567,26,3,1959,"bottomT","degC"
"mean","stock_area",5.89763740220351,27,3,1959,"bottomT","degC"
"mean","stock_area",5.88323497131104,28,3,1959,"bottomT","degC"
"mean","stock_area",5.85742298540757,29,3,1959,"bottomT","degC"
"mean","stock_area",5.68837481213099,30,3,1959,"bottomT","degC"
"mean","stock_area",5.59266995705271,31,3,1959,"bottomT","degC"
"mean","stock_area",5.60091546706888,1,4,1959,"bottomT","degC"
"mean","stock_area",5.62861000889099,2,4,1959,"bottomT","degC"
"mean","stock_area",5.64510968675812,3,4,1959,"bottomT","degC"
"mean","stock_area",5.67516317009663,4,4,1959,"bottomT","degC"
"mean","stock_area",5.74271121930986,5,4,1959,"bottomT","degC"
"mean","stock_area",5.80336259638805,6,4,1959,"bottomT","degC"
"mean","stock_area",5.84613076229853,7,4,1959,"bottomT","degC"
