"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","GOM",1.45672225096856,4,9,1997,"chlor_a","m^-3"
"mean","GOM",1.28784305332296,1,10,1997,"chlor_a","m^-3"
"mean","GOM",0.978056708709016,1,11,1997,"chlor_a","m^-3"
"mean","GOM",0.717437096808799,1,12,1997,"chlor_a","m^-3"
"mean","GOM",0.611266372753217,1,1,1998,"chlor_a","m^-3"
"mean","GOM",0.594471885783818,1,2,1998,"chlor_a","m^-3"
"mean","GOM",0.820640611258319,1,3,1998,"chlor_a","m^-3"
"mean","GOM",1.44959449743153,1,4,1998,"chlor_a","m^-3"
"mean","GOM",0.907377868088871,1,5,1998,"chlor_a","m^-3"
"mean","GOM",0.670509116650557,1,6,1998,"chlor_a","m^-3"
"mean","GOM",0.871446898332471,1,7,1998,"chlor_a","m^-3"
"mean","GOM",0.889506886240166,1,8,1998,"chlor_a","m^-3"
"mean","GOM",1.06254146998191,1,9,1998,"chlor_a","m^-3"
"mean","GOM",1.56362288962296,1,10,1998,"chlor_a","m^-3"
"mean","GOM",1.33236529885413,1,11,1998,"chlor_a","m^-3"
"mean","GOM",1.42274064691061,1,12,1998,"chlor_a","m^-3"
"mean","GOM",0.800304739693007,1,1,1999,"chlor_a","m^-3"
"mean","GOM",0.871717036351585,1,2,1999,"chlor_a","m^-3"
"mean","GOM",1.01909003361116,1,3,1999,"chlor_a","m^-3"
"mean","GOM",1.53200197996355,1,4,1999,"chlor_a","m^-3"
"mean","GOM",0.986855234743713,1,5,1999,"chlor_a","m^-3"
"mean","GOM",0.696091094176264,1,6,1999,"chlor_a","m^-3"
"mean","GOM",1.02090930624971,1,7,1999,"chlor_a","m^-3"
"mean","GOM",1.23134127918002,1,8,1999,"chlor_a","m^-3"
"mean","GOM",1.35772392490031,1,9,1999,"chlor_a","m^-3"
"mean","GOM",1.76496479672822,1,10,1999,"chlor_a","m^-3"
"mean","GOM",1.51852637546385,1,11,1999,"chlor_a","m^-3"
"mean","GOM",0.855993901502922,1,12,1999,"chlor_a","m^-3"
"mean","GOM",0.636820973898997,1,1,2000,"chlor_a","m^-3"
"mean","GOM",0.572542227371488,1,2,2000,"chlor_a","m^-3"
"mean","GOM",0.914819922760229,1,3,2000,"chlor_a","m^-3"
"mean","GOM",1.53806373532861,1,4,2000,"chlor_a","m^-3"
"mean","GOM",1.21130195113454,1,5,2000,"chlor_a","m^-3"
"mean","GOM",0.905177218523503,1,6,2000,"chlor_a","m^-3"
"mean","GOM",0.791904384964864,1,7,2000,"chlor_a","m^-3"
"mean","GOM",1.18979040511243,1,8,2000,"chlor_a","m^-3"
"mean","GOM",1.46333950825308,1,9,2000,"chlor_a","m^-3"
"mean","GOM",1.92956532091753,1,10,2000,"chlor_a","m^-3"
"mean","GOM",1.02487120512331,1,11,2000,"chlor_a","m^-3"
"mean","GOM",0.909113468938896,1,12,2000,"chlor_a","m^-3"
"mean","GOM",0.609286733436472,1,1,2001,"chlor_a","m^-3"
"mean","GOM",0.754839898819183,1,2,2001,"chlor_a","m^-3"
"mean","GOM",0.858046923353862,1,3,2001,"chlor_a","m^-3"
"mean","GOM",1.29042851137972,1,4,2001,"chlor_a","m^-3"
"mean","GOM",0.902383279346699,1,5,2001,"chlor_a","m^-3"
"mean","GOM",0.658353470793066,1,6,2001,"chlor_a","m^-3"
"mean","GOM",0.814935218542814,1,7,2001,"chlor_a","m^-3"
"mean","GOM",0.933989734386228,1,8,2001,"chlor_a","m^-3"
"mean","GOM",1.24033412396103,1,9,2001,"chlor_a","m^-3"
"mean","GOM",1.58589351307228,1,10,2001,"chlor_a","m^-3"
"mean","GOM",1.14199350201762,1,11,2001,"chlor_a","m^-3"
"mean","GOM",1.00120005688779,1,12,2001,"chlor_a","m^-3"
"mean","GOM",0.669461382951082,1,1,2002,"chlor_a","m^-3"
"mean","GOM",0.66458905662035,1,2,2002,"chlor_a","m^-3"
"mean","GOM",0.724841267373524,1,3,2002,"chlor_a","m^-3"
"mean","GOM",1.28558104095226,1,4,2002,"chlor_a","m^-3"
"mean","GOM",1.70887821071614,1,5,2002,"chlor_a","m^-3"
"mean","GOM",1.12395284303707,1,6,2002,"chlor_a","m^-3"
"mean","GOM",0.977097422631713,1,7,2002,"chlor_a","m^-3"
"mean","GOM",1.00338791157965,1,8,2002,"chlor_a","m^-3"
"mean","GOM",1.65966552254024,1,9,2002,"chlor_a","m^-3"
"mean","GOM",1.51089014540843,1,10,2002,"chlor_a","m^-3"
"mean","GOM",0.899471166925731,1,11,2002,"chlor_a","m^-3"
"mean","GOM",0.698564363037409,1,12,2002,"chlor_a","m^-3"
"mean","GOM",0.747315448464434,1,1,2003,"chlor_a","m^-3"
"mean","GOM",0.704419529339422,1,2,2003,"chlor_a","m^-3"
"mean","GOM",0.714679724227679,1,3,2003,"chlor_a","m^-3"
"mean","GOM",1.87137808669411,1,4,2003,"chlor_a","m^-3"
"mean","GOM",1.36185176298504,1,5,2003,"chlor_a","m^-3"
"mean","GOM",0.916788132007163,1,6,2003,"chlor_a","m^-3"
"mean","GOM",0.804699435518312,1,7,2003,"chlor_a","m^-3"
"mean","GOM",0.983423536413863,1,8,2003,"chlor_a","m^-3"
"mean","GOM",1.02331659837914,1,9,2003,"chlor_a","m^-3"
"mean","GOM",1.2478447527086,1,10,2003,"chlor_a","m^-3"
"mean","GOM",0.983552008936554,1,11,2003,"chlor_a","m^-3"
"mean","GOM",0.884402432870606,1,12,2003,"chlor_a","m^-3"
"mean","GOM",0.818006861147832,1,1,2004,"chlor_a","m^-3"
"mean","GOM",0.692000743923153,1,2,2004,"chlor_a","m^-3"
"mean","GOM",0.786039372097771,1,3,2004,"chlor_a","m^-3"
"mean","GOM",1.83015278546377,1,4,2004,"chlor_a","m^-3"
"mean","GOM",1.22426324423756,1,5,2004,"chlor_a","m^-3"
"mean","GOM",0.782828909588637,1,6,2004,"chlor_a","m^-3"
"mean","GOM",0.692426567299421,1,7,2004,"chlor_a","m^-3"
"mean","GOM",0.858557442254182,1,8,2004,"chlor_a","m^-3"
"mean","GOM",1.13684843427052,1,9,2004,"chlor_a","m^-3"
"mean","GOM",1.16767852994693,1,10,2004,"chlor_a","m^-3"
"mean","GOM",0.783885482301019,1,11,2004,"chlor_a","m^-3"
"mean","GOM",0.746417552956436,1,12,2004,"chlor_a","m^-3"
"mean","GOM",0.739607854860892,1,1,2005,"chlor_a","m^-3"
"mean","GOM",0.70995427117969,1,2,2005,"chlor_a","m^-3"
"mean","GOM",0.777349946334073,1,3,2005,"chlor_a","m^-3"
"mean","GOM",1.50199135761488,1,4,2005,"chlor_a","m^-3"
"mean","GOM",1.23905938566578,1,5,2005,"chlor_a","m^-3"
"mean","GOM",1.18265229766913,1,6,2005,"chlor_a","m^-3"
"mean","GOM",0.903380109365904,1,7,2005,"chlor_a","m^-3"
"mean","GOM",0.90623297990832,1,8,2005,"chlor_a","m^-3"
