"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","MAB",11.2302476165973,1,1,2021,"bottomT","degC"
"mean","MAB",11.2174314233196,2,1,2021,"bottomT","degC"
"mean","MAB",11.2254626380869,3,1,2021,"bottomT","degC"
"mean","MAB",11.0532344965123,4,1,2021,"bottomT","degC"
"mean","MAB",10.8351725587176,5,1,2021,"bottomT","degC"
"mean","MAB",10.6161486754602,6,1,2021,"bottomT","degC"
"mean","MAB",10.4685009264298,7,1,2021,"bottomT","degC"
"mean","MAB",10.4201590713002,8,1,2021,"bottomT","degC"
"mean","MAB",10.3868003691385,9,1,2021,"bottomT","degC"
"mean","MAB",10.2834985002087,10,1,2021,"bottomT","degC"
"mean","MAB",10.2154068419862,11,1,2021,"bottomT","degC"
"mean","MAB",10.2150201952679,12,1,2021,"bottomT","degC"
"mean","MAB",10.2191508014144,13,1,2021,"bottomT","degC"
"mean","MAB",10.2447407735093,14,1,2021,"bottomT","degC"
"mean","MAB",10.2663442051632,15,1,2021,"bottomT","degC"
"mean","MAB",10.2004121772209,16,1,2021,"bottomT","degC"
"mean","MAB",10.2244649624108,17,1,2021,"bottomT","degC"
"mean","MAB",10.3199174240423,18,1,2021,"bottomT","degC"
"mean","MAB",10.4366112974751,19,1,2021,"bottomT","degC"
"mean","MAB",10.5196661785437,20,1,2021,"bottomT","degC"
"mean","MAB",10.4878483463255,21,1,2021,"bottomT","degC"
"mean","MAB",10.4643598389046,22,1,2021,"bottomT","degC"
"mean","MAB",10.4426254117608,23,1,2021,"bottomT","degC"
"mean","MAB",10.2981159528438,24,1,2021,"bottomT","degC"
"mean","MAB",10.217694301462,25,1,2021,"bottomT","degC"
"mean","MAB",10.1187530334756,26,1,2021,"bottomT","degC"
"mean","MAB",10.0021539846374,27,1,2021,"bottomT","degC"
"mean","MAB",9.83655347656965,28,1,2021,"bottomT","degC"
"mean","MAB",9.48797080479296,29,1,2021,"bottomT","degC"
"mean","MAB",9.11159191571592,30,1,2021,"bottomT","degC"
"mean","MAB",8.94321567476734,31,1,2021,"bottomT","degC"
"mean","MAB",8.82567880661873,1,2,2021,"bottomT","degC"
"mean","MAB",8.55183950616566,2,2,2021,"bottomT","degC"
"mean","MAB",8.5239233117929,3,2,2021,"bottomT","degC"
"mean","MAB",8.58022669200733,4,2,2021,"bottomT","degC"
"mean","MAB",8.6402032968824,5,2,2021,"bottomT","degC"
"mean","MAB",8.75295569013287,6,2,2021,"bottomT","degC"
"mean","MAB",8.86871278831717,7,2,2021,"bottomT","degC"
"mean","MAB",8.82175987063559,8,2,2021,"bottomT","degC"
"mean","MAB",8.79027260952924,9,2,2021,"bottomT","degC"
"mean","MAB",8.80098736524923,10,2,2021,"bottomT","degC"
"mean","MAB",8.7423635470509,11,2,2021,"bottomT","degC"
"mean","MAB",8.67501481237671,12,2,2021,"bottomT","degC"
"mean","MAB",8.61035016115131,13,2,2021,"bottomT","degC"
"mean","MAB",8.49217201234275,14,2,2021,"bottomT","degC"
"mean","MAB",8.4399835278889,15,2,2021,"bottomT","degC"
"mean","MAB",8.39008825497225,16,2,2021,"bottomT","degC"
"mean","MAB",8.49891857408488,17,2,2021,"bottomT","degC"
"mean","MAB",8.50229001420421,18,2,2021,"bottomT","degC"
"mean","MAB",8.30540135234211,19,2,2021,"bottomT","degC"
"mean","MAB",8.11929711320028,20,2,2021,"bottomT","degC"
"mean","MAB",8.00881907493089,21,2,2021,"bottomT","degC"
"mean","MAB",7.89396520950252,22,2,2021,"bottomT","degC"
"mean","MAB",7.93628090321591,23,2,2021,"bottomT","degC"
"mean","MAB",8.04602651210643,24,2,2021,"bottomT","degC"
"mean","MAB",8.15041971462479,25,2,2021,"bottomT","degC"
"mean","MAB",8.23311310025926,26,2,2021,"bottomT","degC"
"mean","MAB",8.2197069640835,27,2,2021,"bottomT","degC"
"mean","MAB",8.23884585452864,28,2,2021,"bottomT","degC"
"mean","MAB",8.24009226797647,1,3,2021,"bottomT","degC"
"mean","MAB",8.28770952316824,2,3,2021,"bottomT","degC"
"mean","MAB",8.40265716895866,3,3,2021,"bottomT","degC"
"mean","MAB",8.56967803217652,4,3,2021,"bottomT","degC"
"mean","MAB",8.64113430301519,5,3,2021,"bottomT","degC"
"mean","MAB",8.68724318379496,6,3,2021,"bottomT","degC"
"mean","MAB",8.71589914258458,7,3,2021,"bottomT","degC"
"mean","MAB",8.69962557890214,8,3,2021,"bottomT","degC"
"mean","MAB",8.67526683496986,9,3,2021,"bottomT","degC"
"mean","MAB",8.70888120404982,10,3,2021,"bottomT","degC"
"mean","MAB",8.71066463573467,11,3,2021,"bottomT","degC"
"mean","MAB",8.84630565274938,12,3,2021,"bottomT","degC"
"mean","MAB",9.0209516783129,13,3,2021,"bottomT","degC"
