"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",1.04690391273878,4,9,1997,"chlor_a","m^-3"
"mean","stock_area",1.11862774902745,1,10,1997,"chlor_a","m^-3"
"mean","stock_area",1.15737004190796,1,11,1997,"chlor_a","m^-3"
"mean","stock_area",1.00082468347322,1,12,1997,"chlor_a","m^-3"
"mean","stock_area",1.0355980308708,1,1,1998,"chlor_a","m^-3"
"mean","stock_area",0.873095727574167,1,2,1998,"chlor_a","m^-3"
"mean","stock_area",1.01828957790754,1,3,1998,"chlor_a","m^-3"
"mean","stock_area",1.19612329377487,1,4,1998,"chlor_a","m^-3"
"mean","stock_area",0.875260208678044,1,5,1998,"chlor_a","m^-3"
"mean","stock_area",0.751289326417653,1,6,1998,"chlor_a","m^-3"
"mean","stock_area",0.778909373180269,1,7,1998,"chlor_a","m^-3"
"mean","stock_area",0.707812783521252,1,8,1998,"chlor_a","m^-3"
"mean","stock_area",0.867712497957381,1,9,1998,"chlor_a","m^-3"
"mean","stock_area",1.22189647405048,1,10,1998,"chlor_a","m^-3"
"mean","stock_area",1.30237063721107,1,11,1998,"chlor_a","m^-3"
"mean","stock_area",1.30846811578763,1,12,1998,"chlor_a","m^-3"
"mean","stock_area",1.06445855935933,1,1,1999,"chlor_a","m^-3"
"mean","stock_area",1.03218717893851,1,2,1999,"chlor_a","m^-3"
"mean","stock_area",1.26382536118875,1,3,1999,"chlor_a","m^-3"
"mean","stock_area",1.2754289844754,1,4,1999,"chlor_a","m^-3"
"mean","stock_area",0.893230255459711,1,5,1999,"chlor_a","m^-3"
"mean","stock_area",0.708562231609317,1,6,1999,"chlor_a","m^-3"
"mean","stock_area",0.77739901642001,1,7,1999,"chlor_a","m^-3"
"mean","stock_area",0.85663063419518,1,8,1999,"chlor_a","m^-3"
"mean","stock_area",1.13370853701132,1,9,1999,"chlor_a","m^-3"
"mean","stock_area",1.33285552367473,1,10,1999,"chlor_a","m^-3"
"mean","stock_area",1.35174900774895,1,11,1999,"chlor_a","m^-3"
"mean","stock_area",1.05071277987295,1,12,1999,"chlor_a","m^-3"
"mean","stock_area",0.94077901540194,1,1,2000,"chlor_a","m^-3"
"mean","stock_area",0.878258752379863,1,2,2000,"chlor_a","m^-3"
"mean","stock_area",1.10205214687812,1,3,2000,"chlor_a","m^-3"
"mean","stock_area",1.46205440552934,1,4,2000,"chlor_a","m^-3"
"mean","stock_area",1.10553240071322,1,5,2000,"chlor_a","m^-3"
"mean","stock_area",0.941976896820487,1,6,2000,"chlor_a","m^-3"
"mean","stock_area",0.997985475853489,1,7,2000,"chlor_a","m^-3"
"mean","stock_area",1.00161451570808,1,8,2000,"chlor_a","m^-3"
"mean","stock_area",1.08114345850543,1,9,2000,"chlor_a","m^-3"
"mean","stock_area",1.4130699065727,1,10,2000,"chlor_a","m^-3"
"mean","stock_area",1.09417359542097,1,11,2000,"chlor_a","m^-3"
