"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",1.39173222937685,4,9,1997,"chlor_a","m^-3"
"mean","stock_area",1.25622600474448,1,10,1997,"chlor_a","m^-3"
"mean","stock_area",0.955740700433707,1,11,1997,"chlor_a","m^-3"
"mean","stock_area",0.734081580502185,1,12,1997,"chlor_a","m^-3"
"mean","stock_area",0.616200195820625,1,1,1998,"chlor_a","m^-3"
"mean","stock_area",0.589711442882752,1,2,1998,"chlor_a","m^-3"
"mean","stock_area",0.832935084603256,1,3,1998,"chlor_a","m^-3"
"mean","stock_area",1.36506285012621,1,4,1998,"chlor_a","m^-3"
"mean","stock_area",0.889506984459156,1,5,1998,"chlor_a","m^-3"
"mean","stock_area",0.661540671667569,1,6,1998,"chlor_a","m^-3"
"mean","stock_area",0.855581545750426,1,7,1998,"chlor_a","m^-3"
"mean","stock_area",0.906344239720997,1,8,1998,"chlor_a","m^-3"
"mean","stock_area",1.06724391517927,1,9,1998,"chlor_a","m^-3"
"mean","stock_area",1.46597909478706,1,10,1998,"chlor_a","m^-3"
"mean","stock_area",1.24148760812139,1,11,1998,"chlor_a","m^-3"
"mean","stock_area",1.28970483916755,1,12,1998,"chlor_a","m^-3"
"mean","stock_area",0.786099497771192,1,1,1999,"chlor_a","m^-3"
"mean","stock_area",0.837934169117591,1,2,1999,"chlor_a","m^-3"
"mean","stock_area",1.06432599440356,1,3,1999,"chlor_a","m^-3"
"mean","stock_area",1.48330108954057,1,4,1999,"chlor_a","m^-3"
"mean","stock_area",0.995893917175622,1,5,1999,"chlor_a","m^-3"
"mean","stock_area",0.732052814205796,1,6,1999,"chlor_a","m^-3"
"mean","stock_area",0.979209451357255,1,7,1999,"chlor_a","m^-3"
"mean","stock_area",1.13542792070154,1,8,1999,"chlor_a","m^-3"
"mean","stock_area",1.36341884835871,1,9,1999,"chlor_a","m^-3"
"mean","stock_area",1.67055391860378,1,10,1999,"chlor_a","m^-3"
"mean","stock_area",1.40048258132673,1,11,1999,"chlor_a","m^-3"
"mean","stock_area",0.843862858512886,1,12,1999,"chlor_a","m^-3"
"mean","stock_area",0.65460591730118,1,1,2000,"chlor_a","m^-3"
"mean","stock_area",0.618096392421472,1,2,2000,"chlor_a","m^-3"
"mean","stock_area",0.93577345926925,1,3,2000,"chlor_a","m^-3"
"mean","stock_area",1.49540372468939,1,4,2000,"chlor_a","m^-3"
"mean","stock_area",1.14946974897233,1,5,2000,"chlor_a","m^-3"
"mean","stock_area",0.910958295907669,1,6,2000,"chlor_a","m^-3"
"mean","stock_area",0.823302869299396,1,7,2000,"chlor_a","m^-3"
"mean","stock_area",1.15584449656345,1,8,2000,"chlor_a","m^-3"
"mean","stock_area",1.39586310673371,1,9,2000,"chlor_a","m^-3"
"mean","stock_area",1.75596643481496,1,10,2000,"chlor_a","m^-3"
"mean","stock_area",0.99352516148159,1,11,2000,"chlor_a","m^-3"
"mean","stock_area",0.913577220727918,1,12,2000,"chlor_a","m^-3"
"mean","stock_area",0.623293934009408,1,1,2001,"chlor_a","m^-3"
"mean","stock_area",0.765135764811574,1,2,2001,"chlor_a","m^-3"
"mean","stock_area",0.85885502196727,1,3,2001,"chlor_a","m^-3"
"mean","stock_area",1.23196250393309,1,4,2001,"chlor_a","m^-3"
"mean","stock_area",0.924301281123968,1,5,2001,"chlor_a","m^-3"
"mean","stock_area",0.675442431248735,1,6,2001,"chlor_a","m^-3"
"mean","stock_area",0.831068508590666,1,7,2001,"chlor_a","m^-3"
"mean","stock_area",0.949688357887554,1,8,2001,"chlor_a","m^-3"
"mean","stock_area",1.20793759270973,1,9,2001,"chlor_a","m^-3"
"mean","stock_area",1.48744903307706,1,10,2001,"chlor_a","m^-3"
"mean","stock_area",1.04240634994196,1,11,2001,"chlor_a","m^-3"
"mean","stock_area",0.91242430136022,1,12,2001,"chlor_a","m^-3"
"mean","stock_area",0.673570349292941,1,1,2002,"chlor_a","m^-3"
"mean","stock_area",0.651820424119197,1,2,2002,"chlor_a","m^-3"
"mean","stock_area",0.755589003157038,1,3,2002,"chlor_a","m^-3"
"mean","stock_area",1.26826616474489,1,4,2002,"chlor_a","m^-3"
"mean","stock_area",1.55886437133126,1,5,2002,"chlor_a","m^-3"
"mean","stock_area",1.08993185904585,1,6,2002,"chlor_a","m^-3"
"mean","stock_area",0.999813770735581,1,7,2002,"chlor_a","m^-3"
"mean","stock_area",1.0058113269363,1,8,2002,"chlor_a","m^-3"
"mean","stock_area",1.59727841969424,1,9,2002,"chlor_a","m^-3"
"mean","stock_area",1.48347050105357,1,10,2002,"chlor_a","m^-3"
"mean","stock_area",0.875942136350548,1,11,2002,"chlor_a","m^-3"
"mean","stock_area",0.70805025654991,1,12,2002,"chlor_a","m^-3"
"mean","stock_area",0.738366386631916,1,1,2003,"chlor_a","m^-3"
"mean","stock_area",0.70884941941857,1,2,2003,"chlor_a","m^-3"
"mean","stock_area",0.722635363824976,1,3,2003,"chlor_a","m^-3"
"mean","stock_area",1.83033734050096,1,4,2003,"chlor_a","m^-3"
"mean","stock_area",1.2692151425518,1,5,2003,"chlor_a","m^-3"
"mean","stock_area",0.918694284675423,1,6,2003,"chlor_a","m^-3"
"mean","stock_area",0.841406085990213,1,7,2003,"chlor_a","m^-3"
"mean","stock_area",1.00291861948654,1,8,2003,"chlor_a","m^-3"
"mean","stock_area",1.07662743876003,1,9,2003,"chlor_a","m^-3"
"mean","stock_area",1.18560541019216,1,10,2003,"chlor_a","m^-3"
"mean","stock_area",0.913676598849113,1,11,2003,"chlor_a","m^-3"
"mean","stock_area",0.863938141964692,1,12,2003,"chlor_a","m^-3"
"mean","stock_area",0.864866607195077,1,1,2004,"chlor_a","m^-3"
"mean","stock_area",0.712654074005496,1,2,2004,"chlor_a","m^-3"
"mean","stock_area",0.781976151171777,1,3,2004,"chlor_a","m^-3"
"mean","stock_area",1.86453321455442,1,4,2004,"chlor_a","m^-3"
"mean","stock_area",1.18289116140915,1,5,2004,"chlor_a","m^-3"
"mean","stock_area",0.78783980508251,1,6,2004,"chlor_a","m^-3"
"mean","stock_area",0.720985364894992,1,7,2004,"chlor_a","m^-3"
"mean","stock_area",0.87655685973953,1,8,2004,"chlor_a","m^-3"
"mean","stock_area",1.16897265345107,1,9,2004,"chlor_a","m^-3"
"mean","stock_area",1.12115880909682,1,10,2004,"chlor_a","m^-3"
"mean","stock_area",0.777009763926824,1,11,2004,"chlor_a","m^-3"
"mean","stock_area",0.747245649506573,1,12,2004,"chlor_a","m^-3"
"mean","stock_area",0.74522863972064,1,1,2005,"chlor_a","m^-3"
"mean","stock_area",0.698036308318625,1,2,2005,"chlor_a","m^-3"
"mean","stock_area",0.768605697517028,1,3,2005,"chlor_a","m^-3"
"mean","stock_area",1.38554439019617,1,4,2005,"chlor_a","m^-3"
"mean","stock_area",1.12490648697321,1,5,2005,"chlor_a","m^-3"
"mean","stock_area",1.13854862779746,1,6,2005,"chlor_a","m^-3"
"mean","stock_area",0.906897235343787,1,7,2005,"chlor_a","m^-3"
"mean","stock_area",0.908303527734544,1,8,2005,"chlor_a","m^-3"
"mean","stock_area",1.20180435065193,1,9,2005,"chlor_a","m^-3"
"mean","stock_area",1.23931378001919,1,10,2005,"chlor_a","m^-3"
"mean","stock_area",1.07234448683125,1,11,2005,"chlor_a","m^-3"
"mean","stock_area",0.888779530808205,1,12,2005,"chlor_a","m^-3"
"mean","stock_area",0.83382006017946,1,1,2006,"chlor_a","m^-3"
"mean","stock_area",0.777570481229841,1,2,2006,"chlor_a","m^-3"
"mean","stock_area",1.03985650629787,1,3,2006,"chlor_a","m^-3"
"mean","stock_area",1.50756049115964,1,4,2006,"chlor_a","m^-3"
"mean","stock_area",1.04756072610794,1,5,2006,"chlor_a","m^-3"
"mean","stock_area",1.06656941511225,1,6,2006,"chlor_a","m^-3"
"mean","stock_area",1.03845510559926,1,7,2006,"chlor_a","m^-3"
"mean","stock_area",1.1989488607955,1,8,2006,"chlor_a","m^-3"
"mean","stock_area",1.42952975155153,1,9,2006,"chlor_a","m^-3"
"mean","stock_area",1.51355285723089,1,10,2006,"chlor_a","m^-3"
"mean","stock_area",1.09423647646442,1,11,2006,"chlor_a","m^-3"
"mean","stock_area",0.957846349125204,1,12,2006,"chlor_a","m^-3"
"mean","stock_area",0.778852786283149,1,1,2007,"chlor_a","m^-3"
"mean","stock_area",0.719991531971682,1,2,2007,"chlor_a","m^-3"
"mean","stock_area",0.87854135999513,1,3,2007,"chlor_a","m^-3"
"mean","stock_area",1.51627473828337,1,4,2007,"chlor_a","m^-3"
"mean","stock_area",1.18366174308162,1,5,2007,"chlor_a","m^-3"
"mean","stock_area",0.81526637817953,1,6,2007,"chlor_a","m^-3"
"mean","stock_area",0.807100295198252,1,7,2007,"chlor_a","m^-3"
"mean","stock_area",1.01792136955091,1,8,2007,"chlor_a","m^-3"
"mean","stock_area",1.27247815742148,1,9,2007,"chlor_a","m^-3"
"mean","stock_area",1.57614074101425,1,10,2007,"chlor_a","m^-3"
"mean","stock_area",0.916018199949049,1,11,2007,"chlor_a","m^-3"
"mean","stock_area",0.737096290034358,1,12,2007,"chlor_a","m^-3"
"mean","stock_area",0.740667605486452,1,1,2008,"chlor_a","m^-3"
"mean","stock_area",0.678041689325628,1,2,2008,"chlor_a","m^-3"
"mean","stock_area",0.751700530264197,1,3,2008,"chlor_a","m^-3"
"mean","stock_area",1.51279221241462,1,4,2008,"chlor_a","m^-3"
"mean","stock_area",1.27089789068476,1,5,2008,"chlor_a","m^-3"
"mean","stock_area",0.87933154604699,1,6,2008,"chlor_a","m^-3"
"mean","stock_area",0.853490229801036,1,7,2008,"chlor_a","m^-3"
"mean","stock_area",1.027112085072,1,8,2008,"chlor_a","m^-3"
"mean","stock_area",1.19468794346045,1,9,2008,"chlor_a","m^-3"
"mean","stock_area",1.40105926090169,1,10,2008,"chlor_a","m^-3"
"mean","stock_area",1.09258801775785,1,11,2008,"chlor_a","m^-3"
"mean","stock_area",0.930355961234525,1,12,2008,"chlor_a","m^-3"
"mean","stock_area",0.755678201657324,1,1,2009,"chlor_a","m^-3"
"mean","stock_area",0.672349608644884,1,2,2009,"chlor_a","m^-3"
"mean","stock_area",0.811596601775545,1,3,2009,"chlor_a","m^-3"
"mean","stock_area",1.86103375624598,1,4,2009,"chlor_a","m^-3"
"mean","stock_area",1.05285517960704,1,5,2009,"chlor_a","m^-3"
