"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",32.3491992325794,1,1,1993,"bottomS","1e-3"
"mean","stock_area",32.4577655051377,1,2,1993,"bottomS","1e-3"
"mean","stock_area",32.342700468704,1,3,1993,"bottomS","1e-3"
"mean","stock_area",32.0788292285603,1,4,1993,"bottomS","1e-3"
"mean","stock_area",31.8079059975618,1,5,1993,"bottomS","1e-3"
"mean","stock_area",31.6383899563792,1,6,1993,"bottomS","1e-3"
"mean","stock_area",31.6212886583687,1,7,1993,"bottomS","1e-3"
"mean","stock_area",31.7062907440464,1,8,1993,"bottomS","1e-3"
"mean","stock_area",31.8225573926869,1,9,1993,"bottomS","1e-3"
"mean","stock_area",32.0313279078557,1,10,1993,"bottomS","1e-3"
"mean","stock_area",32.2512913142464,1,11,1993,"bottomS","1e-3"
"mean","stock_area",32.3500000647888,1,12,1993,"bottomS","1e-3"
"mean","stock_area",32.5265401446538,1,1,1994,"bottomS","1e-3"
"mean","stock_area",32.6106543660799,1,2,1994,"bottomS","1e-3"
"mean","stock_area",32.439353289172,1,3,1994,"bottomS","1e-3"
"mean","stock_area",32.1695793788123,1,4,1994,"bottomS","1e-3"
"mean","stock_area",31.9641558973279,1,5,1994,"bottomS","1e-3"
"mean","stock_area",31.7477499140371,1,6,1994,"bottomS","1e-3"
"mean","stock_area",31.8648626584636,1,7,1994,"bottomS","1e-3"
"mean","stock_area",32.1046827335169,1,8,1994,"bottomS","1e-3"
"mean","stock_area",32.3433687031405,1,9,1994,"bottomS","1e-3"
"mean","stock_area",32.4964947144856,1,10,1994,"bottomS","1e-3"
"mean","stock_area",32.6215891972445,1,11,1994,"bottomS","1e-3"
"mean","stock_area",32.6541694472604,1,12,1994,"bottomS","1e-3"
"mean","stock_area",32.3688120424339,1,1,1995,"bottomS","1e-3"
"mean","stock_area",32.2351081888819,1,2,1995,"bottomS","1e-3"
"mean","stock_area",32.169291142553,1,3,1995,"bottomS","1e-3"
"mean","stock_area",32.0802435617091,1,4,1995,"bottomS","1e-3"
"mean","stock_area",31.8322103925997,1,5,1995,"bottomS","1e-3"
"mean","stock_area",31.3270546956001,1,6,1995,"bottomS","1e-3"
"mean","stock_area",31.2878803810997,1,7,1995,"bottomS","1e-3"
"mean","stock_area",31.6537538079569,1,8,1995,"bottomS","1e-3"
"mean","stock_area",32.0574233265025,1,9,1995,"bottomS","1e-3"
"mean","stock_area",32.2180452136165,1,10,1995,"bottomS","1e-3"
"mean","stock_area",32.3974036342391,1,11,1995,"bottomS","1e-3"
"mean","stock_area",32.5623604003837,1,12,1995,"bottomS","1e-3"
"mean","stock_area",32.3312508190123,1,1,1996,"bottomS","1e-3"
"mean","stock_area",31.9202492068219,1,2,1996,"bottomS","1e-3"
"mean","stock_area",31.8569273487448,1,3,1996,"bottomS","1e-3"
"mean","stock_area",31.7431976916857,1,4,1996,"bottomS","1e-3"
"mean","stock_area",31.603461025148,1,5,1996,"bottomS","1e-3"
"mean","stock_area",31.4823167340409,1,6,1996,"bottomS","1e-3"
"mean","stock_area",31.5071696784781,1,7,1996,"bottomS","1e-3"
"mean","stock_area",31.577296025319,1,8,1996,"bottomS","1e-3"
"mean","stock_area",31.5228798612782,1,9,1996,"bottomS","1e-3"
"mean","stock_area",31.4607341560079,1,10,1996,"bottomS","1e-3"
"mean","stock_area",31.5219396241094,1,11,1996,"bottomS","1e-3"
"mean","stock_area",31.4657825693681,1,12,1996,"bottomS","1e-3"
