"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",9.38666000242734,1,1,2021,"bottomT","degC"
"mean","stock_area",9.39056990333668,2,1,2021,"bottomT","degC"
"mean","stock_area",9.38953845517289,3,1,2021,"bottomT","degC"
"mean","stock_area",9.37442600572736,4,1,2021,"bottomT","degC"
"mean","stock_area",9.3478393409421,5,1,2021,"bottomT","degC"
"mean","stock_area",9.3023943181993,6,1,2021,"bottomT","degC"
"mean","stock_area",9.27328733842244,7,1,2021,"bottomT","degC"
"mean","stock_area",9.26515179595599,8,1,2021,"bottomT","degC"
"mean","stock_area",9.27035811795411,9,1,2021,"bottomT","degC"
"mean","stock_area",9.26569847686547,10,1,2021,"bottomT","degC"
"mean","stock_area",9.25586765954627,11,1,2021,"bottomT","degC"
"mean","stock_area",9.26179192471123,12,1,2021,"bottomT","degC"
"mean","stock_area",9.27975103715314,13,1,2021,"bottomT","degC"
"mean","stock_area",9.29673392048158,14,1,2021,"bottomT","degC"
"mean","stock_area",9.31426294323877,15,1,2021,"bottomT","degC"
"mean","stock_area",9.31742922767645,16,1,2021,"bottomT","degC"
"mean","stock_area",9.30990897910067,17,1,2021,"bottomT","degC"
"mean","stock_area",9.3329505782407,18,1,2021,"bottomT","degC"
"mean","stock_area",9.35280021237492,19,1,2021,"bottomT","degC"
"mean","stock_area",9.37499500247058,20,1,2021,"bottomT","degC"
"mean","stock_area",9.38391264322053,21,1,2021,"bottomT","degC"
"mean","stock_area",9.39645343542281,22,1,2021,"bottomT","degC"
"mean","stock_area",9.41734009522658,23,1,2021,"bottomT","degC"
"mean","stock_area",9.40862327845879,24,1,2021,"bottomT","degC"
"mean","stock_area",9.40889941547449,25,1,2021,"bottomT","degC"
"mean","stock_area",9.42321637924264,26,1,2021,"bottomT","degC"
"mean","stock_area",9.4370714497766,27,1,2021,"bottomT","degC"
"mean","stock_area",9.43400389823129,28,1,2021,"bottomT","degC"
"mean","stock_area",9.40662788055548,29,1,2021,"bottomT","degC"
"mean","stock_area",9.34534411946055,30,1,2021,"bottomT","degC"
"mean","stock_area",9.28540028349098,31,1,2021,"bottomT","degC"
"mean","stock_area",9.25541136324723,1,2,2021,"bottomT","degC"
"mean","stock_area",9.20126346150883,2,2,2021,"bottomT","degC"
"mean","stock_area",9.10668890238353,3,2,2021,"bottomT","degC"
"mean","stock_area",9.0681360120185,4,2,2021,"bottomT","degC"
"mean","stock_area",9.06337037780134,5,2,2021,"bottomT","degC"
"mean","stock_area",9.07593516874931,6,2,2021,"bottomT","degC"
"mean","stock_area",9.09482030403678,7,2,2021,"bottomT","degC"
"mean","stock_area",9.10004224308737,8,2,2021,"bottomT","degC"
"mean","stock_area",9.10210122030742,9,2,2021,"bottomT","degC"
"mean","stock_area",9.11033384017334,10,2,2021,"bottomT","degC"
"mean","stock_area",9.11454777161946,11,2,2021,"bottomT","degC"
