"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",7.21035526150563,2,1,1959,"bottomT","degC"
"mean","stock_area",7.19250640810513,3,1,1959,"bottomT","degC"
"mean","stock_area",7.17758264307116,4,1,1959,"bottomT","degC"
"mean","stock_area",7.17236398888416,5,1,1959,"bottomT","degC"
"mean","stock_area",7.17393828669532,6,1,1959,"bottomT","degC"
"mean","stock_area",7.10376333232786,7,1,1959,"bottomT","degC"
"mean","stock_area",7.02242789139407,8,1,1959,"bottomT","degC"
"mean","stock_area",6.97746043302974,9,1,1959,"bottomT","degC"
"mean","stock_area",6.95528841038219,10,1,1959,"bottomT","degC"
"mean","stock_area",6.93142379795919,11,1,1959,"bottomT","degC"
"mean","stock_area",6.91794848481195,12,1,1959,"bottomT","degC"
"mean","stock_area",6.90253452163333,13,1,1959,"bottomT","degC"
"mean","stock_area",6.90101387404926,14,1,1959,"bottomT","degC"
"mean","stock_area",6.90622321888499,15,1,1959,"bottomT","degC"
"mean","stock_area",6.90019813131113,16,1,1959,"bottomT","degC"
"mean","stock_area",6.90904183680894,17,1,1959,"bottomT","degC"
"mean","stock_area",6.91782945707196,18,1,1959,"bottomT","degC"
"mean","stock_area",6.91692757117944,19,1,1959,"bottomT","degC"
"mean","stock_area",6.93064159721625,20,1,1959,"bottomT","degC"
"mean","stock_area",6.93745304600137,21,1,1959,"bottomT","degC"
"mean","stock_area",6.94733810757027,22,1,1959,"bottomT","degC"
"mean","stock_area",6.95433957224987,23,1,1959,"bottomT","degC"
"mean","stock_area",6.96220488739953,24,1,1959,"bottomT","degC"
"mean","stock_area",6.95465340946541,25,1,1959,"bottomT","degC"
"mean","stock_area",6.94925442230506,26,1,1959,"bottomT","degC"
"mean","stock_area",6.93868590945103,27,1,1959,"bottomT","degC"
"mean","stock_area",6.91570601209265,28,1,1959,"bottomT","degC"
"mean","stock_area",6.89919273755589,29,1,1959,"bottomT","degC"
"mean","stock_area",6.88780725959872,30,1,1959,"bottomT","degC"
"mean","stock_area",6.88336281522376,31,1,1959,"bottomT","degC"
"mean","stock_area",6.88560559886401,1,2,1959,"bottomT","degC"
"mean","stock_area",6.88441737323511,2,2,1959,"bottomT","degC"
"mean","stock_area",6.8675004449047,3,2,1959,"bottomT","degC"
"mean","stock_area",6.84913555422767,4,2,1959,"bottomT","degC"
"mean","stock_area",6.8423145493523,5,2,1959,"bottomT","degC"
"mean","stock_area",6.84955587731315,6,2,1959,"bottomT","degC"
"mean","stock_area",6.85773671465491,7,2,1959,"bottomT","degC"
"mean","stock_area",6.84051586429637,8,2,1959,"bottomT","degC"
"mean","stock_area",6.80018989036472,9,2,1959,"bottomT","degC"
"mean","stock_area",6.75297506604652,10,2,1959,"bottomT","degC"
"mean","stock_area",6.71150040078887,11,2,1959,"bottomT","degC"
"mean","stock_area",6.694133853795,12,2,1959,"bottomT","degC"
"mean","stock_area",6.6281236550847,13,2,1959,"bottomT","degC"
"mean","stock_area",6.59162989952525,14,2,1959,"bottomT","degC"
"mean","stock_area",6.60056883542383,15,2,1959,"bottomT","degC"
"mean","stock_area",6.61146253093344,16,2,1959,"bottomT","degC"
"mean","stock_area",6.60785171672946,17,2,1959,"bottomT","degC"
"mean","stock_area",6.60652377390471,18,2,1959,"bottomT","degC"
"mean","stock_area",6.62058076018193,19,2,1959,"bottomT","degC"
"mean","stock_area",6.63048592649522,20,2,1959,"bottomT","degC"
"mean","stock_area",6.54707538378043,21,2,1959,"bottomT","degC"
"mean","stock_area",6.37381036828166,22,2,1959,"bottomT","degC"
"mean","stock_area",6.29535174408993,23,2,1959,"bottomT","degC"
"mean","stock_area",6.20949272066355,24,2,1959,"bottomT","degC"
"mean","stock_area",6.16573764577092,25,2,1959,"bottomT","degC"
"mean","stock_area",6.12055978237798,26,2,1959,"bottomT","degC"
"mean","stock_area",6.06813969659178,27,2,1959,"bottomT","degC"
"mean","stock_area",6.05479557406265,28,2,1959,"bottomT","degC"
"mean","stock_area",6.05647105066937,1,3,1959,"bottomT","degC"
"mean","stock_area",6.05050187154107,2,3,1959,"bottomT","degC"
