"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","01130",0.981415751963401,4,9,1997,"chlor_a","m-3"
"mean","01130",1.15838115834273,1,10,1997,"chlor_a","m-3"
"mean","01130",1.51731872448953,1,11,1997,"chlor_a","m-3"
"mean","01130",0.958093243598141,1,12,1997,"chlor_a","m-3"
"mean","01130",0.713824937938566,1,1,1998,"chlor_a","m-3"
"mean","01130",0.541708303733813,1,2,1998,"chlor_a","m-3"
"mean","01130",0.793681729198698,1,3,1998,"chlor_a","m-3"
"mean","01130",0.782712308907987,1,4,1998,"chlor_a","m-3"
"mean","01130",0.793021873885573,1,5,1998,"chlor_a","m-3"
"mean","01130",0.832811646736585,1,6,1998,"chlor_a","m-3"
"mean","01130",0.701642964097568,1,7,1998,"chlor_a","m-3"
"mean","01130",0.568057498953813,1,8,1998,"chlor_a","m-3"
"mean","01130",0.851189900800137,1,9,1998,"chlor_a","m-3"
"mean","01130",1.47146788927225,1,10,1998,"chlor_a","m-3"
"mean","01130",0.968687197137437,1,11,1998,"chlor_a","m-3"
"mean","01130",0.790572784517122,1,12,1998,"chlor_a","m-3"
"mean","01130",0.713290959596634,1,1,1999,"chlor_a","m-3"
"mean","01130",0.857981021886685,1,2,1999,"chlor_a","m-3"
"mean","01130",1.13996352659021,1,3,1999,"chlor_a","m-3"
"mean","01130",0.798042789948824,1,4,1999,"chlor_a","m-3"
"mean","01130",0.748126479843787,1,5,1999,"chlor_a","m-3"
"mean","01130",0.678651918112036,1,6,1999,"chlor_a","m-3"
"mean","01130",0.610363139556004,1,7,1999,"chlor_a","m-3"
"mean","01130",0.631400844499618,1,8,1999,"chlor_a","m-3"
"mean","01130",1.00284049109272,1,9,1999,"chlor_a","m-3"
"mean","01130",1.13124130591501,1,10,1999,"chlor_a","m-3"
"mean","01130",0.989284394178103,1,11,1999,"chlor_a","m-3"
"mean","01130",0.843892644380646,1,12,1999,"chlor_a","m-3"
"mean","01130",0.825031580185412,1,1,2000,"chlor_a","m-3"
"mean","01130",0.765677459081825,1,2,2000,"chlor_a","m-3"
"mean","01130",0.815954711126245,1,3,2000,"chlor_a","m-3"
"mean","01130",0.929360016731913,1,4,2000,"chlor_a","m-3"
"mean","01130",1.0942881676465,1,5,2000,"chlor_a","m-3"
"mean","01130",0.842997329191221,1,6,2000,"chlor_a","m-3"
"mean","01130",0.96377167952898,1,7,2000,"chlor_a","m-3"
"mean","01130",0.672563141305311,1,8,2000,"chlor_a","m-3"
"mean","01130",0.846184501281151,1,9,2000,"chlor_a","m-3"
"mean","01130",1.38941542579976,1,10,2000,"chlor_a","m-3"
"mean","01130",0.888420719791342,1,11,2000,"chlor_a","m-3"
"mean","01130",0.805080370691449,1,12,2000,"chlor_a","m-3"
"mean","01130",0.635923396404202,1,1,2001,"chlor_a","m-3"
