"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","MAB",20.7644901862511,1,9,1981,"sst","degC"
"mean","MAB",16.3655166088006,1,10,1981,"sst","degC"
"mean","MAB",12.6885296259171,1,11,1981,"sst","degC"
"mean","MAB",9.6954456231533,1,12,1981,"sst","degC"
"mean","MAB",7.01061522777264,1,1,1982,"sst","degC"
"mean","MAB",6.1729870392726,1,2,1982,"sst","degC"
"mean","MAB",6.16081871008262,1,3,1982,"sst","degC"
"mean","MAB",8.15620322349744,1,4,1982,"sst","degC"
"mean","MAB",13.0524728530493,1,5,1982,"sst","degC"
"mean","MAB",16.625955205086,1,6,1982,"sst","degC"
"mean","MAB",22.1502360515105,1,7,1982,"sst","degC"
"mean","MAB",22.5518737890782,1,8,1982,"sst","degC"
"mean","MAB",20.6982337266971,1,9,1982,"sst","degC"
"mean","MAB",17.4501898105328,1,10,1982,"sst","degC"
"mean","MAB",14.4922594852937,1,11,1982,"sst","degC"
"mean","MAB",12.0894091728406,1,12,1982,"sst","degC"
"mean","MAB",9.47223635942508,1,1,1983,"sst","degC"
"mean","MAB",7.68156942709898,1,2,1983,"sst","degC"
"mean","MAB",7.5343141409067,1,3,1983,"sst","degC"
"mean","MAB",8.75421861257309,1,4,1983,"sst","degC"
"mean","MAB",12.8282362864568,1,5,1983,"sst","degC"
"mean","MAB",18.1705859502157,1,6,1983,"sst","degC"
"mean","MAB",22.1461318138318,1,7,1983,"sst","degC"
"mean","MAB",23.0984213804587,1,8,1983,"sst","degC"
"mean","MAB",21.954667868981,1,9,1983,"sst","degC"
"mean","MAB",18.3323816641783,1,10,1983,"sst","degC"
"mean","MAB",14.4340646303617,1,11,1983,"sst","degC"
"mean","MAB",11.3964017574604,1,12,1983,"sst","degC"
"mean","MAB",8.00563093821208,1,1,1984,"sst","degC"
"mean","MAB",7.03821558218736,1,2,1984,"sst","degC"
"mean","MAB",6.76058214872311,1,3,1984,"sst","degC"
"mean","MAB",8.16394510024633,1,4,1984,"sst","degC"
"mean","MAB",12.6604628929725,1,5,1984,"sst","degC"
"mean","MAB",18.1042389013828,1,6,1984,"sst","degC"
"mean","MAB",21.3109275915684,1,7,1984,"sst","degC"
"mean","MAB",23.566889444987,1,8,1984,"sst","degC"
"mean","MAB",21.294580753033,1,9,1984,"sst","degC"
"mean","MAB",17.7318672962678,1,10,1984,"sst","degC"
"mean","MAB",15.1898030354426,1,11,1984,"sst","degC"
"mean","MAB",12.2299186266386,1,12,1984,"sst","degC"
"mean","MAB",9.27807425229977,1,1,1985,"sst","degC"
"mean","MAB",7.17280385066301,1,2,1985,"sst","degC"
"mean","MAB",7.93203622133304,1,3,1985,"sst","degC"
"mean","MAB",9.83059465701763,1,4,1985,"sst","degC"
"mean","MAB",13.9664760980851,1,5,1985,"sst","degC"
"mean","MAB",18.6143790758573,1,6,1985,"sst","degC"
"mean","MAB",22.1777133061336,1,7,1985,"sst","degC"
"mean","MAB",23.8539399562738,1,8,1985,"sst","degC"
"mean","MAB",22.3578115316538,1,9,1985,"sst","degC"
"mean","MAB",18.9796372878246,1,10,1985,"sst","degC"
"mean","MAB",16.0757911241972,1,11,1985,"sst","degC"
"mean","MAB",12.5395811667809,1,12,1985,"sst","degC"
"mean","MAB",9.37713295129629,1,1,1986,"sst","degC"
"mean","MAB",7.852886229295,1,2,1986,"sst","degC"
"mean","MAB",7.48133314695114,1,3,1986,"sst","degC"
"mean","MAB",9.59765966855563,1,4,1986,"sst","degC"
"mean","MAB",13.9415084056365,1,5,1986,"sst","degC"
"mean","MAB",18.7823841681847,1,6,1986,"sst","degC"
"mean","MAB",22.4747042338053,1,7,1986,"sst","degC"
"mean","MAB",23.1240788288606,1,8,1986,"sst","degC"
"mean","MAB",20.354502037244,1,9,1986,"sst","degC"
"mean","MAB",17.9365950706678,1,10,1986,"sst","degC"
"mean","MAB",14.8577740449172,1,11,1986,"sst","degC"
"mean","MAB",12.0590154501108,1,12,1986,"sst","degC"
"mean","MAB",9.0907657354306,1,1,1987,"sst","degC"
"mean","MAB",6.65021595465831,1,2,1987,"sst","degC"
"mean","MAB",6.41817026138306,1,3,1987,"sst","degC"
"mean","MAB",8.88871603012085,1,4,1987,"sst","degC"
"mean","MAB",12.7430170694987,1,5,1987,"sst","degC"
"mean","MAB",18.1119432449341,1,6,1987,"sst","degC"
"mean","MAB",22.5882145808293,1,7,1987,"sst","degC"
"mean","MAB",23.573633878659,1,8,1987,"sst","degC"
"mean","MAB",21.7217669755985,1,9,1987,"sst","degC"
"mean","MAB",16.499198942918,1,10,1987,"sst","degC"
"mean","MAB",12.917839050293,1,11,1987,"sst","degC"
"mean","MAB",9.97539597535745,1,12,1987,"sst","degC"
"mean","MAB",7.39827276132046,1,1,1988,"sst","degC"
"mean","MAB",6.06622976767711,1,2,1988,"sst","degC"
"mean","MAB",6.54747709861168,1,3,1988,"sst","degC"
"mean","MAB",8.84015025847997,1,4,1988,"sst","degC"
"mean","MAB",13.0761585137783,1,5,1988,"sst","degC"
"mean","MAB",17.0511346719204,1,6,1988,"sst","degC"
"mean","MAB",22.0999862670898,1,7,1988,"sst","degC"
"mean","MAB",23.4310450529441,1,8,1988,"sst","degC"
"mean","MAB",20.8794371971717,1,9,1988,"sst","degC"
"mean","MAB",17.0079615813035,1,10,1988,"sst","degC"
"mean","MAB",13.2280116692567,1,11,1988,"sst","degC"
"mean","MAB",10.8107391846486,1,12,1988,"sst","degC"
"mean","MAB",8.53910817610912,1,1,1989,"sst","degC"
"mean","MAB",7.59687710297413,1,2,1989,"sst","degC"
"mean","MAB",6.8863455919119,1,3,1989,"sst","degC"
"mean","MAB",9.46329720325959,1,4,1989,"sst","degC"
"mean","MAB",13.448936022245,1,5,1989,"sst","degC"
"mean","MAB",19.3742952444615,1,6,1989,"sst","degC"
"mean","MAB",22.5028283241468,1,7,1989,"sst","degC"
"mean","MAB",23.1208316118289,1,8,1989,"sst","degC"
"mean","MAB",22.0385243049035,1,9,1989,"sst","degC"
"mean","MAB",17.8171459931594,1,10,1989,"sst","degC"
"mean","MAB",14.5858406751584,1,11,1989,"sst","degC"
"mean","MAB",9.74531820737399,1,12,1989,"sst","degC"
"mean","MAB",7.34176327998822,1,1,1990,"sst","degC"
"mean","MAB",7.36474709144005,1,2,1990,"sst","degC"
"mean","MAB",7.93544397354126,1,3,1990,"sst","degC"
"mean","MAB",9.6424647355691,1,4,1990,"sst","degC"
"mean","MAB",13.0739864496084,1,5,1990,"sst","degC"
"mean","MAB",17.8145910067436,1,6,1990,"sst","degC"
"mean","MAB",22.489739833734,1,7,1990,"sst","degC"
"mean","MAB",23.9637166047708,1,8,1990,"sst","degC"
"mean","MAB",21.6426610115247,1,9,1990,"sst","degC"
"mean","MAB",19.0383634909605,1,10,1990,"sst","degC"
"mean","MAB",14.0962475360968,1,11,1990,"sst","degC"
"mean","MAB",11.4571709559514,1,12,1990,"sst","degC"
"mean","MAB",9.18544232050578,1,1,1991,"sst","degC"
"mean","MAB",7.76553646478898,1,2,1991,"sst","degC"
"mean","MAB",7.68789398242266,1,3,1991,"sst","degC"
"mean","MAB",9.51857928496141,1,4,1991,"sst","degC"
"mean","MAB",14.2969756884453,1,5,1991,"sst","degC"
"mean","MAB",18.5845260620117,1,6,1991,"sst","degC"
"mean","MAB",22.7076950855744,1,7,1991,"sst","degC"
"mean","MAB",23.2172848628117,1,8,1991,"sst","degC"
"mean","MAB",21.7196627494616,1,9,1991,"sst","degC"
"mean","MAB",18.0907737585214,1,10,1991,"sst","degC"
"mean","MAB",13.6476800184983,1,11,1991,"sst","degC"
"mean","MAB",11.5511725988144,1,12,1991,"sst","degC"
"mean","MAB",8.3780362080305,1,1,1992,"sst","degC"
"mean","MAB",6.35648264029087,1,2,1992,"sst","degC"
"mean","MAB",6.49820166612283,1,3,1992,"sst","degC"
"mean","MAB",8.12936733686007,1,4,1992,"sst","degC"
"mean","MAB",11.4208616207807,1,5,1992,"sst","degC"
"mean","MAB",16.9913124475724,1,6,1992,"sst","degC"
"mean","MAB",21.0975346883138,1,7,1992,"sst","degC"
"mean","MAB",22.2574667612712,1,8,1992,"sst","degC"
"mean","MAB",21.1777140984168,1,9,1992,"sst","degC"
"mean","MAB",16.8960360209147,1,10,1992,"sst","degC"
"mean","MAB",13.5196014159765,1,11,1992,"sst","degC"
"mean","MAB",10.4154224615831,1,12,1992,"sst","degC"
"mean","MAB",8.04367229021513,1,1,1993,"sst","degC"
"mean","MAB",5.94851820285504,1,2,1993,"sst","degC"
"mean","MAB",5.70581292617015,1,3,1993,"sst","degC"
"mean","MAB",8.10911262707832,1,4,1993,"sst","degC"
"mean","MAB",12.8308781061417,1,5,1993,"sst","degC"
"mean","MAB",18.0130166762914,1,6,1993,"sst","degC"
"mean","MAB",22.6066992833064,1,7,1993,"sst","degC"
"mean","MAB",22.9562426444812,1,8,1993,"sst","degC"
"mean","MAB",22.098184076945,1,9,1993,"sst","degC"
"mean","MAB",17.5918061231955,1,10,1993,"sst","degC"
"mean","MAB",13.8574731680063,1,11,1993,"sst","degC"
"mean","MAB",10.7395944839869,1,12,1993,"sst","degC"
"mean","MAB",8.15091296954033,1,1,1994,"sst","degC"
"mean","MAB",5.49325811068217,1,2,1994,"sst","degC"
"mean","MAB",5.59737787002172,1,3,1994,"sst","degC"
"mean","MAB",9.39918953333146,1,4,1994,"sst","degC"
"mean","MAB",13.1072155879094,1,5,1994,"sst","degC"
"mean","MAB",19.2614969938229,1,6,1994,"sst","degC"
"mean","MAB",23.0959283779829,1,7,1994,"sst","degC"
"mean","MAB",22.3988414764404,1,8,1994,"sst","degC"
"mean","MAB",19.8955568655943,1,9,1994,"sst","degC"
"mean","MAB",16.689677067292,1,10,1994,"sst","degC"
"mean","MAB",14.69544237577,1,11,1994,"sst","degC"
"mean","MAB",12.0120543015309,1,12,1994,"sst","degC"
"mean","MAB",9.31431076587775,1,1,1995,"sst","degC"
"mean","MAB",7.43677273163429,1,2,1995,"sst","degC"
"mean","MAB",7.23988072933295,1,3,1995,"sst","degC"
"mean","MAB",9.21084081943219,1,4,1995,"sst","degC"
"mean","MAB",12.7831758988209,1,5,1995,"sst","degC"
"mean","MAB",18.2890645491771,1,6,1995,"sst","degC"
"mean","MAB",22.7570251367031,1,7,1995,"sst","degC"
"mean","MAB",23.4194767389542,1,8,1995,"sst","degC"
"mean","MAB",21.7972012153039,1,9,1995,"sst","degC"
"mean","MAB",19.3648232973539,1,10,1995,"sst","degC"
"mean","MAB",15.4005586673052,1,11,1995,"sst","degC"
"mean","MAB",10.5665721917764,1,12,1995,"sst","degC"
"mean","MAB",7.04848289612012,1,1,1996,"sst","degC"
"mean","MAB",5.70486812774952,1,2,1996,"sst","degC"
"mean","MAB",5.56701393738771,1,3,1996,"sst","degC"
"mean","MAB",7.48008529711992,1,4,1996,"sst","degC"
"mean","MAB",12.301101405804,1,5,1996,"sst","degC"
"mean","MAB",18.7516970316569,1,6,1996,"sst","degC"
"mean","MAB",20.7508862813314,1,7,1996,"sst","degC"
"mean","MAB",22.1798688741831,1,8,1996,"sst","degC"
"mean","MAB",20.3362269523816,1,9,1996,"sst","degC"
"mean","MAB",16.2320757645827,1,10,1996,"sst","degC"
"mean","MAB",12.5724270845071,1,11,1996,"sst","degC"
"mean","MAB",9.74888314956274,1,12,1996,"sst","degC"
"mean","MAB",7.94852256285839,1,1,1997,"sst","degC"
"mean","MAB",6.56971414272602,1,2,1997,"sst","degC"
"mean","MAB",7.30636544349866,1,3,1997,"sst","degC"
"mean","MAB",8.80199811397455,1,4,1997,"sst","degC"
"mean","MAB",12.5574736619607,1,5,1997,"sst","degC"
"mean","MAB",16.7943483450474,1,6,1997,"sst","degC"
"mean","MAB",22.5017596122546,1,7,1997,"sst","degC"
"mean","MAB",22.6740474994366,1,8,1997,"sst","degC"
"mean","MAB",21.3166063846686,1,9,1997,"sst","degC"
"mean","MAB",17.9494156128321,1,10,1997,"sst","degC"
"mean","MAB",13.8177022640522,1,11,1997,"sst","degC"
"mean","MAB",10.2898045393137,1,12,1997,"sst","degC"
"mean","MAB",8.39869131430602,1,1,1998,"sst","degC"
"mean","MAB",7.10379653343788,1,2,1998,"sst","degC"
"mean","MAB",6.68604782789181,1,3,1998,"sst","degC"
"mean","MAB",8.60848869421543,1,4,1998,"sst","degC"
"mean","MAB",12.3018922121097,1,5,1998,"sst","degC"
"mean","MAB",17.8482714237311,1,6,1998,"sst","degC"
"mean","MAB",22.5257977607923,1,7,1998,"sst","degC"
"mean","MAB",23.4851012401092,1,8,1998,"sst","degC"
"mean","MAB",22.0642951574081,1,9,1998,"sst","degC"
"mean","MAB",17.7210582879873,1,10,1998,"sst","degC"
"mean","MAB",13.2738851987399,1,11,1998,"sst","degC"
"mean","MAB",11.1774472163274,1,12,1998,"sst","degC"
"mean","MAB",8.60388402449779,1,1,1999,"sst","degC"
"mean","MAB",7.1794284148094,1,2,1999,"sst","degC"
"mean","MAB",6.93476081750332,1,3,1999,"sst","degC"
"mean","MAB",8.86345792183509,1,4,1999,"sst","degC"
"mean","MAB",12.8219319172395,1,5,1999,"sst","degC"
"mean","MAB",18.8488593957363,1,6,1999,"sst","degC"
"mean","MAB",23.0644626421806,1,7,1999,"sst","degC"
"mean","MAB",24.216045819796,1,8,1999,"sst","degC"
"mean","MAB",21.9276063967974,1,9,1999,"sst","degC"
"mean","MAB",18.9279763881977,1,10,1999,"sst","degC"
"mean","MAB",15.6186474873469,1,11,1999,"sst","degC"
"mean","MAB",13.0776258664253,1,12,1999,"sst","degC"
"mean","MAB",9.93488313723833,1,1,2000,"sst","degC"
"mean","MAB",7.90723061928382,1,2,2000,"sst","degC"
"mean","MAB",8.12181619252914,1,3,2000,"sst","degC"
"mean","MAB",10.1172817890461,1,4,2000,"sst","degC"
"mean","MAB",14.0368731229733,1,5,2000,"sst","degC"
"mean","MAB",18.1265552422939,1,6,2000,"sst","degC"
"mean","MAB",22.112867971567,1,7,2000,"sst","degC"
"mean","MAB",22.9955759684245,1,8,2000,"sst","degC"
"mean","MAB",21.336763558021,1,9,2000,"sst","degC"
"mean","MAB",17.5185818892259,1,10,2000,"sst","degC"
"mean","MAB",13.6252766193488,1,11,2000,"sst","degC"
"mean","MAB",10.8585787430788,1,12,2000,"sst","degC"
"mean","MAB",7.74146050795531,1,1,2001,"sst","degC"
"mean","MAB",6.55528556505839,1,2,2001,"sst","degC"
"mean","MAB",6.22966073598617,1,3,2001,"sst","degC"
"mean","MAB",8.22465450824835,1,4,2001,"sst","degC"
"mean","MAB",13.0799186510917,1,5,2001,"sst","degC"
"mean","MAB",19.4478149120624,1,6,2001,"sst","degC"
"mean","MAB",22.0886430300199,1,7,2001,"sst","degC"
"mean","MAB",23.5706197689741,1,8,2001,"sst","degC"
"mean","MAB",22.2576011462089,1,9,2001,"sst","degC"
"mean","MAB",18.1907159169515,1,10,2001,"sst","degC"
"mean","MAB",15.110396248255,1,11,2001,"sst","degC"
"mean","MAB",12.9451097194965,1,12,2001,"sst","degC"
"mean","MAB",10.619998105367,1,1,2002,"sst","degC"
"mean","MAB",8.49162803796622,1,2,2002,"sst","degC"
"mean","MAB",8.49872935368465,1,3,2002,"sst","degC"
"mean","MAB",10.5021963388492,1,4,2002,"sst","degC"
"mean","MAB",13.3861155045338,1,5,2002,"sst","degC"
"mean","MAB",18.4620440018483,1,6,2002,"sst","degC"
"mean","MAB",22.8501400580773,1,7,2002,"sst","degC"
"mean","MAB",24.420791890071,1,8,2002,"sst","degC"
"mean","MAB",21.8782217465914,1,9,2002,"sst","degC"
"mean","MAB",19.3170385311811,1,10,2002,"sst","degC"
"mean","MAB",14.825502204895,1,11,2002,"sst","degC"
"mean","MAB",11.0742098563757,1,12,2002,"sst","degC"
"mean","MAB",8.29263667815771,1,1,2003,"sst","degC"
"mean","MAB",6.48508042677855,1,2,2003,"sst","degC"
"mean","MAB",6.51396179688282,1,3,2003,"sst","degC"
"mean","MAB",7.66104256556584,1,4,2003,"sst","degC"
"mean","MAB",11.563132916964,1,5,2003,"sst","degC"
"mean","MAB",16.6216850965451,1,6,2003,"sst","degC"
"mean","MAB",21.8189705579709,1,7,2003,"sst","degC"
"mean","MAB",23.1349920321734,1,8,2003,"sst","degC"
"mean","MAB",21.8376371041322,1,9,2003,"sst","degC"
"mean","MAB",18.4891559209579,1,10,2003,"sst","degC"
"mean","MAB",14.6528509531266,1,11,2003,"sst","degC"
"mean","MAB",10.7179154224885,1,12,2003,"sst","degC"
"mean","MAB",7.83572851327749,1,1,2004,"sst","degC"
"mean","MAB",5.93853921890259,1,2,2004,"sst","degC"
"mean","MAB",5.57156149668571,1,3,2004,"sst","degC"
