"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","01130",12.770627337766,1,1,2021,"bottomT","degC"
"mean","01130",12.6800292256367,2,1,2021,"bottomT","degC"
"mean","01130",12.599703053394,3,1,2021,"bottomT","degC"
"mean","01130",12.467523322048,4,1,2021,"bottomT","degC"
"mean","01130",12.25489386593,5,1,2021,"bottomT","degC"
"mean","01130",12.0915411753827,6,1,2021,"bottomT","degC"
"mean","01130",12.1035206346627,7,1,2021,"bottomT","degC"
"mean","01130",12.0708606788911,8,1,2021,"bottomT","degC"
"mean","01130",12.139494223767,9,1,2021,"bottomT","degC"
"mean","01130",12.1060400698558,10,1,2021,"bottomT","degC"
"mean","01130",12.0294863574476,11,1,2021,"bottomT","degC"
"mean","01130",12.0100413287979,12,1,2021,"bottomT","degC"
"mean","01130",11.9304255175303,13,1,2021,"bottomT","degC"
"mean","01130",11.87291982375,14,1,2021,"bottomT","degC"
"mean","01130",11.8398098486016,15,1,2021,"bottomT","degC"
"mean","01130",11.713255847793,16,1,2021,"bottomT","degC"
"mean","01130",11.6745950802263,17,1,2021,"bottomT","degC"
"mean","01130",11.7553051868117,18,1,2021,"bottomT","degC"
"mean","01130",11.7085875832891,19,1,2021,"bottomT","degC"
"mean","01130",11.8267978587783,20,1,2021,"bottomT","degC"
"mean","01130",11.9140426480626,21,1,2021,"bottomT","degC"
"mean","01130",11.8401186983269,22,1,2021,"bottomT","degC"
"mean","01130",11.7055783788842,23,1,2021,"bottomT","degC"
"mean","01130",11.6297660103763,24,1,2021,"bottomT","degC"
"mean","01130",11.5527225689716,25,1,2021,"bottomT","degC"
"mean","01130",11.4988923216441,26,1,2021,"bottomT","degC"
"mean","01130",11.3927673431764,27,1,2021,"bottomT","degC"
"mean","01130",11.199675651918,28,1,2021,"bottomT","degC"
"mean","01130",11.0099813966866,29,1,2021,"bottomT","degC"
"mean","01130",10.7518653955804,30,1,2021,"bottomT","degC"
"mean","01130",10.6879530355155,31,1,2021,"bottomT","degC"
"mean","01130",10.5283243455083,1,2,2021,"bottomT","degC"
