"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","01200",32.5213342905045,1,1,1993,"bottomS","1e-3"
"mean","01200",32.624874552091,1,2,1993,"bottomS","1e-3"
"mean","01200",32.5600706338882,1,3,1993,"bottomS","1e-3"
"mean","01200",32.563122232755,1,4,1993,"bottomS","1e-3"
"mean","01200",32.4414774974187,1,5,1993,"bottomS","1e-3"
"mean","01200",32.2716868321101,1,6,1993,"bottomS","1e-3"
"mean","01200",32.1855670611064,1,7,1993,"bottomS","1e-3"
"mean","01200",32.0814227859179,1,8,1993,"bottomS","1e-3"
"mean","01200",32.0228327910105,1,9,1993,"bottomS","1e-3"
"mean","01200",32.1795270840327,1,10,1993,"bottomS","1e-3"
"mean","01200",32.28748635451,1,11,1993,"bottomS","1e-3"
"mean","01200",32.407652815183,1,12,1993,"bottomS","1e-3"
"mean","01200",32.6309466362,1,1,1994,"bottomS","1e-3"
"mean","01200",32.8273776372274,1,2,1994,"bottomS","1e-3"
"mean","01200",32.8151863018672,1,3,1994,"bottomS","1e-3"
"mean","01200",32.7805190086365,1,4,1994,"bottomS","1e-3"
"mean","01200",32.6940505107244,1,5,1994,"bottomS","1e-3"
"mean","01200",32.4959977865219,1,6,1994,"bottomS","1e-3"
"mean","01200",32.3071960608164,1,7,1994,"bottomS","1e-3"
"mean","01200",32.3287977774938,1,8,1994,"bottomS","1e-3"
"mean","01200",32.4914997021357,1,9,1994,"bottomS","1e-3"
"mean","01200",32.6856573025386,1,10,1994,"bottomS","1e-3"
"mean","01200",32.8246278365453,1,11,1994,"bottomS","1e-3"
"mean","01200",32.8773996035258,1,12,1994,"bottomS","1e-3"
"mean","01200",32.9589887857437,1,1,1995,"bottomS","1e-3"
"mean","01200",33.0724478165309,1,2,1995,"bottomS","1e-3"
"mean","01200",33.0960201025009,1,3,1995,"bottomS","1e-3"
"mean","01200",32.9438566764196,1,4,1995,"bottomS","1e-3"
"mean","01200",32.780217051506,1,5,1995,"bottomS","1e-3"
"mean","01200",32.4889877637227,1,6,1995,"bottomS","1e-3"
"mean","01200",32.2750403285027,1,7,1995,"bottomS","1e-3"
"mean","01200",32.3324692249298,1,8,1995,"bottomS","1e-3"
"mean","01200",32.6772650082906,1,9,1995,"bottomS","1e-3"
"mean","01200",32.7285264333089,1,10,1995,"bottomS","1e-3"
"mean","01200",32.7445644537608,1,11,1995,"bottomS","1e-3"
"mean","01200",32.6766132911046,1,12,1995,"bottomS","1e-3"
"mean","01200",32.8203994433085,1,1,1996,"bottomS","1e-3"
"mean","01200",32.7063366969426,1,2,1996,"bottomS","1e-3"
"mean","01200",32.4067149957021,1,3,1996,"bottomS","1e-3"
"mean","01200",32.3675177494685,1,4,1996,"bottomS","1e-3"
"mean","01200",32.3207546472549,1,5,1996,"bottomS","1e-3"
"mean","01200",32.1185376048088,1,6,1996,"bottomS","1e-3"
"mean","01200",31.8295495708783,1,7,1996,"bottomS","1e-3"
"mean","01200",31.7616618275642,1,8,1996,"bottomS","1e-3"
"mean","01200",31.7631402214368,1,9,1996,"bottomS","1e-3"
"mean","01200",31.8693509101868,1,10,1996,"bottomS","1e-3"
"mean","01200",31.9778821070989,1,11,1996,"bottomS","1e-3"
"mean","01200",31.9848759174347,1,12,1996,"bottomS","1e-3"
"mean","01200",31.8158481121063,1,1,1997,"bottomS","1e-3"
"mean","01200",32.0006123582522,1,2,1997,"bottomS","1e-3"
"mean","01200",32.2678400278091,1,3,1997,"bottomS","1e-3"
"mean","01200",32.3832538525263,1,4,1997,"bottomS","1e-3"
"mean","01200",32.3536094824473,1,5,1997,"bottomS","1e-3"
"mean","01200",32.1954220930735,1,6,1997,"bottomS","1e-3"
"mean","01200",32.0554185708364,1,7,1997,"bottomS","1e-3"
"mean","01200",32.0437039534251,1,8,1997,"bottomS","1e-3"
"mean","01200",32.1779216130575,1,9,1997,"bottomS","1e-3"
"mean","01200",32.3981637159983,1,10,1997,"bottomS","1e-3"
"mean","01200",32.3982107639313,1,11,1997,"bottomS","1e-3"
"mean","01200",32.4103709459305,1,12,1997,"bottomS","1e-3"
"mean","01200",32.425614118576,1,1,1998,"bottomS","1e-3"
"mean","01200",32.3857493400574,1,2,1998,"bottomS","1e-3"
"mean","01200",32.3238224585851,1,3,1998,"bottomS","1e-3"
"mean","01200",32.1318576931953,1,4,1998,"bottomS","1e-3"
