"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","MAB",9.42110713125581,2,1,1959,"bottomT","degC"
"mean","MAB",9.33877732215614,3,1,1959,"bottomT","degC"
"mean","MAB",9.34467821229192,4,1,1959,"bottomT","degC"
"mean","MAB",9.33559367707213,5,1,1959,"bottomT","degC"
"mean","MAB",9.27576983784828,6,1,1959,"bottomT","degC"
"mean","MAB",8.92307844816811,7,1,1959,"bottomT","degC"
"mean","MAB",8.62228589704185,8,1,1959,"bottomT","degC"
"mean","MAB",8.45253459950711,9,1,1959,"bottomT","degC"
"mean","MAB",8.33573649561992,10,1,1959,"bottomT","degC"
"mean","MAB",8.18949322890391,11,1,1959,"bottomT","degC"
"mean","MAB",8.01905944676903,12,1,1959,"bottomT","degC"
"mean","MAB",7.89919561050268,13,1,1959,"bottomT","degC"
"mean","MAB",7.85973721121748,14,1,1959,"bottomT","degC"
"mean","MAB",7.80966154539594,15,1,1959,"bottomT","degC"
"mean","MAB",7.76761136228324,16,1,1959,"bottomT","degC"
"mean","MAB",7.81623490068648,17,1,1959,"bottomT","degC"
"mean","MAB",7.8536019409777,18,1,1959,"bottomT","degC"
"mean","MAB",7.7592390067463,19,1,1959,"bottomT","degC"
"mean","MAB",7.74630116556109,20,1,1959,"bottomT","degC"
"mean","MAB",7.72846457357786,21,1,1959,"bottomT","degC"
"mean","MAB",7.79912250036699,22,1,1959,"bottomT","degC"
"mean","MAB",7.87923835591844,23,1,1959,"bottomT","degC"
"mean","MAB",7.96597042331222,24,1,1959,"bottomT","degC"
"mean","MAB",7.94878660743697,25,1,1959,"bottomT","degC"
"mean","MAB",7.9501714875475,26,1,1959,"bottomT","degC"
"mean","MAB",7.98302977702074,27,1,1959,"bottomT","degC"
"mean","MAB",7.87914641018499,28,1,1959,"bottomT","degC"
"mean","MAB",7.80198697754514,29,1,1959,"bottomT","degC"
"mean","MAB",7.74740976618047,30,1,1959,"bottomT","degC"
"mean","MAB",7.752054722337,31,1,1959,"bottomT","degC"
"mean","MAB",7.83586234621137,1,2,1959,"bottomT","degC"
"mean","MAB",7.80344439790263,2,2,1959,"bottomT","degC"
"mean","MAB",7.66087334755569,3,2,1959,"bottomT","degC"
"mean","MAB",7.49604836849723,4,2,1959,"bottomT","degC"
"mean","MAB",7.4903305100104,5,2,1959,"bottomT","degC"
"mean","MAB",7.58986328777514,6,2,1959,"bottomT","degC"
"mean","MAB",7.60828406315798,7,2,1959,"bottomT","degC"
"mean","MAB",7.49364965404683,8,2,1959,"bottomT","degC"
"mean","MAB",7.4087161299778,9,2,1959,"bottomT","degC"
"mean","MAB",7.40358945762205,10,2,1959,"bottomT","degC"
"mean","MAB",7.2938680925913,11,2,1959,"bottomT","degC"
"mean","MAB",7.38510671536825,12,2,1959,"bottomT","degC"
"mean","MAB",7.32855436380146,13,2,1959,"bottomT","degC"
"mean","MAB",7.17363811916078,14,2,1959,"bottomT","degC"
"mean","MAB",7.25892102718353,15,2,1959,"bottomT","degC"
"mean","MAB",7.30148833641532,16,2,1959,"bottomT","degC"
"mean","MAB",7.26880301168315,17,2,1959,"bottomT","degC"
"mean","MAB",7.15110917732261,18,2,1959,"bottomT","degC"
"mean","MAB",7.15965492277793,19,2,1959,"bottomT","degC"
"mean","MAB",7.14109954928028,20,2,1959,"bottomT","degC"
"mean","MAB",6.97554263483442,21,2,1959,"bottomT","degC"
"mean","MAB",6.86684598961072,22,2,1959,"bottomT","degC"
"mean","MAB",6.82914207379023,23,2,1959,"bottomT","degC"
"mean","MAB",6.80404818964283,24,2,1959,"bottomT","degC"
"mean","MAB",6.76252086213146,25,2,1959,"bottomT","degC"
"mean","MAB",6.68306140116583,26,2,1959,"bottomT","degC"
"mean","MAB",6.56786554420696,27,2,1959,"bottomT","degC"
"mean","MAB",6.53858513218515,28,2,1959,"bottomT","degC"
"mean","MAB",6.51477828586803,1,3,1959,"bottomT","degC"
"mean","MAB",6.4812884926796,2,3,1959,"bottomT","degC"
"mean","MAB",6.44799612060704,3,3,1959,"bottomT","degC"
"mean","MAB",6.39098565660916,4,3,1959,"bottomT","degC"
"mean","MAB",6.31196074921825,5,3,1959,"bottomT","degC"
"mean","MAB",6.3483246789921,6,3,1959,"bottomT","degC"
"mean","MAB",6.39652964874082,7,3,1959,"bottomT","degC"
"mean","MAB",6.44036670595889,8,3,1959,"bottomT","degC"
"mean","MAB",6.49428216627966,9,3,1959,"bottomT","degC"
"mean","MAB",6.54616251177103,10,3,1959,"bottomT","degC"
"mean","MAB",6.58519799688345,11,3,1959,"bottomT","degC"
"mean","MAB",6.55108878462196,12,3,1959,"bottomT","degC"
"mean","MAB",6.45982598416326,13,3,1959,"bottomT","degC"
"mean","MAB",6.36108998673804,14,3,1959,"bottomT","degC"
"mean","MAB",6.34917403090797,15,3,1959,"bottomT","degC"
"mean","MAB",6.49172226436665,16,3,1959,"bottomT","degC"
"mean","MAB",6.59011987781106,17,3,1959,"bottomT","degC"
"mean","MAB",6.6568660999636,18,3,1959,"bottomT","degC"
"mean","MAB",6.7053838224418,19,3,1959,"bottomT","degC"
"mean","MAB",6.65051002160598,20,3,1959,"bottomT","degC"
"mean","MAB",6.6289708677137,21,3,1959,"bottomT","degC"
"mean","MAB",6.68718641456108,22,3,1959,"bottomT","degC"
"mean","MAB",6.70625925865787,23,3,1959,"bottomT","degC"
"mean","MAB",6.60388162087279,24,3,1959,"bottomT","degC"
"mean","MAB",6.57606125800953,25,3,1959,"bottomT","degC"
"mean","MAB",6.6554494273323,26,3,1959,"bottomT","degC"
"mean","MAB",6.68212580959496,27,3,1959,"bottomT","degC"
"mean","MAB",6.67526655583768,28,3,1959,"bottomT","degC"
"mean","MAB",6.66386100094714,29,3,1959,"bottomT","degC"
"mean","MAB",6.40760004093736,30,3,1959,"bottomT","degC"
"mean","MAB",6.2610197124732,31,3,1959,"bottomT","degC"
"mean","MAB",6.27843661827271,1,4,1959,"bottomT","degC"
"mean","MAB",6.31654658763403,2,4,1959,"bottomT","degC"
"mean","MAB",6.34022293968563,3,4,1959,"bottomT","degC"
"mean","MAB",6.40900062713595,4,4,1959,"bottomT","degC"
"mean","MAB",6.53269421470871,5,4,1959,"bottomT","degC"
"mean","MAB",6.63789489776048,6,4,1959,"bottomT","degC"
"mean","MAB",6.71005043276389,7,4,1959,"bottomT","degC"
"mean","MAB",6.82653819025651,8,4,1959,"bottomT","degC"
"mean","MAB",6.89291326228156,9,4,1959,"bottomT","degC"
"mean","MAB",6.97030730505247,10,4,1959,"bottomT","degC"
"mean","MAB",7.03593523577237,11,4,1959,"bottomT","degC"
"mean","MAB",7.04934273138806,12,4,1959,"bottomT","degC"
"mean","MAB",7.05029809501068,13,4,1959,"bottomT","degC"
"mean","MAB",7.03874818629118,14,4,1959,"bottomT","degC"
"mean","MAB",6.96568447974061,15,4,1959,"bottomT","degC"
"mean","MAB",6.93249889531216,16,4,1959,"bottomT","degC"
"mean","MAB",6.92847039370401,17,4,1959,"bottomT","degC"
"mean","MAB",6.94281246489726,18,4,1959,"bottomT","degC"
"mean","MAB",6.97170541998764,19,4,1959,"bottomT","degC"
"mean","MAB",6.97581997102329,20,4,1959,"bottomT","degC"
"mean","MAB",6.98555868798751,21,4,1959,"bottomT","degC"
"mean","MAB",7.00207091440155,22,4,1959,"bottomT","degC"
"mean","MAB",6.99846313154724,23,4,1959,"bottomT","degC"
"mean","MAB",7.01605068566244,24,4,1959,"bottomT","degC"
"mean","MAB",6.9910243174486,25,4,1959,"bottomT","degC"
"mean","MAB",6.97375340472188,26,4,1959,"bottomT","degC"
"mean","MAB",6.98709293067107,27,4,1959,"bottomT","degC"
"mean","MAB",7.02765591393604,28,4,1959,"bottomT","degC"
"mean","MAB",7.08236954732913,29,4,1959,"bottomT","degC"
"mean","MAB",7.10534737995494,30,4,1959,"bottomT","degC"
"mean","MAB",7.09037739974552,1,5,1959,"bottomT","degC"
"mean","MAB",7.09429165061326,2,5,1959,"bottomT","degC"
"mean","MAB",7.1166132421194,3,5,1959,"bottomT","degC"
"mean","MAB",7.13660503025905,4,5,1959,"bottomT","degC"
"mean","MAB",7.15632864904717,5,5,1959,"bottomT","degC"
"mean","MAB",7.17703878452867,6,5,1959,"bottomT","degC"
"mean","MAB",7.18401928188332,7,5,1959,"bottomT","degC"
"mean","MAB",7.18025407467209,8,5,1959,"bottomT","degC"
"mean","MAB",7.17967272048627,9,5,1959,"bottomT","degC"
"mean","MAB",7.21669237678115,10,5,1959,"bottomT","degC"
"mean","MAB",7.22909802672983,11,5,1959,"bottomT","degC"
"mean","MAB",7.2347310251176,12,5,1959,"bottomT","degC"
"mean","MAB",7.2420924669465,13,5,1959,"bottomT","degC"
"mean","MAB",7.25288925717746,14,5,1959,"bottomT","degC"
"mean","MAB",7.26806934424958,15,5,1959,"bottomT","degC"
"mean","MAB",7.28158990791716,16,5,1959,"bottomT","degC"
"mean","MAB",7.2961327104868,17,5,1959,"bottomT","degC"
"mean","MAB",7.31672387962536,18,5,1959,"bottomT","degC"
"mean","MAB",7.34682926267843,19,5,1959,"bottomT","degC"
"mean","MAB",7.37033026160943,20,5,1959,"bottomT","degC"
"mean","MAB",7.3889338776872,21,5,1959,"bottomT","degC"
"mean","MAB",7.40939383249025,22,5,1959,"bottomT","degC"
"mean","MAB",7.44009942482474,23,5,1959,"bottomT","degC"
"mean","MAB",7.4607946783892,24,5,1959,"bottomT","degC"
"mean","MAB",7.50497818898772,25,5,1959,"bottomT","degC"
"mean","MAB",7.56610163290889,26,5,1959,"bottomT","degC"
"mean","MAB",7.62190909399614,27,5,1959,"bottomT","degC"
"mean","MAB",7.63292460514735,28,5,1959,"bottomT","degC"
"mean","MAB",7.64702318653388,29,5,1959,"bottomT","degC"
"mean","MAB",7.67946062756769,30,5,1959,"bottomT","degC"
"mean","MAB",7.71035479018948,31,5,1959,"bottomT","degC"
"mean","MAB",7.72914052044414,1,6,1959,"bottomT","degC"
"mean","MAB",7.78392279539951,2,6,1959,"bottomT","degC"
"mean","MAB",7.8332301596815,3,6,1959,"bottomT","degC"
"mean","MAB",7.83999232308894,4,6,1959,"bottomT","degC"
"mean","MAB",7.89034081254239,5,6,1959,"bottomT","degC"
"mean","MAB",7.95334054154145,6,6,1959,"bottomT","degC"
"mean","MAB",7.99334720488967,7,6,1959,"bottomT","degC"
"mean","MAB",8.00273255243016,8,6,1959,"bottomT","degC"
"mean","MAB",8.02044944296448,9,6,1959,"bottomT","degC"
"mean","MAB",8.05104830824084,10,6,1959,"bottomT","degC"
"mean","MAB",8.06426377763184,11,6,1959,"bottomT","degC"
"mean","MAB",8.08910626543099,12,6,1959,"bottomT","degC"
"mean","MAB",8.12269621247179,13,6,1959,"bottomT","degC"
"mean","MAB",8.15923442746532,14,6,1959,"bottomT","degC"
"mean","MAB",8.12823867797852,15,6,1959,"bottomT","degC"
"mean","MAB",8.18038444696681,16,6,1959,"bottomT","degC"
"mean","MAB",8.18097225552149,17,6,1959,"bottomT","degC"
"mean","MAB",8.2066457983871,18,6,1959,"bottomT","degC"
"mean","MAB",8.28772218755077,19,6,1959,"bottomT","degC"
"mean","MAB",8.34089471024262,20,6,1959,"bottomT","degC"
"mean","MAB",8.34667298391494,21,6,1959,"bottomT","degC"
"mean","MAB",8.37727263863719,22,6,1959,"bottomT","degC"
"mean","MAB",8.37872595853227,23,6,1959,"bottomT","degC"
"mean","MAB",8.36000017217688,24,6,1959,"bottomT","degC"
"mean","MAB",8.35856922043772,25,6,1959,"bottomT","degC"
"mean","MAB",8.42456717870808,26,6,1959,"bottomT","degC"
"mean","MAB",8.45471573293949,27,6,1959,"bottomT","degC"
"mean","MAB",8.46471979045102,28,6,1959,"bottomT","degC"
"mean","MAB",8.49070875865861,29,6,1959,"bottomT","degC"
"mean","MAB",8.5254205448772,30,6,1959,"bottomT","degC"
"mean","MAB",8.52399209644605,1,7,1959,"bottomT","degC"
"mean","MAB",8.5365824075926,2,7,1959,"bottomT","degC"
"mean","MAB",8.5657032055085,3,7,1959,"bottomT","degC"
"mean","MAB",8.5466606390572,4,7,1959,"bottomT","degC"
"mean","MAB",8.62361690909258,5,7,1959,"bottomT","degC"
"mean","MAB",8.69271834163095,6,7,1959,"bottomT","degC"
"mean","MAB",8.71197735679855,7,7,1959,"bottomT","degC"
"mean","MAB",8.6925116271499,8,7,1959,"bottomT","degC"
"mean","MAB",8.71740975930275,9,7,1959,"bottomT","degC"
"mean","MAB",8.78867799335366,10,7,1959,"bottomT","degC"
"mean","MAB",8.76919264842159,11,7,1959,"bottomT","degC"
"mean","MAB",8.6989905686166,12,7,1959,"bottomT","degC"
"mean","MAB",8.6572956498998,13,7,1959,"bottomT","degC"
"mean","MAB",8.61130482075944,14,7,1959,"bottomT","degC"
"mean","MAB",8.59847516174121,15,7,1959,"bottomT","degC"
"mean","MAB",8.62118366027592,16,7,1959,"bottomT","degC"
"mean","MAB",8.66006629566279,17,7,1959,"bottomT","degC"
"mean","MAB",8.70983668885325,18,7,1959,"bottomT","degC"
"mean","MAB",8.76444771535384,19,7,1959,"bottomT","degC"
"mean","MAB",8.76296520389894,20,7,1959,"bottomT","degC"
"mean","MAB",8.68159869972853,21,7,1959,"bottomT","degC"
"mean","MAB",8.61974691891862,22,7,1959,"bottomT","degC"
"mean","MAB",8.58766059530661,23,7,1959,"bottomT","degC"
"mean","MAB",8.59675034177486,24,7,1959,"bottomT","degC"
"mean","MAB",8.6074213753485,25,7,1959,"bottomT","degC"
"mean","MAB",8.5840800989275,26,7,1959,"bottomT","degC"
"mean","MAB",8.56225782802629,27,7,1959,"bottomT","degC"
"mean","MAB",8.60260691339731,28,7,1959,"bottomT","degC"
"mean","MAB",8.63232065901606,29,7,1959,"bottomT","degC"
"mean","MAB",8.66221854772073,30,7,1959,"bottomT","degC"
"mean","MAB",8.7074934800582,31,7,1959,"bottomT","degC"
"mean","MAB",8.74649817060606,1,8,1959,"bottomT","degC"
"mean","MAB",8.77391837738656,2,8,1959,"bottomT","degC"
"mean","MAB",8.79413678874231,3,8,1959,"bottomT","degC"
"mean","MAB",9.00426596651293,4,8,1959,"bottomT","degC"
"mean","MAB",9.17289087039176,5,8,1959,"bottomT","degC"
"mean","MAB",9.21364468114057,6,8,1959,"bottomT","degC"
"mean","MAB",9.21769746330378,7,8,1959,"bottomT","degC"
"mean","MAB",9.3655866634419,8,8,1959,"bottomT","degC"
"mean","MAB",9.46317976839443,9,8,1959,"bottomT","degC"
"mean","MAB",9.49142631150407,10,8,1959,"bottomT","degC"
"mean","MAB",9.53607795724388,11,8,1959,"bottomT","degC"
"mean","MAB",9.60460721723697,12,8,1959,"bottomT","degC"
"mean","MAB",9.64511358259019,13,8,1959,"bottomT","degC"
"mean","MAB",9.68010228841822,14,8,1959,"bottomT","degC"
"mean","MAB",9.68744036783869,15,8,1959,"bottomT","degC"
"mean","MAB",9.70939361030294,16,8,1959,"bottomT","degC"
"mean","MAB",9.75027205876141,17,8,1959,"bottomT","degC"
"mean","MAB",9.72849084514175,18,8,1959,"bottomT","degC"
"mean","MAB",9.69564189276963,19,8,1959,"bottomT","degC"
"mean","MAB",9.66319860342735,20,8,1959,"bottomT","degC"
"mean","MAB",9.73480731331579,21,8,1959,"bottomT","degC"
"mean","MAB",9.832789663854,22,8,1959,"bottomT","degC"
"mean","MAB",9.85190023759406,23,8,1959,"bottomT","degC"
"mean","MAB",9.88381649578811,24,8,1959,"bottomT","degC"
"mean","MAB",10.1032465770351,25,8,1959,"bottomT","degC"
"mean","MAB",10.2020601512221,26,8,1959,"bottomT","degC"
"mean","MAB",10.2298056481963,27,8,1959,"bottomT","degC"
"mean","MAB",10.2862037302718,28,8,1959,"bottomT","degC"
"mean","MAB",10.3339572628542,29,8,1959,"bottomT","degC"
"mean","MAB",10.37521005774,30,8,1959,"bottomT","degC"
"mean","MAB",10.4064220661138,31,8,1959,"bottomT","degC"
"mean","MAB",10.441461104037,1,9,1959,"bottomT","degC"
"mean","MAB",10.4720384313557,2,9,1959,"bottomT","degC"
"mean","MAB",10.5073291396816,3,9,1959,"bottomT","degC"
"mean","MAB",10.5622518719157,4,9,1959,"bottomT","degC"
"mean","MAB",10.6403173045402,5,9,1959,"bottomT","degC"
"mean","MAB",10.7425588373723,6,9,1959,"bottomT","degC"
"mean","MAB",10.8517793968178,7,9,1959,"bottomT","degC"
"mean","MAB",10.9510134222561,8,9,1959,"bottomT","degC"
"mean","MAB",11.0321020884963,9,9,1959,"bottomT","degC"
"mean","MAB",11.0971747426938,10,9,1959,"bottomT","degC"
