"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",10.568001505095,1,1,2021,"bottomT","degC"
"mean","stock_area",10.5578747782385,2,1,2021,"bottomT","degC"
"mean","stock_area",10.5426477391391,3,1,2021,"bottomT","degC"
"mean","stock_area",10.4484339615164,4,1,2021,"bottomT","degC"
"mean","stock_area",10.3270315037211,5,1,2021,"bottomT","degC"
"mean","stock_area",10.2010593698763,6,1,2021,"bottomT","degC"
"mean","stock_area",10.1079256400506,7,1,2021,"bottomT","degC"
"mean","stock_area",10.0644137394708,8,1,2021,"bottomT","degC"
"mean","stock_area",10.050065588717,9,1,2021,"bottomT","degC"
"mean","stock_area",10.0040473535067,10,1,2021,"bottomT","degC"
"mean","stock_area",9.96612150858499,11,1,2021,"bottomT","degC"
"mean","stock_area",9.96023646517546,12,1,2021,"bottomT","degC"
"mean","stock_area",9.95552863807985,13,1,2021,"bottomT","degC"
"mean","stock_area",9.96513736769402,14,1,2021,"bottomT","degC"
"mean","stock_area",9.97739867247559,15,1,2021,"bottomT","degC"
"mean","stock_area",9.94313963280303,16,1,2021,"bottomT","degC"
"mean","stock_area",9.94475510197713,17,1,2021,"bottomT","degC"
"mean","stock_area",9.98117443161045,18,1,2021,"bottomT","degC"
"mean","stock_area",10.0397281266507,19,1,2021,"bottomT","degC"
"mean","stock_area",10.0850150160263,20,1,2021,"bottomT","degC"
"mean","stock_area",10.0708998395233,21,1,2021,"bottomT","degC"
"mean","stock_area",10.0575072816425,22,1,2021,"bottomT","degC"
"mean","stock_area",10.0468183031255,23,1,2021,"bottomT","degC"
"mean","stock_area",9.95912744948567,24,1,2021,"bottomT","degC"
"mean","stock_area",9.89457188905332,25,1,2021,"bottomT","degC"
"mean","stock_area",9.84810232045004,26,1,2021,"bottomT","degC"
"mean","stock_area",9.80004952997368,27,1,2021,"bottomT","degC"
"mean","stock_area",9.71978097081149,28,1,2021,"bottomT","degC"
"mean","stock_area",9.55287347319438,29,1,2021,"bottomT","degC"
"mean","stock_area",9.34878086157052,30,1,2021,"bottomT","degC"
"mean","stock_area",9.24229838024538,31,1,2021,"bottomT","degC"
"mean","stock_area",9.1661865155777,1,2,2021,"bottomT","degC"
"mean","stock_area",9.03197334998067,2,2,2021,"bottomT","degC"
"mean","stock_area",9.00206190579989,3,2,2021,"bottomT","degC"
"mean","stock_area",9.01480220783612,4,2,2021,"bottomT","degC"
"mean","stock_area",9.02722520907696,5,2,2021,"bottomT","degC"
"mean","stock_area",9.07681806659954,6,2,2021,"bottomT","degC"
"mean","stock_area",9.13191940429061,7,2,2021,"bottomT","degC"
"mean","stock_area",9.11343156585591,8,2,2021,"bottomT","degC"
"mean","stock_area",9.08749134729959,9,2,2021,"bottomT","degC"
"mean","stock_area",9.08835695251685,10,2,2021,"bottomT","degC"
"mean","stock_area",9.04246555010289,11,2,2021,"bottomT","degC"
"mean","stock_area",8.98804521425889,12,2,2021,"bottomT","degC"
"mean","stock_area",8.93387551067912,13,2,2021,"bottomT","degC"
"mean","stock_area",8.87253978443231,14,2,2021,"bottomT","degC"
"mean","stock_area",8.83987050948842,15,2,2021,"bottomT","degC"
"mean","stock_area",8.80362356542583,16,2,2021,"bottomT","degC"
"mean","stock_area",8.84851971257127,17,2,2021,"bottomT","degC"
"mean","stock_area",8.83417744786922,18,2,2021,"bottomT","degC"
"mean","stock_area",8.73406315559222,19,2,2021,"bottomT","degC"
"mean","stock_area",8.63406958263639,20,2,2021,"bottomT","degC"
