"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","MAB",32.4225631786595,1,1,1993,"bottomS","1e-3"
"mean","MAB",32.4893088241052,1,2,1993,"bottomS","1e-3"
"mean","MAB",32.2602472844892,1,3,1993,"bottomS","1e-3"
"mean","MAB",32.09073446187,1,4,1993,"bottomS","1e-3"
"mean","MAB",31.670907890958,1,5,1993,"bottomS","1e-3"
"mean","MAB",31.3234689344193,1,6,1993,"bottomS","1e-3"
"mean","MAB",31.7086196432548,1,7,1993,"bottomS","1e-3"
"mean","MAB",32.025376837192,1,8,1993,"bottomS","1e-3"
"mean","MAB",32.2651038480714,1,9,1993,"bottomS","1e-3"
"mean","MAB",32.6022310679249,1,10,1993,"bottomS","1e-3"
"mean","MAB",32.4770526205628,1,11,1993,"bottomS","1e-3"
"mean","MAB",32.5022829109746,1,12,1993,"bottomS","1e-3"
"mean","MAB",32.5234713231799,1,1,1994,"bottomS","1e-3"
"mean","MAB",32.4994910698829,1,2,1994,"bottomS","1e-3"
"mean","MAB",32.2456844172648,1,3,1994,"bottomS","1e-3"
"mean","MAB",31.6567907345104,1,4,1994,"bottomS","1e-3"
"mean","MAB",31.7824224411048,1,5,1994,"bottomS","1e-3"
"mean","MAB",31.7215252438741,1,6,1994,"bottomS","1e-3"
"mean","MAB",32.5491258297459,1,7,1994,"bottomS","1e-3"
"mean","MAB",33.0128317090418,1,8,1994,"bottomS","1e-3"
"mean","MAB",32.9835519227594,1,9,1994,"bottomS","1e-3"
"mean","MAB",32.8100985155188,1,10,1994,"bottomS","1e-3"
"mean","MAB",32.9722116911397,1,11,1994,"bottomS","1e-3"
"mean","MAB",33.0367566410173,1,12,1994,"bottomS","1e-3"
"mean","MAB",32.9396426481221,1,1,1995,"bottomS","1e-3"
"mean","MAB",33.1117127548724,1,2,1995,"bottomS","1e-3"
"mean","MAB",33.1786086093016,1,3,1995,"bottomS","1e-3"
"mean","MAB",32.755213027804,1,4,1995,"bottomS","1e-3"
"mean","MAB",32.3132099184456,1,5,1995,"bottomS","1e-3"
"mean","MAB",31.8732844794955,1,6,1995,"bottomS","1e-3"
"mean","MAB",32.0812917242484,1,7,1995,"bottomS","1e-3"
"mean","MAB",32.8061814736323,1,8,1995,"bottomS","1e-3"
"mean","MAB",33.0992670047474,1,9,1995,"bottomS","1e-3"
"mean","MAB",33.1965377544858,1,10,1995,"bottomS","1e-3"
"mean","MAB",33.3077172271147,1,11,1995,"bottomS","1e-3"
"mean","MAB",33.2384096323931,1,12,1995,"bottomS","1e-3"
"mean","MAB",32.8283804744519,1,1,1996,"bottomS","1e-3"
"mean","MAB",32.4858515506008,1,2,1996,"bottomS","1e-3"
"mean","MAB",32.4419957567992,1,3,1996,"bottomS","1e-3"
"mean","MAB",32.1405617079318,1,4,1996,"bottomS","1e-3"
"mean","MAB",31.8079540245647,1,5,1996,"bottomS","1e-3"
"mean","MAB",31.7334661612798,1,6,1996,"bottomS","1e-3"
"mean","MAB",31.9350646665322,1,7,1996,"bottomS","1e-3"
"mean","MAB",31.8867455959907,1,8,1996,"bottomS","1e-3"
"mean","MAB",31.7164125489426,1,9,1996,"bottomS","1e-3"
"mean","MAB",31.7868753705371,1,10,1996,"bottomS","1e-3"
"mean","MAB",31.8531668335749,1,11,1996,"bottomS","1e-3"
"mean","MAB",31.7446796902871,1,12,1996,"bottomS","1e-3"
"mean","MAB",31.8170326075724,1,1,1997,"bottomS","1e-3"
"mean","MAB",31.8271613314583,1,2,1997,"bottomS","1e-3"
"mean","MAB",31.8266517280213,1,3,1997,"bottomS","1e-3"
"mean","MAB",31.7080434550512,1,4,1997,"bottomS","1e-3"
"mean","MAB",31.4661185216493,1,5,1997,"bottomS","1e-3"
"mean","MAB",31.4701050585926,1,6,1997,"bottomS","1e-3"
"mean","MAB",31.2502066693183,1,7,1997,"bottomS","1e-3"
"mean","MAB",31.6571022915811,1,8,1997,"bottomS","1e-3"
"mean","MAB",31.9383999694317,1,9,1997,"bottomS","1e-3"
"mean","MAB",32.3170585022348,1,10,1997,"bottomS","1e-3"
"mean","MAB",32.2114665253136,1,11,1997,"bottomS","1e-3"
"mean","MAB",32.1769595163775,1,12,1997,"bottomS","1e-3"
"mean","MAB",32.0064613640235,1,1,1998,"bottomS","1e-3"
"mean","MAB",31.9496896093915,1,2,1998,"bottomS","1e-3"
"mean","MAB",31.7905016086198,1,3,1998,"bottomS","1e-3"
"mean","MAB",31.4827451459596,1,4,1998,"bottomS","1e-3"
"mean","MAB",31.1684034941088,1,5,1998,"bottomS","1e-3"
"mean","MAB",30.7093524017897,1,6,1998,"bottomS","1e-3"
"mean","MAB",30.946993269457,1,7,1998,"bottomS","1e-3"
"mean","MAB",31.4490377231424,1,8,1998,"bottomS","1e-3"
"mean","MAB",31.5905912734779,1,9,1998,"bottomS","1e-3"
"mean","MAB",31.716198557564,1,10,1998,"bottomS","1e-3"
"mean","MAB",31.7301543107918,1,11,1998,"bottomS","1e-3"
"mean","MAB",31.6594972270295,1,12,1998,"bottomS","1e-3"
"mean","MAB",31.9390897469327,1,1,1999,"bottomS","1e-3"
"mean","MAB",32.1282857352957,1,2,1999,"bottomS","1e-3"
"mean","MAB",32.0507591571315,1,3,1999,"bottomS","1e-3"
"mean","MAB",31.7562789741038,1,4,1999,"bottomS","1e-3"
"mean","MAB",32.1001302524393,1,5,1999,"bottomS","1e-3"
"mean","MAB",31.8806166033023,1,6,1999,"bottomS","1e-3"
"mean","MAB",32.2494250669397,1,7,1999,"bottomS","1e-3"
