"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",32.3803305739097,1,1,1993,"bottomS","1e-3"
"mean","stock_area",32.4682540086524,1,2,1993,"bottomS","1e-3"
"mean","stock_area",32.4038021719493,1,3,1993,"bottomS","1e-3"
"mean","stock_area",32.2337173682371,1,4,1993,"bottomS","1e-3"
"mean","stock_area",32.0349864359365,1,5,1993,"bottomS","1e-3"
"mean","stock_area",31.8424710597539,1,6,1993,"bottomS","1e-3"
"mean","stock_area",31.8177829856597,1,7,1993,"bottomS","1e-3"
"mean","stock_area",32.0021278767148,1,8,1993,"bottomS","1e-3"
"mean","stock_area",32.0527045739078,1,9,1993,"bottomS","1e-3"
"mean","stock_area",32.2649066745927,1,10,1993,"bottomS","1e-3"
"mean","stock_area",32.3717159422805,1,11,1993,"bottomS","1e-3"
"mean","stock_area",32.5129940920693,1,12,1993,"bottomS","1e-3"
"mean","stock_area",32.5436274220454,1,1,1994,"bottomS","1e-3"
"mean","stock_area",32.6238763767868,1,2,1994,"bottomS","1e-3"
"mean","stock_area",32.4908429402685,1,3,1994,"bottomS","1e-3"
"mean","stock_area",32.3193282598805,1,4,1994,"bottomS","1e-3"
"mean","stock_area",32.2175574091074,1,5,1994,"bottomS","1e-3"
"mean","stock_area",32.067878100156,1,6,1994,"bottomS","1e-3"
"mean","stock_area",32.1030444400106,1,7,1994,"bottomS","1e-3"
"mean","stock_area",32.2983510604953,1,8,1994,"bottomS","1e-3"
"mean","stock_area",32.5396386639622,1,9,1994,"bottomS","1e-3"
"mean","stock_area",32.713523340176,1,10,1994,"bottomS","1e-3"
"mean","stock_area",32.7576412943002,1,11,1994,"bottomS","1e-3"
"mean","stock_area",32.7491550435715,1,12,1994,"bottomS","1e-3"
"mean","stock_area",32.4870698336354,1,1,1995,"bottomS","1e-3"
"mean","stock_area",32.4153560435686,1,2,1995,"bottomS","1e-3"
"mean","stock_area",32.3368511839671,1,3,1995,"bottomS","1e-3"
"mean","stock_area",32.2522851562106,1,4,1995,"bottomS","1e-3"
"mean","stock_area",32.1017224466346,1,5,1995,"bottomS","1e-3"
"mean","stock_area",31.654918417719,1,6,1995,"bottomS","1e-3"
"mean","stock_area",31.6587544894932,1,7,1995,"bottomS","1e-3"
"mean","stock_area",32.0902047949556,1,8,1995,"bottomS","1e-3"
"mean","stock_area",32.36785319223,1,9,1995,"bottomS","1e-3"
"mean","stock_area",32.4452462378424,1,10,1995,"bottomS","1e-3"
"mean","stock_area",32.5339845228244,1,11,1995,"bottomS","1e-3"
"mean","stock_area",32.6036927732029,1,12,1995,"bottomS","1e-3"
"mean","stock_area",32.4713113536776,1,1,1996,"bottomS","1e-3"
"mean","stock_area",32.1621492816937,1,2,1996,"bottomS","1e-3"
"mean","stock_area",32.0375752591742,1,3,1996,"bottomS","1e-3"
"mean","stock_area",31.9317132715593,1,4,1996,"bottomS","1e-3"
"mean","stock_area",31.8257669787412,1,5,1996,"bottomS","1e-3"
"mean","stock_area",31.6750145342328,1,6,1996,"bottomS","1e-3"
"mean","stock_area",31.6230409019872,1,7,1996,"bottomS","1e-3"
"mean","stock_area",31.6216417564573,1,8,1996,"bottomS","1e-3"
"mean","stock_area",31.5972529264672,1,9,1996,"bottomS","1e-3"
"mean","stock_area",31.6133436561246,1,10,1996,"bottomS","1e-3"
"mean","stock_area",31.6400448756813,1,11,1996,"bottomS","1e-3"
"mean","stock_area",31.6309421616073,1,12,1996,"bottomS","1e-3"
"mean","stock_area",31.6914965410105,1,1,1997,"bottomS","1e-3"
"mean","stock_area",31.9617191793011,1,2,1997,"bottomS","1e-3"
"mean","stock_area",32.124550792824,1,3,1997,"bottomS","1e-3"
"mean","stock_area",32.1778534484722,1,4,1997,"bottomS","1e-3"
"mean","stock_area",32.0156439101118,1,5,1997,"bottomS","1e-3"
"mean","stock_area",31.9192963610985,1,6,1997,"bottomS","1e-3"
"mean","stock_area",31.8023237832683,1,7,1997,"bottomS","1e-3"
"mean","stock_area",31.8110738199193,1,8,1997,"bottomS","1e-3"
"mean","stock_area",32.0285889967061,1,9,1997,"bottomS","1e-3"
"mean","stock_area",32.1191509353118,1,10,1997,"bottomS","1e-3"
"mean","stock_area",32.1097181879207,1,11,1997,"bottomS","1e-3"
"mean","stock_area",31.9944589012548,1,12,1997,"bottomS","1e-3"
"mean","stock_area",31.9500739783571,1,1,1998,"bottomS","1e-3"
"mean","stock_area",31.8058921323841,1,2,1998,"bottomS","1e-3"
"mean","stock_area",31.60832419361,1,3,1998,"bottomS","1e-3"
"mean","stock_area",31.4889870044248,1,4,1998,"bottomS","1e-3"
"mean","stock_area",31.4246784491682,1,5,1998,"bottomS","1e-3"
"mean","stock_area",31.3146079066368,1,6,1998,"bottomS","1e-3"
"mean","stock_area",31.2041869719577,1,7,1998,"bottomS","1e-3"
"mean","stock_area",31.3778897335655,1,8,1998,"bottomS","1e-3"
"mean","stock_area",31.5571552745083,1,9,1998,"bottomS","1e-3"
"mean","stock_area",31.7824308180834,1,10,1998,"bottomS","1e-3"
"mean","stock_area",31.996799709135,1,11,1998,"bottomS","1e-3"
"mean","stock_area",32.0697449378062,1,12,1998,"bottomS","1e-3"
"mean","stock_area",32.2262727768921,1,1,1999,"bottomS","1e-3"
"mean","stock_area",32.349665670326,1,2,1999,"bottomS","1e-3"
"mean","stock_area",32.4268107310906,1,3,1999,"bottomS","1e-3"
"mean","stock_area",32.360433026364,1,4,1999,"bottomS","1e-3"
"mean","stock_area",32.2284293780017,1,5,1999,"bottomS","1e-3"
"mean","stock_area",32.155752600285,1,6,1999,"bottomS","1e-3"
"mean","stock_area",32.1009909695762,1,7,1999,"bottomS","1e-3"
"mean","stock_area",32.2959984965369,1,8,1999,"bottomS","1e-3"
"mean","stock_area",32.5699744977449,1,9,1999,"bottomS","1e-3"
"mean","stock_area",32.7005049800971,1,10,1999,"bottomS","1e-3"
"mean","stock_area",32.9154140287386,1,11,1999,"bottomS","1e-3"
"mean","stock_area",33.0634539203624,1,12,1999,"bottomS","1e-3"
"mean","stock_area",33.0972014674215,1,1,2000,"bottomS","1e-3"
"mean","stock_area",32.9996398742723,1,2,2000,"bottomS","1e-3"
"mean","stock_area",32.7894148742944,1,3,2000,"bottomS","1e-3"
"mean","stock_area",32.6776026862571,1,4,2000,"bottomS","1e-3"
"mean","stock_area",32.5311642204891,1,5,2000,"bottomS","1e-3"
"mean","stock_area",32.4062894234593,1,6,2000,"bottomS","1e-3"
"mean","stock_area",32.2819178594032,1,7,2000,"bottomS","1e-3"
"mean","stock_area",32.2852594741727,1,8,2000,"bottomS","1e-3"
"mean","stock_area",32.3375519082273,1,9,2000,"bottomS","1e-3"
"mean","stock_area",32.4401070906774,1,10,2000,"bottomS","1e-3"
"mean","stock_area",32.6428597905934,1,11,2000,"bottomS","1e-3"
"mean","stock_area",32.5250463200304,1,12,2000,"bottomS","1e-3"
"mean","stock_area",32.4300735806287,1,1,2001,"bottomS","1e-3"
"mean","stock_area",32.2678601714726,1,2,2001,"bottomS","1e-3"
"mean","stock_area",32.027805632482,1,3,2001,"bottomS","1e-3"
"mean","stock_area",31.8590971471355,1,4,2001,"bottomS","1e-3"
"mean","stock_area",31.8839560519554,1,5,2001,"bottomS","1e-3"
"mean","stock_area",31.7574546260853,1,6,2001,"bottomS","1e-3"
"mean","stock_area",31.887111806525,1,7,2001,"bottomS","1e-3"
"mean","stock_area",31.9155815900049,1,8,2001,"bottomS","1e-3"
"mean","stock_area",32.2188667842601,1,9,2001,"bottomS","1e-3"
"mean","stock_area",32.4826094024076,1,10,2001,"bottomS","1e-3"
"mean","stock_area",32.6562924321099,1,11,2001,"bottomS","1e-3"
"mean","stock_area",32.7448543749358,1,12,2001,"bottomS","1e-3"
"mean","stock_area",32.7669299335303,1,1,2002,"bottomS","1e-3"
"mean","stock_area",32.6346972271631,1,2,2002,"bottomS","1e-3"
"mean","stock_area",32.4949002841678,1,3,2002,"bottomS","1e-3"
"mean","stock_area",32.4006558045268,1,4,2002,"bottomS","1e-3"
"mean","stock_area",32.2515788909944,1,5,2002,"bottomS","1e-3"
"mean","stock_area",32.2120961837847,1,6,2002,"bottomS","1e-3"
"mean","stock_area",32.1630398314312,1,7,2002,"bottomS","1e-3"
"mean","stock_area",32.3627321491301,1,8,2002,"bottomS","1e-3"
"mean","stock_area",32.6538019879069,1,9,2002,"bottomS","1e-3"
"mean","stock_area",32.8188972492828,1,10,2002,"bottomS","1e-3"
"mean","stock_area",32.9734101487387,1,11,2002,"bottomS","1e-3"
"mean","stock_area",33.0564785594173,1,12,2002,"bottomS","1e-3"
"mean","stock_area",32.9136053583324,1,1,2003,"bottomS","1e-3"
"mean","stock_area",32.7624332656309,1,2,2003,"bottomS","1e-3"
"mean","stock_area",32.6767530490493,1,3,2003,"bottomS","1e-3"
"mean","stock_area",32.5331727904801,1,4,2003,"bottomS","1e-3"
"mean","stock_area",32.3997298792789,1,5,2003,"bottomS","1e-3"
"mean","stock_area",32.1366030276744,1,6,2003,"bottomS","1e-3"
"mean","stock_area",32.023347516055,1,7,2003,"bottomS","1e-3"
"mean","stock_area",32.099635918443,1,8,2003,"bottomS","1e-3"
"mean","stock_area",32.4363670841213,1,9,2003,"bottomS","1e-3"
"mean","stock_area",32.5858061330852,1,10,2003,"bottomS","1e-3"
"mean","stock_area",32.7295525140438,1,11,2003,"bottomS","1e-3"
"mean","stock_area",32.8617041856512,1,12,2003,"bottomS","1e-3"
"mean","stock_area",32.9920480411242,1,1,2004,"bottomS","1e-3"
"mean","stock_area",32.9356273783004,1,2,2004,"bottomS","1e-3"
"mean","stock_area",32.5766301927675,1,3,2004,"bottomS","1e-3"
"mean","stock_area",32.5098854966454,1,4,2004,"bottomS","1e-3"
"mean","stock_area",32.2649192878951,1,5,2004,"bottomS","1e-3"
"mean","stock_area",32.1519567038868,1,6,2004,"bottomS","1e-3"
"mean","stock_area",31.9787121941062,1,7,2004,"bottomS","1e-3"
"mean","stock_area",31.9420097309738,1,8,2004,"bottomS","1e-3"
"mean","stock_area",32.1617689654308,1,9,2004,"bottomS","1e-3"
"mean","stock_area",32.1822580134783,1,10,2004,"bottomS","1e-3"
"mean","stock_area",32.2348959866692,1,11,2004,"bottomS","1e-3"
"mean","stock_area",32.2080710571494,1,12,2004,"bottomS","1e-3"
"mean","stock_area",32.0830680839294,1,1,2005,"bottomS","1e-3"
"mean","stock_area",32.1082521218141,1,2,2005,"bottomS","1e-3"
"mean","stock_area",32.0959266046498,1,3,2005,"bottomS","1e-3"
"mean","stock_area",31.9976485127389,1,4,2005,"bottomS","1e-3"
"mean","stock_area",31.8248819187822,1,5,2005,"bottomS","1e-3"
"mean","stock_area",31.4941970718903,1,6,2005,"bottomS","1e-3"
"mean","stock_area",31.4256847123736,1,7,2005,"bottomS","1e-3"
