"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",9.85836531060399,1,1,2021,"bottomT","degC"
"mean","stock_area",9.84339555498247,2,1,2021,"bottomT","degC"
"mean","stock_area",9.82196456765981,3,1,2021,"bottomT","degC"
"mean","stock_area",9.77981917038791,4,1,2021,"bottomT","degC"
"mean","stock_area",9.73018492584504,5,1,2021,"bottomT","degC"
"mean","stock_area",9.67326666720757,6,1,2021,"bottomT","degC"
"mean","stock_area",9.63493051125415,7,1,2021,"bottomT","degC"
"mean","stock_area",9.60322414315522,8,1,2021,"bottomT","degC"
"mean","stock_area",9.59541631409258,9,1,2021,"bottomT","degC"
"mean","stock_area",9.56697193732326,10,1,2021,"bottomT","degC"
"mean","stock_area",9.54161454821765,11,1,2021,"bottomT","degC"
"mean","stock_area",9.53444544498888,12,1,2021,"bottomT","degC"
"mean","stock_area",9.52256608919709,13,1,2021,"bottomT","degC"
"mean","stock_area",9.52068131036434,14,1,2021,"bottomT","degC"
"mean","stock_area",9.52401700034599,15,1,2021,"bottomT","degC"
"mean","stock_area",9.51069958365,16,1,2021,"bottomT","degC"
"mean","stock_area",9.50509739426514,17,1,2021,"bottomT","degC"
"mean","stock_area",9.51994244060772,18,1,2021,"bottomT","degC"
"mean","stock_area",9.52266094829768,19,1,2021,"bottomT","degC"
"mean","stock_area",9.53678449585465,20,1,2021,"bottomT","degC"
"mean","stock_area",9.53377990333904,21,1,2021,"bottomT","degC"
"mean","stock_area",9.53240192514701,22,1,2021,"bottomT","degC"
"mean","stock_area",9.53022538471517,23,1,2021,"bottomT","degC"
"mean","stock_area",9.47499878500022,24,1,2021,"bottomT","degC"
"mean","stock_area",9.42989337296678,25,1,2021,"bottomT","degC"
"mean","stock_area",9.41747243116515,26,1,2021,"bottomT","degC"
"mean","stock_area",9.41179125867515,27,1,2021,"bottomT","degC"
"mean","stock_area",9.38594672320674,28,1,2021,"bottomT","degC"
"mean","stock_area",9.33577580004162,29,1,2021,"bottomT","degC"
"mean","stock_area",9.25081945265287,30,1,2021,"bottomT","degC"
"mean","stock_area",9.19429917207566,31,1,2021,"bottomT","degC"
"mean","stock_area",9.14657088416034,1,2,2021,"bottomT","degC"
"mean","stock_area",9.10158298972713,2,2,2021,"bottomT","degC"
"mean","stock_area",9.06469207085569,3,2,2021,"bottomT","degC"
"mean","stock_area",9.04983531985859,4,2,2021,"bottomT","degC"
"mean","stock_area",9.02654940708011,5,2,2021,"bottomT","degC"
"mean","stock_area",9.03406282019935,6,2,2021,"bottomT","degC"
"mean","stock_area",9.04377545562445,7,2,2021,"bottomT","degC"
"mean","stock_area",9.03646877921649,8,2,2021,"bottomT","degC"
"mean","stock_area",9.03163456486229,9,2,2021,"bottomT","degC"
"mean","stock_area",9.02812126300406,10,2,2021,"bottomT","degC"
"mean","stock_area",8.99849620396877,11,2,2021,"bottomT","degC"
"mean","stock_area",8.96237512835531,12,2,2021,"bottomT","degC"
"mean","stock_area",8.91549832606832,13,2,2021,"bottomT","degC"
"mean","stock_area",8.88977508832796,14,2,2021,"bottomT","degC"
"mean","stock_area",8.87677174923467,15,2,2021,"bottomT","degC"
"mean","stock_area",8.8518932153566,16,2,2021,"bottomT","degC"
"mean","stock_area",8.84995287183146,17,2,2021,"bottomT","degC"
"mean","stock_area",8.82009802391162,18,2,2021,"bottomT","degC"
"mean","stock_area",8.77712230072179,19,2,2021,"bottomT","degC"
"mean","stock_area",8.75044855244758,20,2,2021,"bottomT","degC"
"mean","stock_area",8.72568301839602,21,2,2021,"bottomT","degC"
"mean","stock_area",8.69967483047115,22,2,2021,"bottomT","degC"
"mean","stock_area",8.70871283530697,23,2,2021,"bottomT","degC"
"mean","stock_area",8.71969760177797,24,2,2021,"bottomT","degC"
"mean","stock_area",8.73850306256514,25,2,2021,"bottomT","degC"
"mean","stock_area",8.7562465028005,26,2,2021,"bottomT","degC"
"mean","stock_area",8.75762597153923,27,2,2021,"bottomT","degC"
"mean","stock_area",8.7848492448667,28,2,2021,"bottomT","degC"
"mean","stock_area",8.80120906335281,1,3,2021,"bottomT","degC"
"mean","stock_area",8.80325445868036,2,3,2021,"bottomT","degC"
"mean","stock_area",8.7790320223453,3,3,2021,"bottomT","degC"
"mean","stock_area",8.80782296610814,4,3,2021,"bottomT","degC"
"mean","stock_area",8.82660386141609,5,3,2021,"bottomT","degC"
"mean","stock_area",8.8216177081176,6,3,2021,"bottomT","degC"
"mean","stock_area",8.81886783276057,7,3,2021,"bottomT","degC"
"mean","stock_area",8.81518104915402,8,3,2021,"bottomT","degC"
"mean","stock_area",8.80620692081373,9,3,2021,"bottomT","degC"
"mean","stock_area",8.79825017093013,10,3,2021,"bottomT","degC"
"mean","stock_area",8.79803475150137,11,3,2021,"bottomT","degC"
"mean","stock_area",8.81707907042882,12,3,2021,"bottomT","degC"
"mean","stock_area",8.82819308289803,13,3,2021,"bottomT","degC"
"mean","stock_area",8.83088967723866,14,3,2021,"bottomT","degC"
"mean","stock_area",8.80751722085341,15,3,2021,"bottomT","degC"
"mean","stock_area",8.74041391230958,16,3,2021,"bottomT","degC"
"mean","stock_area",8.72060050511631,17,3,2021,"bottomT","degC"
"mean","stock_area",8.72658856119288,18,3,2021,"bottomT","degC"
"mean","stock_area",8.72721366973361,19,3,2021,"bottomT","degC"
"mean","stock_area",8.69596082617993,20,3,2021,"bottomT","degC"
"mean","stock_area",8.69648464705307,21,3,2021,"bottomT","degC"
"mean","stock_area",8.688202520027,22,3,2021,"bottomT","degC"
"mean","stock_area",8.69004081055845,23,3,2021,"bottomT","degC"
"mean","stock_area",8.68802600502353,24,3,2021,"bottomT","degC"
"mean","stock_area",8.68083385540359,25,3,2021,"bottomT","degC"
"mean","stock_area",8.67866824704181,26,3,2021,"bottomT","degC"
"mean","stock_area",8.69864040791558,27,3,2021,"bottomT","degC"
"mean","stock_area",8.69754363434972,28,3,2021,"bottomT","degC"
"mean","stock_area",8.72417693278369,29,3,2021,"bottomT","degC"
"mean","stock_area",8.73365789104418,30,3,2021,"bottomT","degC"
"mean","stock_area",8.74364604484924,31,3,2021,"bottomT","degC"
"mean","stock_area",8.76729628176143,1,4,2021,"bottomT","degC"
"mean","stock_area",8.76958507145645,2,4,2021,"bottomT","degC"
"mean","stock_area",8.76227197853773,3,4,2021,"bottomT","degC"
"mean","stock_area",8.74924518904573,4,4,2021,"bottomT","degC"
"mean","stock_area",8.73345267354396,5,4,2021,"bottomT","degC"
"mean","stock_area",8.71579502782832,6,4,2021,"bottomT","degC"
"mean","stock_area",8.71080813663786,7,4,2021,"bottomT","degC"
"mean","stock_area",8.70822113414052,8,4,2021,"bottomT","degC"
"mean","stock_area",8.70376261370593,9,4,2021,"bottomT","degC"
"mean","stock_area",8.70743578420212,10,4,2021,"bottomT","degC"
"mean","stock_area",8.70993018347166,11,4,2021,"bottomT","degC"
"mean","stock_area",8.70532159957846,12,4,2021,"bottomT","degC"
"mean","stock_area",8.69722314638742,13,4,2021,"bottomT","degC"
"mean","stock_area",8.69482247034709,14,4,2021,"bottomT","degC"
"mean","stock_area",8.69775376206704,15,4,2021,"bottomT","degC"
"mean","stock_area",8.69103288625908,16,4,2021,"bottomT","degC"
"mean","stock_area",8.67508918975775,17,4,2021,"bottomT","degC"
"mean","stock_area",8.67175576659794,18,4,2021,"bottomT","degC"
"mean","stock_area",8.68861975832251,19,4,2021,"bottomT","degC"
"mean","stock_area",8.70968111503727,20,4,2021,"bottomT","degC"
"mean","stock_area",8.7298225729089,21,4,2021,"bottomT","degC"
"mean","stock_area",8.76741344222589,22,4,2021,"bottomT","degC"
"mean","stock_area",8.83746541296857,23,4,2021,"bottomT","degC"
"mean","stock_area",8.90907791450666,24,4,2021,"bottomT","degC"
"mean","stock_area",8.96323341949313,25,4,2021,"bottomT","degC"
"mean","stock_area",9.00419927725974,26,4,2021,"bottomT","degC"
"mean","stock_area",9.03778211595596,27,4,2021,"bottomT","degC"
"mean","stock_area",9.06516600319476,28,4,2021,"bottomT","degC"
"mean","stock_area",9.08045246382124,29,4,2021,"bottomT","degC"
"mean","stock_area",9.09953306432356,30,4,2021,"bottomT","degC"
"mean","stock_area",9.13033880808528,1,5,2021,"bottomT","degC"
"mean","stock_area",9.15952054069015,2,5,2021,"bottomT","degC"
"mean","stock_area",9.19833025769922,3,5,2021,"bottomT","degC"
"mean","stock_area",9.22040071477585,4,5,2021,"bottomT","degC"
"mean","stock_area",9.23416673804953,5,5,2021,"bottomT","degC"
"mean","stock_area",9.24499617887601,6,5,2021,"bottomT","degC"
"mean","stock_area",9.25514571068826,7,5,2021,"bottomT","degC"
"mean","stock_area",9.25703577692664,8,5,2021,"bottomT","degC"
"mean","stock_area",9.25928754211087,9,5,2021,"bottomT","degC"
"mean","stock_area",9.27868370252005,10,5,2021,"bottomT","degC"
"mean","stock_area",9.28813177587078,11,5,2021,"bottomT","degC"
"mean","stock_area",9.29312093486727,12,5,2021,"bottomT","degC"
"mean","stock_area",9.29481788734656,13,5,2021,"bottomT","degC"
"mean","stock_area",9.30190347936254,14,5,2021,"bottomT","degC"
"mean","stock_area",9.30737109942087,15,5,2021,"bottomT","degC"
"mean","stock_area",9.30861943055971,16,5,2021,"bottomT","degC"
"mean","stock_area",9.31108433617158,17,5,2021,"bottomT","degC"
"mean","stock_area",9.31104843830546,18,5,2021,"bottomT","degC"
"mean","stock_area",9.31603420014475,19,5,2021,"bottomT","degC"
"mean","stock_area",9.31056655991065,20,5,2021,"bottomT","degC"
"mean","stock_area",9.31050722444021,21,5,2021,"bottomT","degC"
"mean","stock_area",9.31678931779537,22,5,2021,"bottomT","degC"
"mean","stock_area",9.32295312108885,23,5,2021,"bottomT","degC"
"mean","stock_area",9.32625176490768,24,5,2021,"bottomT","degC"
"mean","stock_area",9.32445617750579,25,5,2021,"bottomT","degC"
"mean","stock_area",9.36106364153733,26,5,2021,"bottomT","degC"
"mean","stock_area",9.39585058878573,27,5,2021,"bottomT","degC"
"mean","stock_area",9.40926286556649,28,5,2021,"bottomT","degC"
"mean","stock_area",9.40910789447426,29,5,2021,"bottomT","degC"
"mean","stock_area",9.41907338239829,30,5,2021,"bottomT","degC"
"mean","stock_area",9.42409731015578,31,5,2021,"bottomT","degC"
"mean","stock_area",9.43719438158199,1,6,2021,"bottomT","degC"
"mean","stock_area",9.44887381170802,2,6,2021,"bottomT","degC"
"mean","stock_area",9.45655501442428,3,6,2021,"bottomT","degC"
"mean","stock_area",9.46965813833617,4,6,2021,"bottomT","degC"
"mean","stock_area",9.49358086763152,5,6,2021,"bottomT","degC"
"mean","stock_area",9.5124396079588,6,6,2021,"bottomT","degC"
"mean","stock_area",9.53009537105344,7,6,2021,"bottomT","degC"
"mean","stock_area",9.55202258408254,8,6,2021,"bottomT","degC"
"mean","stock_area",9.57627185997702,9,6,2021,"bottomT","degC"
"mean","stock_area",9.58225462286588,10,6,2021,"bottomT","degC"
"mean","stock_area",9.58707220487919,11,6,2021,"bottomT","degC"
"mean","stock_area",9.59461244414834,12,6,2021,"bottomT","degC"
"mean","stock_area",9.60395734794861,13,6,2021,"bottomT","degC"
"mean","stock_area",9.61747958785609,14,6,2021,"bottomT","degC"
"mean","stock_area",9.63120592341703,15,6,2021,"bottomT","degC"
"mean","stock_area",9.64901930592008,16,6,2021,"bottomT","degC"
"mean","stock_area",9.67165855111475,17,6,2021,"bottomT","degC"
"mean","stock_area",9.69342400587257,18,6,2021,"bottomT","degC"
"mean","stock_area",9.71622162411457,19,6,2021,"bottomT","degC"
"mean","stock_area",9.74713733543183,20,6,2021,"bottomT","degC"
"mean","stock_area",9.77118402442696,21,6,2021,"bottomT","degC"
"mean","stock_area",9.79383878023878,22,6,2021,"bottomT","degC"
"mean","stock_area",9.81972339697051,23,6,2021,"bottomT","degC"
"mean","stock_area",9.84039245744239,24,6,2021,"bottomT","degC"
"mean","stock_area",9.85138592385409,25,6,2021,"bottomT","degC"
"mean","stock_area",9.86347162465193,26,6,2021,"bottomT","degC"
"mean","stock_area",9.87874221481898,27,6,2021,"bottomT","degC"
"mean","stock_area",9.90930231486066,28,6,2021,"bottomT","degC"
"mean","stock_area",9.93437775222141,29,6,2021,"bottomT","degC"
"mean","stock_area",9.95701360259632,30,6,2021,"bottomT","degC"
"mean","stock_area",9.97910408486523,1,7,2021,"bottomT","degC"
"mean","stock_area",9.98894294841125,2,7,2021,"bottomT","degC"
"mean","stock_area",9.98579132864473,3,7,2021,"bottomT","degC"
"mean","stock_area",9.98197226246321,4,7,2021,"bottomT","degC"
"mean","stock_area",9.98644667181068,5,7,2021,"bottomT","degC"
"mean","stock_area",9.99016445450738,6,7,2021,"bottomT","degC"
"mean","stock_area",9.99652553982533,7,7,2021,"bottomT","degC"
"mean","stock_area",9.9860910354384,8,7,2021,"bottomT","degC"
"mean","stock_area",9.97663502427447,9,7,2021,"bottomT","degC"
"mean","stock_area",9.97441273995351,10,7,2021,"bottomT","degC"
"mean","stock_area",9.95729553871726,11,7,2021,"bottomT","degC"
"mean","stock_area",9.94414442685366,12,7,2021,"bottomT","degC"
"mean","stock_area",9.93293856590279,13,7,2021,"bottomT","degC"
"mean","stock_area",9.92334423296469,14,7,2021,"bottomT","degC"
"mean","stock_area",9.91615583726865,15,7,2021,"bottomT","degC"
"mean","stock_area",9.91150038997701,16,7,2021,"bottomT","degC"
"mean","stock_area",9.9132188786171,17,7,2021,"bottomT","degC"
"mean","stock_area",9.91178008105118,18,7,2021,"bottomT","degC"
"mean","stock_area",9.91225212301878,19,7,2021,"bottomT","degC"
"mean","stock_area",9.9127343640854,20,7,2021,"bottomT","degC"
"mean","stock_area",9.91064020305472,21,7,2021,"bottomT","degC"
"mean","stock_area",9.89596865322322,22,7,2021,"bottomT","degC"
"mean","stock_area",9.87846482255264,23,7,2021,"bottomT","degC"
"mean","stock_area",9.85701719107889,24,7,2021,"bottomT","degC"
"mean","stock_area",9.8355915005116,25,7,2021,"bottomT","degC"
"mean","stock_area",9.81638996495305,26,7,2021,"bottomT","degC"
"mean","stock_area",9.79869414999758,27,7,2021,"bottomT","degC"
"mean","stock_area",9.78307926876257,28,7,2021,"bottomT","degC"
"mean","stock_area",9.76705582764373,29,7,2021,"bottomT","degC"
"mean","stock_area",9.75157093952561,30,7,2021,"bottomT","degC"
"mean","stock_area",9.74095050149412,31,7,2021,"bottomT","degC"
"mean","stock_area",9.72843506990695,1,8,2021,"bottomT","degC"
"mean","stock_area",9.70812467008183,2,8,2021,"bottomT","degC"
"mean","stock_area",9.69061669033747,3,8,2021,"bottomT","degC"
"mean","stock_area",9.67006591463729,4,8,2021,"bottomT","degC"
"mean","stock_area",9.66728957666332,5,8,2021,"bottomT","degC"
"mean","stock_area",9.67384266742612,6,8,2021,"bottomT","degC"
"mean","stock_area",9.67591148744058,7,8,2021,"bottomT","degC"
"mean","stock_area",9.68385801645009,8,8,2021,"bottomT","degC"
"mean","stock_area",9.69224144160071,9,8,2021,"bottomT","degC"
"mean","stock_area",9.71037416044773,10,8,2021,"bottomT","degC"
"mean","stock_area",9.7296444704166,11,8,2021,"bottomT","degC"
"mean","stock_area",9.75327052002229,12,8,2021,"bottomT","degC"
"mean","stock_area",9.77784595536251,13,8,2021,"bottomT","degC"
"mean","stock_area",9.80028375863291,14,8,2021,"bottomT","degC"
"mean","stock_area",9.82306021458101,15,8,2021,"bottomT","degC"
"mean","stock_area",9.84399683913456,16,8,2021,"bottomT","degC"
"mean","stock_area",9.8668719441529,17,8,2021,"bottomT","degC"
"mean","stock_area",9.88761091687485,18,8,2021,"bottomT","degC"
"mean","stock_area",9.90771232386984,19,8,2021,"bottomT","degC"
"mean","stock_area",9.93056776550655,20,8,2021,"bottomT","degC"
"mean","stock_area",9.95398065032605,21,8,2021,"bottomT","degC"
"mean","stock_area",9.97820196604458,22,8,2021,"bottomT","degC"
"mean","stock_area",10.0115172055976,23,8,2021,"bottomT","degC"
"mean","stock_area",10.0498752927386,24,8,2021,"bottomT","degC"
"mean","stock_area",10.0823821344858,25,8,2021,"bottomT","degC"
"mean","stock_area",10.1054008218649,26,8,2021,"bottomT","degC"
"mean","stock_area",10.1283541492141,27,8,2021,"bottomT","degC"
"mean","stock_area",10.1493652474646,28,8,2021,"bottomT","degC"
"mean","stock_area",10.1615246517124,29,8,2021,"bottomT","degC"
"mean","stock_area",10.1851722439991,30,8,2021,"bottomT","degC"
"mean","stock_area",10.2040113307866,31,8,2021,"bottomT","degC"
"mean","stock_area",10.2168922133982,1,9,2021,"bottomT","degC"
"mean","stock_area",10.2300845336619,2,9,2021,"bottomT","degC"
"mean","stock_area",10.2692714348912,3,9,2021,"bottomT","degC"
"mean","stock_area",10.287577242059,4,9,2021,"bottomT","degC"
"mean","stock_area",10.298966034032,5,9,2021,"bottomT","degC"
"mean","stock_area",10.3056759632532,6,9,2021,"bottomT","degC"
"mean","stock_area",10.326503753047,7,9,2021,"bottomT","degC"
"mean","stock_area",10.3445053272818,8,9,2021,"bottomT","degC"
"mean","stock_area",10.3418272434742,9,9,2021,"bottomT","degC"
"mean","stock_area",10.3394175177388,10,9,2021,"bottomT","degC"
"mean","stock_area",10.3546219627432,11,9,2021,"bottomT","degC"
"mean","stock_area",10.3700909880293,12,9,2021,"bottomT","degC"
"mean","stock_area",10.3748594265358,13,9,2021,"bottomT","degC"
"mean","stock_area",10.3718230682507,14,9,2021,"bottomT","degC"
"mean","stock_area",10.3663146226399,15,9,2021,"bottomT","degC"
"mean","stock_area",10.3858698994014,16,9,2021,"bottomT","degC"
"mean","stock_area",10.4084256349825,17,9,2021,"bottomT","degC"
"mean","stock_area",10.4204489773887,18,9,2021,"bottomT","degC"
