"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",15.5076896966981,1,9,1981,"sst","degC"
"mean","stock_area",12.6886107783672,1,10,1981,"sst","degC"
"mean","stock_area",10.5475989530894,1,11,1981,"sst","degC"
"mean","stock_area",8.12087557729611,1,12,1981,"sst","degC"
"mean","stock_area",6.11128351314009,1,1,1982,"sst","degC"
"mean","stock_area",5.56937118699728,1,2,1982,"sst","degC"
"mean","stock_area",4.73242591136743,1,3,1982,"sst","degC"
"mean","stock_area",5.59862520182428,1,4,1982,"sst","degC"
"mean","stock_area",8.29505181115521,1,5,1982,"sst","degC"
"mean","stock_area",11.0010011058208,1,6,1982,"sst","degC"
"mean","stock_area",15.2342478578741,1,7,1982,"sst","degC"
"mean","stock_area",15.977037800245,1,8,1982,"sst","degC"
"mean","stock_area",15.0446883666614,1,9,1982,"sst","degC"
"mean","stock_area",12.976612599428,1,10,1982,"sst","degC"
"mean","stock_area",11.3880879110541,1,11,1982,"sst","degC"
"mean","stock_area",9.3703943461426,1,12,1982,"sst","degC"
"mean","stock_area",7.61037040939016,1,1,1983,"sst","degC"
"mean","stock_area",6.31800901791281,1,2,1983,"sst","degC"
"mean","stock_area",5.82622621177642,1,3,1983,"sst","degC"
"mean","stock_area",6.26852876883893,1,4,1983,"sst","degC"
"mean","stock_area",8.58261776561579,1,5,1983,"sst","degC"
"mean","stock_area",12.3321525991456,1,6,1983,"sst","degC"
"mean","stock_area",14.760026324879,1,7,1983,"sst","degC"
"mean","stock_area",15.9422590239974,1,8,1983,"sst","degC"
"mean","stock_area",16.0131167025606,1,9,1983,"sst","degC"
"mean","stock_area",13.7755982343816,1,10,1983,"sst","degC"
"mean","stock_area",11.2813441260787,1,11,1983,"sst","degC"
"mean","stock_area",8.76969455490427,1,12,1983,"sst","degC"
"mean","stock_area",6.4238974752505,1,1,1984,"sst","degC"
"mean","stock_area",5.77278129423945,1,2,1984,"sst","degC"
"mean","stock_area",5.34294177530226,1,3,1984,"sst","degC"
"mean","stock_area",5.64566378652557,1,4,1984,"sst","degC"
"mean","stock_area",7.93117149408199,1,5,1984,"sst","degC"
"mean","stock_area",11.7524487873739,1,6,1984,"sst","degC"
"mean","stock_area",15.7451409899499,1,7,1984,"sst","degC"
"mean","stock_area",17.9137492652767,1,8,1984,"sst","degC"
"mean","stock_area",15.6734982522066,1,9,1984,"sst","degC"
"mean","stock_area",13.200312973054,1,10,1984,"sst","degC"
"mean","stock_area",11.373283496573,1,11,1984,"sst","degC"
"mean","stock_area",9.39472255627971,1,12,1984,"sst","degC"
"mean","stock_area",6.95171272853189,1,1,1985,"sst","degC"
"mean","stock_area",5.40991280985273,1,2,1985,"sst","degC"
"mean","stock_area",5.19952933847412,1,3,1985,"sst","degC"
"mean","stock_area",5.89223540715935,1,4,1985,"sst","degC"
"mean","stock_area",8.07049435229341,1,5,1985,"sst","degC"
"mean","stock_area",11.0774598417203,1,6,1985,"sst","degC"
"mean","stock_area",15.1323416883295,1,7,1985,"sst","degC"
"mean","stock_area",16.9349116609116,1,8,1985,"sst","degC"
"mean","stock_area",15.6266704590853,1,9,1985,"sst","degC"
"mean","stock_area",13.5455475129372,1,10,1985,"sst","degC"
"mean","stock_area",10.8710493568547,1,11,1985,"sst","degC"
"mean","stock_area",8.27310833458073,1,12,1985,"sst","degC"
"mean","stock_area",6.15317635299746,1,1,1986,"sst","degC"
"mean","stock_area",5.12320090226891,1,2,1986,"sst","degC"
"mean","stock_area",4.8311635837082,1,3,1986,"sst","degC"
"mean","stock_area",6.28736212233867,1,4,1986,"sst","degC"
"mean","stock_area",8.6122551693404,1,5,1986,"sst","degC"
"mean","stock_area",11.088783547898,1,6,1986,"sst","degC"
"mean","stock_area",15.0722897072469,1,7,1986,"sst","degC"
"mean","stock_area",17.2964458859656,1,8,1986,"sst","degC"
"mean","stock_area",14.9024500925679,1,9,1986,"sst","degC"
"mean","stock_area",12.757905640878,1,10,1986,"sst","degC"
"mean","stock_area",10.227656782166,1,11,1986,"sst","degC"
"mean","stock_area",8.14714593138577,1,12,1986,"sst","degC"
"mean","stock_area",6.37358422515806,1,1,1987,"sst","degC"
"mean","stock_area",4.72472540307636,1,2,1987,"sst","degC"
"mean","stock_area",3.7746120090327,1,3,1987,"sst","degC"
"mean","stock_area",5.1736693086703,1,4,1987,"sst","degC"
"mean","stock_area",7.54523445357961,1,5,1987,"sst","degC"
"mean","stock_area",11.3678716706836,1,6,1987,"sst","degC"
"mean","stock_area",14.8280748729863,1,7,1987,"sst","degC"
"mean","stock_area",16.2381828126829,1,8,1987,"sst","degC"
"mean","stock_area",15.1563619148633,1,9,1987,"sst","degC"
"mean","stock_area",12.1768499248284,1,10,1987,"sst","degC"
"mean","stock_area",9.7595548945025,1,11,1987,"sst","degC"
"mean","stock_area",7.49261912432584,1,12,1987,"sst","degC"
"mean","stock_area",4.98484125905786,1,1,1988,"sst","degC"
"mean","stock_area",4.07101017088929,1,2,1988,"sst","degC"
"mean","stock_area",4.21756321438088,1,3,1988,"sst","degC"
"mean","stock_area",5.26513763597189,1,4,1988,"sst","degC"
"mean","stock_area",8.25989185285962,1,5,1988,"sst","degC"
"mean","stock_area",11.4111512436354,1,6,1988,"sst","degC"
"mean","stock_area",15.8495437212227,1,7,1988,"sst","degC"
"mean","stock_area",17.3416031924161,1,8,1988,"sst","degC"
"mean","stock_area",15.0229252704904,1,9,1988,"sst","degC"
"mean","stock_area",12.3922950807682,1,10,1988,"sst","degC"
"mean","stock_area",9.91874082423439,1,11,1988,"sst","degC"
"mean","stock_area",7.54458793726834,1,12,1988,"sst","degC"
"mean","stock_area",5.61475326896699,1,1,1989,"sst","degC"
"mean","stock_area",4.90405537865379,1,2,1989,"sst","degC"
"mean","stock_area",4.05515320143424,1,3,1989,"sst","degC"
"mean","stock_area",5.07734287573286,1,4,1989,"sst","degC"
"mean","stock_area",8.17619684116899,1,5,1989,"sst","degC"
"mean","stock_area",12.0840548326161,1,6,1989,"sst","degC"
"mean","stock_area",15.3262779732381,1,7,1989,"sst","degC"
"mean","stock_area",17.2909420738535,1,8,1989,"sst","degC"
"mean","stock_area",16.2198012801241,1,9,1989,"sst","degC"
"mean","stock_area",12.6826323398874,1,10,1989,"sst","degC"
"mean","stock_area",10.7596430423831,1,11,1989,"sst","degC"
"mean","stock_area",7.16185933302257,1,12,1989,"sst","degC"
"mean","stock_area",5.53411076975263,1,1,1990,"sst","degC"
"mean","stock_area",4.88026997373124,1,2,1990,"sst","degC"
"mean","stock_area",4.83438938806865,1,3,1990,"sst","degC"
"mean","stock_area",5.56618444387578,1,4,1990,"sst","degC"
"mean","stock_area",7.50457462003408,1,5,1990,"sst","degC"
"mean","stock_area",11.7379102312829,1,6,1990,"sst","degC"
"mean","stock_area",15.8682680996982,1,7,1990,"sst","degC"
"mean","stock_area",18.8791637775327,1,8,1990,"sst","degC"
"mean","stock_area",17.1897378953035,1,9,1990,"sst","degC"
"mean","stock_area",14.1490959332994,1,10,1990,"sst","degC"
"mean","stock_area",10.0313165680436,1,11,1990,"sst","degC"
"mean","stock_area",7.65566631979194,1,12,1990,"sst","degC"
"mean","stock_area",6.18077165430242,1,1,1991,"sst","degC"
"mean","stock_area",4.91304296796972,1,2,1991,"sst","degC"
"mean","stock_area",4.67509586554914,1,3,1991,"sst","degC"
"mean","stock_area",5.40949023853649,1,4,1991,"sst","degC"
"mean","stock_area",8.69325623827532,1,5,1991,"sst","degC"
"mean","stock_area",12.5510974876152,1,6,1991,"sst","degC"
"mean","stock_area",16.4542225412101,1,7,1991,"sst","degC"
"mean","stock_area",17.1307980797508,1,8,1991,"sst","degC"
