"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",2.09676775082511,4,9,1997,"chlor_a","m^-3"
"mean","stock_area",3.10631583100503,1,10,1997,"chlor_a","m^-3"
"mean","stock_area",1.79464664014367,1,11,1997,"chlor_a","m^-3"
"mean","stock_area",1.56108323803017,1,12,1997,"chlor_a","m^-3"
"mean","stock_area",0.945005280604241,1,1,1998,"chlor_a","m^-3"
"mean","stock_area",1.4537811252065,1,2,1998,"chlor_a","m^-3"
"mean","stock_area",2.04929719791366,1,3,1998,"chlor_a","m^-3"
"mean","stock_area",3.29406689595138,1,4,1998,"chlor_a","m^-3"
"mean","stock_area",2.61670527417853,1,5,1998,"chlor_a","m^-3"
"mean","stock_area",2.0454029913753,1,6,1998,"chlor_a","m^-3"
"mean","stock_area",3.42206862492311,1,7,1998,"chlor_a","m^-3"
"mean","stock_area",3.34784983702322,1,8,1998,"chlor_a","m^-3"
"mean","stock_area",4.4125848633152,1,9,1998,"chlor_a","m^-3"
"mean","stock_area",4.57928189385727,1,10,1998,"chlor_a","m^-3"
"mean","stock_area",1.79614811342195,1,11,1998,"chlor_a","m^-3"
"mean","stock_area",2.4842562354494,1,12,1998,"chlor_a","m^-3"
"mean","stock_area",1.46382332324221,1,1,1999,"chlor_a","m^-3"
"mean","stock_area",1.90030356454543,1,2,1999,"chlor_a","m^-3"
"mean","stock_area",2.78896399694967,1,3,1999,"chlor_a","m^-3"
"mean","stock_area",4.88575609640467,1,4,1999,"chlor_a","m^-3"
"mean","stock_area",3.78571252837051,1,5,1999,"chlor_a","m^-3"
"mean","stock_area",2.85468343508883,1,6,1999,"chlor_a","m^-3"
"mean","stock_area",3.5527732443894,1,7,1999,"chlor_a","m^-3"
"mean","stock_area",4.01048862160108,1,8,1999,"chlor_a","m^-3"
"mean","stock_area",4.78368289645886,1,9,1999,"chlor_a","m^-3"
"mean","stock_area",5.32221355948166,1,10,1999,"chlor_a","m^-3"
"mean","stock_area",2.59273435272679,1,11,1999,"chlor_a","m^-3"
"mean","stock_area",1.83992516848303,1,12,1999,"chlor_a","m^-3"
"mean","stock_area",1.04228975867565,2,1,2000,"chlor_a","m^-3"
"mean","stock_area",1.50145737404308,1,2,2000,"chlor_a","m^-3"
"mean","stock_area",2.63048353305687,1,3,2000,"chlor_a","m^-3"
"mean","stock_area",3.10117140194296,1,4,2000,"chlor_a","m^-3"
"mean","stock_area",2.96801449637768,1,5,2000,"chlor_a","m^-3"
"mean","stock_area",2.85216339316451,1,6,2000,"chlor_a","m^-3"
"mean","stock_area",3.46313171123992,1,7,2000,"chlor_a","m^-3"
"mean","stock_area",3.59200876267423,1,8,2000,"chlor_a","m^-3"
"mean","stock_area",4.63584343958389,1,9,2000,"chlor_a","m^-3"
"mean","stock_area",4.94977855977671,1,10,2000,"chlor_a","m^-3"
"mean","stock_area",1.1911826018602,1,11,2000,"chlor_a","m^-3"
"mean","stock_area",1.40842169677816,1,12,2000,"chlor_a","m^-3"
