"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",32.3866767704207,1,1,1993,"bottomS","1e-3"
"mean","stock_area",32.4733130952997,1,2,1993,"bottomS","1e-3"
"mean","stock_area",32.4102789302263,1,3,1993,"bottomS","1e-3"
"mean","stock_area",32.244903454012,1,4,1993,"bottomS","1e-3"
"mean","stock_area",32.0498444831303,1,5,1993,"bottomS","1e-3"
"mean","stock_area",31.8536003214279,1,6,1993,"bottomS","1e-3"
"mean","stock_area",31.8251123502967,1,7,1993,"bottomS","1e-3"
"mean","stock_area",32.0086731699275,1,8,1993,"bottomS","1e-3"
"mean","stock_area",32.0573793091871,1,9,1993,"bottomS","1e-3"
"mean","stock_area",32.2702352069105,1,10,1993,"bottomS","1e-3"
"mean","stock_area",32.3782702462401,1,11,1993,"bottomS","1e-3"
"mean","stock_area",32.5211764391848,1,12,1993,"bottomS","1e-3"
"mean","stock_area",32.5511750294382,1,1,1994,"bottomS","1e-3"
"mean","stock_area",32.6312380369343,1,2,1994,"bottomS","1e-3"
"mean","stock_area",32.4982994618861,1,3,1994,"bottomS","1e-3"
"mean","stock_area",32.3275637350545,1,4,1994,"bottomS","1e-3"
"mean","stock_area",32.2278787267662,1,5,1994,"bottomS","1e-3"
"mean","stock_area",32.0755185747619,1,6,1994,"bottomS","1e-3"
"mean","stock_area",32.1080843667283,1,7,1994,"bottomS","1e-3"
"mean","stock_area",32.3026720722579,1,8,1994,"bottomS","1e-3"
"mean","stock_area",32.5464007069683,1,9,1994,"bottomS","1e-3"
"mean","stock_area",32.7212811959057,1,10,1994,"bottomS","1e-3"
"mean","stock_area",32.7637627043945,1,11,1994,"bottomS","1e-3"
"mean","stock_area",32.7534307053018,1,12,1994,"bottomS","1e-3"
"mean","stock_area",32.4867367950901,1,1,1995,"bottomS","1e-3"
"mean","stock_area",32.4137311536444,1,2,1995,"bottomS","1e-3"
"mean","stock_area",32.340030612458,1,3,1995,"bottomS","1e-3"
"mean","stock_area",32.2622498097865,1,4,1995,"bottomS","1e-3"
"mean","stock_area",32.1175583196171,1,5,1995,"bottomS","1e-3"
"mean","stock_area",31.6672598839304,1,6,1995,"bottomS","1e-3"
"mean","stock_area",31.6655771447521,1,7,1995,"bottomS","1e-3"
"mean","stock_area",32.0966419345336,1,8,1995,"bottomS","1e-3"
"mean","stock_area",32.3748499423063,1,9,1995,"bottomS","1e-3"
"mean","stock_area",32.4527095213618,1,10,1995,"bottomS","1e-3"
"mean","stock_area",32.5404211501001,1,11,1995,"bottomS","1e-3"
"mean","stock_area",32.6095024262111,1,12,1995,"bottomS","1e-3"
"mean","stock_area",32.4748111370646,1,1,1996,"bottomS","1e-3"
"mean","stock_area",32.1636178987251,1,2,1996,"bottomS","1e-3"
"mean","stock_area",32.0402606303454,1,3,1996,"bottomS","1e-3"
"mean","stock_area",31.9385832864665,1,4,1996,"bottomS","1e-3"
"mean","stock_area",31.8336088690959,1,5,1996,"bottomS","1e-3"
"mean","stock_area",31.6810497687891,1,6,1996,"bottomS","1e-3"
"mean","stock_area",31.6253116540008,1,7,1996,"bottomS","1e-3"
"mean","stock_area",31.6248515810143,1,8,1996,"bottomS","1e-3"
"mean","stock_area",31.6032259388398,1,9,1996,"bottomS","1e-3"
"mean","stock_area",31.6192533426379,1,10,1996,"bottomS","1e-3"
"mean","stock_area",31.6441854328679,1,11,1996,"bottomS","1e-3"
"mean","stock_area",31.6362502277675,1,12,1996,"bottomS","1e-3"
