"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",15.5012690623601,1,9,1981,"sst","degC"
"mean","stock_area",12.6895131826401,1,10,1981,"sst","degC"
"mean","stock_area",10.5522886673609,1,11,1981,"sst","degC"
"mean","stock_area",8.12375518679619,1,12,1981,"sst","degC"
"mean","stock_area",6.117841253678,1,1,1982,"sst","degC"
"mean","stock_area",5.57587934235732,1,2,1982,"sst","degC"
"mean","stock_area",4.73849989076455,1,3,1982,"sst","degC"
"mean","stock_area",5.60128318965435,1,4,1982,"sst","degC"
"mean","stock_area",8.2823694507281,1,5,1982,"sst","degC"
"mean","stock_area",10.9832094510396,1,6,1982,"sst","degC"
"mean","stock_area",15.2123316486677,1,7,1982,"sst","degC"
"mean","stock_area",15.9599123160044,1,8,1982,"sst","degC"
"mean","stock_area",15.0393816033999,1,9,1982,"sst","degC"
"mean","stock_area",12.9721018433571,1,10,1982,"sst","degC"
"mean","stock_area",11.388174756368,1,11,1982,"sst","degC"
"mean","stock_area",9.37403338551521,1,12,1982,"sst","degC"
"mean","stock_area",7.61745145519575,1,1,1983,"sst","degC"
"mean","stock_area",6.32698498765628,1,2,1983,"sst","degC"
"mean","stock_area",5.83453616201878,1,3,1983,"sst","degC"
"mean","stock_area",6.26546789805094,1,4,1983,"sst","degC"
"mean","stock_area",8.57094737887383,1,5,1983,"sst","degC"
"mean","stock_area",12.3160302599271,1,6,1983,"sst","degC"
"mean","stock_area",14.7295010089874,1,7,1983,"sst","degC"
"mean","stock_area",15.9228719393412,1,8,1983,"sst","degC"
"mean","stock_area",15.9956718444824,1,9,1983,"sst","degC"
"mean","stock_area",13.7683680057526,1,10,1983,"sst","degC"
"mean","stock_area",11.2836289405823,1,11,1983,"sst","degC"
"mean","stock_area",8.77164093454679,1,12,1983,"sst","degC"
"mean","stock_area",6.42804420193036,1,1,1984,"sst","degC"
"mean","stock_area",5.7773676921924,1,2,1984,"sst","degC"
"mean","stock_area",5.34715715100368,1,3,1984,"sst","degC"
"mean","stock_area",5.64613876243432,1,4,1984,"sst","degC"
"mean","stock_area",7.91799577275912,1,5,1984,"sst","degC"
