"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",1.69041796625576,4,9,1997,"chlor_a","m^-3"
"mean","stock_area",3.03335954807616,1,10,1997,"chlor_a","m^-3"
"mean","stock_area",2.03963542851245,1,11,1997,"chlor_a","m^-3"
"mean","stock_area",1.9236056622128,1,12,1997,"chlor_a","m^-3"
"mean","stock_area",1.77992435692724,1,1,1998,"chlor_a","m^-3"
"mean","stock_area",1.88828976968442,1,2,1998,"chlor_a","m^-3"
"mean","stock_area",2.6133559950798,1,3,1998,"chlor_a","m^-3"
"mean","stock_area",3.31545921466397,1,4,1998,"chlor_a","m^-3"
"mean","stock_area",2.51329265068445,1,5,1998,"chlor_a","m^-3"
"mean","stock_area",2.278342540511,1,6,1998,"chlor_a","m^-3"
"mean","stock_area",3.11814273533364,1,7,1998,"chlor_a","m^-3"
"mean","stock_area",3.03098343335414,1,8,1998,"chlor_a","m^-3"
"mean","stock_area",3.73176505231017,1,9,1998,"chlor_a","m^-3"
"mean","stock_area",4.00712635456211,1,10,1998,"chlor_a","m^-3"
"mean","stock_area",2.43150738596591,1,11,1998,"chlor_a","m^-3"
"mean","stock_area",2.7963977477779,1,12,1998,"chlor_a","m^-3"
"mean","stock_area",1.79906933712463,1,1,1999,"chlor_a","m^-3"
"mean","stock_area",2.0124408455669,1,2,1999,"chlor_a","m^-3"
"mean","stock_area",3.23592254454169,1,3,1999,"chlor_a","m^-3"
"mean","stock_area",4.45355484269615,1,4,1999,"chlor_a","m^-3"
"mean","stock_area",3.6201164189441,1,5,1999,"chlor_a","m^-3"
"mean","stock_area",2.75143845202602,1,6,1999,"chlor_a","m^-3"
"mean","stock_area",3.15530131111246,1,7,1999,"chlor_a","m^-3"
"mean","stock_area",3.2416467031258,1,8,1999,"chlor_a","m^-3"
"mean","stock_area",4.02281157113633,1,9,1999,"chlor_a","m^-3"
"mean","stock_area",4.77071313305522,1,10,1999,"chlor_a","m^-3"
