"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","GOM",2.14629343998051,4,9,1997,"chlor_a","m^-3"
"mean","GOM",3.19780162056435,1,10,1997,"chlor_a","m^-3"
"mean","GOM",1.9720994241383,1,11,1997,"chlor_a","m^-3"
"mean","GOM",1.65779422058998,1,12,1997,"chlor_a","m^-3"
"mean","GOM",0.951857501509054,1,1,1998,"chlor_a","m^-3"
"mean","GOM",1.7425773011342,1,2,1998,"chlor_a","m^-3"
"mean","GOM",2.10085211198083,1,3,1998,"chlor_a","m^-3"
"mean","GOM",3.67658407124345,1,4,1998,"chlor_a","m^-3"
"mean","GOM",2.73140920545826,1,5,1998,"chlor_a","m^-3"
"mean","GOM",1.39693218682004,1,6,1998,"chlor_a","m^-3"
"mean","GOM",3.3506832007491,1,7,1998,"chlor_a","m^-3"
"mean","GOM",3.38288126743931,1,8,1998,"chlor_a","m^-3"
"mean","GOM",4.38964968886988,1,9,1998,"chlor_a","m^-3"
"mean","GOM",5.00781820244746,1,10,1998,"chlor_a","m^-3"
"mean","GOM",1.99474435273727,1,11,1998,"chlor_a","m^-3"
"mean","GOM",2.57581984497156,1,12,1998,"chlor_a","m^-3"
"mean","GOM",1.49006572249626,1,1,1999,"chlor_a","m^-3"
"mean","GOM",2.09197381288305,1,2,1999,"chlor_a","m^-3"
"mean","GOM",2.71264084782936,1,3,1999,"chlor_a","m^-3"
"mean","GOM",5.41634290147909,1,4,1999,"chlor_a","m^-3"
"mean","GOM",3.79077107928039,1,5,1999,"chlor_a","m^-3"
"mean","GOM",2.62613391248923,1,6,1999,"chlor_a","m^-3"
"mean","GOM",3.90539783284038,1,7,1999,"chlor_a","m^-3"
"mean","GOM",4.69033306928615,1,8,1999,"chlor_a","m^-3"
"mean","GOM",4.63407014525422,1,9,1999,"chlor_a","m^-3"
"mean","GOM",5.97568507661982,1,10,1999,"chlor_a","m^-3"
"mean","GOM",2.71642615680505,1,11,1999,"chlor_a","m^-3"
"mean","GOM",1.95770663011911,1,12,1999,"chlor_a","m^-3"
"mean","GOM",1.13137545574629,2,1,2000,"chlor_a","m^-3"
"mean","GOM",1.51233157032203,1,2,2000,"chlor_a","m^-3"
"mean","GOM",2.42092040559373,1,3,2000,"chlor_a","m^-3"
"mean","GOM",3.11986986301673,1,4,2000,"chlor_a","m^-3"
