"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","GOM",9.13195023162783,1,1,2021,"bottomT","degC"
"mean","GOM",9.14352966208887,2,1,2021,"bottomT","degC"
"mean","GOM",9.14020777856507,3,1,2021,"bottomT","degC"
"mean","GOM",9.12976353027698,4,1,2021,"bottomT","degC"
"mean","GOM",9.10310837883225,5,1,2021,"bottomT","degC"
"mean","GOM",9.06050891082261,6,1,2021,"bottomT","degC"
"mean","GOM",9.01971751745765,7,1,2021,"bottomT","degC"
"mean","GOM",8.99311340189857,8,1,2021,"bottomT","degC"
"mean","GOM",8.98545074601372,9,1,2021,"bottomT","degC"
"mean","GOM",8.97655860175237,10,1,2021,"bottomT","degC"
"mean","GOM",8.97369051025775,11,1,2021,"bottomT","degC"
"mean","GOM",8.98231463464624,12,1,2021,"bottomT","degC"
"mean","GOM",8.99452937284028,13,1,2021,"bottomT","degC"
"mean","GOM",9.01075587775793,14,1,2021,"bottomT","degC"
"mean","GOM",9.02754963609856,15,1,2021,"bottomT","degC"
"mean","GOM",9.0323378008079,16,1,2021,"bottomT","degC"
"mean","GOM",9.03171242541288,17,1,2021,"bottomT","degC"
"mean","GOM",9.05324331765484,18,1,2021,"bottomT","degC"
"mean","GOM",9.08771925166408,19,1,2021,"bottomT","degC"
"mean","GOM",9.11264646988063,20,1,2021,"bottomT","degC"
"mean","GOM",9.12060408162932,21,1,2021,"bottomT","degC"
"mean","GOM",9.12988264032163,22,1,2021,"bottomT","degC"
"mean","GOM",9.13758997626365,23,1,2021,"bottomT","degC"
"mean","GOM",9.10812061430755,24,1,2021,"bottomT","degC"
"mean","GOM",9.0931406111131,25,1,2021,"bottomT","degC"
"mean","GOM",9.10270351131103,26,1,2021,"bottomT","degC"
"mean","GOM",9.11730629823099,27,1,2021,"bottomT","degC"
"mean","GOM",9.11591303844766,28,1,2021,"bottomT","degC"
"mean","GOM",9.08152218155801,29,1,2021,"bottomT","degC"
"mean","GOM",9.012478153334,30,1,2021,"bottomT","degC"
"mean","GOM",8.96332284626402,31,1,2021,"bottomT","degC"
"mean","GOM",8.93921247341049,1,2,2021,"bottomT","degC"
"mean","GOM",8.87346831780551,2,2,2021,"bottomT","degC"
"mean","GOM",8.76968175190116,3,2,2021,"bottomT","degC"
"mean","GOM",8.73073316220508,4,2,2021,"bottomT","degC"
"mean","GOM",8.73198462709684,5,2,2021,"bottomT","degC"
"mean","GOM",8.75323046373144,6,2,2021,"bottomT","degC"
"mean","GOM",8.78537861213795,7,2,2021,"bottomT","degC"
"mean","GOM",8.79574769741106,8,2,2021,"bottomT","degC"
"mean","GOM",8.80208371131025,9,2,2021,"bottomT","degC"
"mean","GOM",8.82088548816301,10,2,2021,"bottomT","degC"
"mean","GOM",8.82957343810526,11,2,2021,"bottomT","degC"
"mean","GOM",8.83709498896603,12,2,2021,"bottomT","degC"
"mean","GOM",8.84517031209859,13,2,2021,"bottomT","degC"
"mean","GOM",8.84751724204389,14,2,2021,"bottomT","degC"
"mean","GOM",8.84072955972574,15,2,2021,"bottomT","degC"
"mean","GOM",8.82281622512758,16,2,2021,"bottomT","degC"
"mean","GOM",8.8139439132299,17,2,2021,"bottomT","degC"
"mean","GOM",8.81284207849973,18,2,2021,"bottomT","degC"
"mean","GOM",8.81850522277662,19,2,2021,"bottomT","degC"
"mean","GOM",8.80164268910019,20,2,2021,"bottomT","degC"
"mean","GOM",8.78263176837711,21,2,2021,"bottomT","degC"
"mean","GOM",8.77556542343923,22,2,2021,"bottomT","degC"
"mean","GOM",8.80704349469815,23,2,2021,"bottomT","degC"
"mean","GOM",8.83872648938005,24,2,2021,"bottomT","degC"
"mean","GOM",8.87795303682621,25,2,2021,"bottomT","degC"
"mean","GOM",8.91389172790358,26,2,2021,"bottomT","degC"
"mean","GOM",8.95199158023195,27,2,2021,"bottomT","degC"
"mean","GOM",8.99353811216954,28,2,2021,"bottomT","degC"
"mean","GOM",9.02048541684811,1,3,2021,"bottomT","degC"
"mean","GOM",9.03713238550871,2,3,2021,"bottomT","degC"
"mean","GOM",9.05985445920865,3,3,2021,"bottomT","degC"
"mean","GOM",9.1387194797815,4,3,2021,"bottomT","degC"
"mean","GOM",9.18641416562608,5,3,2021,"bottomT","degC"
"mean","GOM",9.21094713298764,6,3,2021,"bottomT","degC"
"mean","GOM",9.23793057989174,7,3,2021,"bottomT","degC"
"mean","GOM",9.26232884191013,8,3,2021,"bottomT","degC"
"mean","GOM",9.28046553917337,9,3,2021,"bottomT","degC"
"mean","GOM",9.29522572251511,10,3,2021,"bottomT","degC"
"mean","GOM",9.3087061044669,11,3,2021,"bottomT","degC"
"mean","GOM",9.34245032585602,12,3,2021,"bottomT","degC"
"mean","GOM",9.38426202310597,13,3,2021,"bottomT","degC"
"mean","GOM",9.40850287877809,14,3,2021,"bottomT","degC"
"mean","GOM",9.40245966505104,15,3,2021,"bottomT","degC"
"mean","GOM",9.3662628968249,16,3,2021,"bottomT","degC"
"mean","GOM",9.36193416679471,17,3,2021,"bottomT","degC"
"mean","GOM",9.37133683055091,18,3,2021,"bottomT","degC"
"mean","GOM",9.3665096413593,19,3,2021,"bottomT","degC"
"mean","GOM",9.33834493748793,20,3,2021,"bottomT","degC"
"mean","GOM",9.3362645855947,21,3,2021,"bottomT","degC"
"mean","GOM",9.33962405778085,22,3,2021,"bottomT","degC"
"mean","GOM",9.34385989873245,23,3,2021,"bottomT","degC"
"mean","GOM",9.34048978333782,24,3,2021,"bottomT","degC"
