"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","GOM",7.29936939127305,2,1,1959,"bottomT","degC"
"mean","GOM",7.29995141137618,3,1,1959,"bottomT","degC"
"mean","GOM",7.29982215135336,4,1,1959,"bottomT","degC"
"mean","GOM",7.30035477550652,5,1,1959,"bottomT","degC"
"mean","GOM",7.30585129120771,6,1,1959,"bottomT","degC"
"mean","GOM",7.24904661927341,7,1,1959,"bottomT","degC"
"mean","GOM",7.17937285189303,8,1,1959,"bottomT","degC"
"mean","GOM",7.13908250304758,9,1,1959,"bottomT","degC"
"mean","GOM",7.13959505399728,10,1,1959,"bottomT","degC"
"mean","GOM",7.12278003860806,11,1,1959,"bottomT","degC"
"mean","GOM",7.11622206221488,12,1,1959,"bottomT","degC"
"mean","GOM",7.10742743636713,13,1,1959,"bottomT","degC"
"mean","GOM",7.11055580675911,14,1,1959,"bottomT","degC"
"mean","GOM",7.12240391059828,15,1,1959,"bottomT","degC"
"mean","GOM",7.12022355755335,16,1,1959,"bottomT","degC"
"mean","GOM",7.12581186561111,17,1,1959,"bottomT","degC"
"mean","GOM",7.14339155815503,18,1,1959,"bottomT","degC"
"mean","GOM",7.15977646128468,19,1,1959,"bottomT","degC"
"mean","GOM",7.17465797082098,20,1,1959,"bottomT","degC"
"mean","GOM",7.18384850764078,21,1,1959,"bottomT","degC"
"mean","GOM",7.20242818968355,22,1,1959,"bottomT","degC"
"mean","GOM",7.22011077305502,23,1,1959,"bottomT","degC"
"mean","GOM",7.24248839557663,24,1,1959,"bottomT","degC"
"mean","GOM",7.23978167279693,25,1,1959,"bottomT","degC"
"mean","GOM",7.23083740423534,26,1,1959,"bottomT","degC"
"mean","GOM",7.22363902788517,27,1,1959,"bottomT","degC"
"mean","GOM",7.19164949729423,28,1,1959,"bottomT","degC"
"mean","GOM",7.18049829607167,29,1,1959,"bottomT","degC"
"mean","GOM",7.17516273752717,30,1,1959,"bottomT","degC"
"mean","GOM",7.17719829230269,31,1,1959,"bottomT","degC"
"mean","GOM",7.19163753326274,1,2,1959,"bottomT","degC"
"mean","GOM",7.18447642065277,2,2,1959,"bottomT","degC"
