"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","stock_area",2.12539035234188,4,9,1997,"chlor_a","m^-3"
"mean","stock_area",3.08706821600589,1,10,1997,"chlor_a","m^-3"
"mean","stock_area",1.86225402250814,1,11,1997,"chlor_a","m^-3"
"mean","stock_area",1.5822856725725,1,12,1997,"chlor_a","m^-3"
"mean","stock_area",0.937820376152621,1,1,1998,"chlor_a","m^-3"
"mean","stock_area",1.64694549694467,1,2,1998,"chlor_a","m^-3"
"mean","stock_area",2.13621740471862,1,3,1998,"chlor_a","m^-3"
"mean","stock_area",3.5877455585731,1,4,1998,"chlor_a","m^-3"
"mean","stock_area",2.66383527505983,1,5,1998,"chlor_a","m^-3"
"mean","stock_area",1.51374734070329,1,6,1998,"chlor_a","m^-3"
"mean","stock_area",3.38089744317938,1,7,1998,"chlor_a","m^-3"
"mean","stock_area",3.43853058583773,1,8,1998,"chlor_a","m^-3"
"mean","stock_area",4.44266128810333,1,9,1998,"chlor_a","m^-3"
"mean","stock_area",4.79317621218602,1,10,1998,"chlor_a","m^-3"
"mean","stock_area",1.87030087666653,1,11,1998,"chlor_a","m^-3"
"mean","stock_area",2.50812830165632,1,12,1998,"chlor_a","m^-3"
"mean","stock_area",1.46937920541285,1,1,1999,"chlor_a","m^-3"
"mean","stock_area",1.96196601325539,1,2,1999,"chlor_a","m^-3"
"mean","stock_area",2.69614670630621,1,3,1999,"chlor_a","m^-3"
"mean","stock_area",5.31553434484197,1,4,1999,"chlor_a","m^-3"
"mean","stock_area",3.86036839034901,1,5,1999,"chlor_a","m^-3"
"mean","stock_area",2.70387388019106,1,6,1999,"chlor_a","m^-3"
"mean","stock_area",3.76942538251603,1,7,1999,"chlor_a","m^-3"
"mean","stock_area",4.40854276996342,1,8,1999,"chlor_a","m^-3"
"mean","stock_area",4.82552653478939,1,9,1999,"chlor_a","m^-3"
"mean","stock_area",5.77853877931172,1,10,1999,"chlor_a","m^-3"
"mean","stock_area",2.57743662819209,1,11,1999,"chlor_a","m^-3"
"mean","stock_area",1.8971024486131,1,12,1999,"chlor_a","m^-3"
"mean","stock_area",1.09474439137498,2,1,2000,"chlor_a","m^-3"
"mean","stock_area",1.54353093394913,1,2,2000,"chlor_a","m^-3"
"mean","stock_area",2.41622335858965,1,3,2000,"chlor_a","m^-3"
"mean","stock_area",2.9663720249023,1,4,2000,"chlor_a","m^-3"
"mean","stock_area",2.78073576638001,1,5,2000,"chlor_a","m^-3"
"mean","stock_area",2.73577935624461,1,6,2000,"chlor_a","m^-3"
"mean","stock_area",3.05017230479505,1,7,2000,"chlor_a","m^-3"
"mean","stock_area",3.88985477885603,1,8,2000,"chlor_a","m^-3"
"mean","stock_area",4.7529669533256,1,9,2000,"chlor_a","m^-3"
"mean","stock_area",5.20507513161385,1,10,2000,"chlor_a","m^-3"
"mean","stock_area",1.27984161189719,1,11,2000,"chlor_a","m^-3"
"mean","stock_area",1.57066933793907,1,12,2000,"chlor_a","m^-3"
"mean","stock_area",1.19564695198554,1,1,2001,"chlor_a","m^-3"
"mean","stock_area",1.77868721111304,1,2,2001,"chlor_a","m^-3"
"mean","stock_area",2.193502236023,1,3,2001,"chlor_a","m^-3"
"mean","stock_area",2.47223382704813,1,4,2001,"chlor_a","m^-3"
"mean","stock_area",2.94918989485985,1,5,2001,"chlor_a","m^-3"
"mean","stock_area",2.85222644713653,1,6,2001,"chlor_a","m^-3"
"mean","stock_area",3.92733928910305,1,7,2001,"chlor_a","m^-3"
"mean","stock_area",2.77135371895832,1,8,2001,"chlor_a","m^-3"
"mean","stock_area",4.40901477309383,1,9,2001,"chlor_a","m^-3"
"mean","stock_area",5.42063220154956,1,10,2001,"chlor_a","m^-3"
"mean","stock_area",2.31386255233787,1,11,2001,"chlor_a","m^-3"
"mean","stock_area",2.37238449556014,1,12,2001,"chlor_a","m^-3"
"mean","stock_area",1.54880466895049,1,1,2002,"chlor_a","m^-3"
"mean","stock_area",1.67788186923271,1,2,2002,"chlor_a","m^-3"
"mean","stock_area",1.79184416477486,1,3,2002,"chlor_a","m^-3"
"mean","stock_area",3.5667919708548,1,4,2002,"chlor_a","m^-3"
"mean","stock_area",5.15504765187079,1,5,2002,"chlor_a","m^-3"
"mean","stock_area",3.3124543144033,1,6,2002,"chlor_a","m^-3"
"mean","stock_area",4.09679390281328,1,7,2002,"chlor_a","m^-3"
"mean","stock_area",4.3154289586719,1,8,2002,"chlor_a","m^-3"
"mean","stock_area",5.61939622398105,1,9,2002,"chlor_a","m^-3"
"mean","stock_area",4.98680467925373,1,10,2002,"chlor_a","m^-3"
"mean","stock_area",1.72732900941371,1,11,2002,"chlor_a","m^-3"
"mean","stock_area",2.20577029722422,1,12,2002,"chlor_a","m^-3"
"mean","stock_area",1.32721057424259,1,1,2003,"chlor_a","m^-3"
