"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","01130",32.4471595948001,1,1,1993,"bottomS","1e-3"
"mean","01130",32.4552487522723,1,2,1993,"bottomS","1e-3"
"mean","01130",32.5471078573939,1,3,1993,"bottomS","1e-3"
"mean","01130",32.6168776592576,1,4,1993,"bottomS","1e-3"
"mean","01130",32.6208670282938,1,5,1993,"bottomS","1e-3"
"mean","01130",32.3544550976121,1,6,1993,"bottomS","1e-3"
"mean","01130",32.3415858601949,1,7,1993,"bottomS","1e-3"
"mean","01130",32.9262082892728,1,8,1993,"bottomS","1e-3"
"mean","01130",32.5178761999291,1,9,1993,"bottomS","1e-3"
"mean","01130",33.0474550867655,1,10,1993,"bottomS","1e-3"
"mean","01130",32.7751693036183,1,11,1993,"bottomS","1e-3"
"mean","01130",33.0619240496532,1,12,1993,"bottomS","1e-3"
"mean","01130",32.6203795973077,1,1,1994,"bottomS","1e-3"
"mean","01130",32.4543758530215,1,2,1994,"bottomS","1e-3"
"mean","01130",32.6407867109919,1,3,1994,"bottomS","1e-3"
"mean","01130",32.6138626696115,1,4,1994,"bottomS","1e-3"
"mean","01130",33.056049829506,1,5,1994,"bottomS","1e-3"
"mean","01130",32.8649965998638,1,6,1994,"bottomS","1e-3"
"mean","01130",32.7570603152355,1,7,1994,"bottomS","1e-3"
"mean","01130",32.763872054686,1,8,1994,"bottomS","1e-3"
"mean","01130",33.145592425243,1,9,1994,"bottomS","1e-3"
"mean","01130",33.3055478980742,1,10,1994,"bottomS","1e-3"
"mean","01130",32.9680612633027,1,11,1994,"bottomS","1e-3"
"mean","01130",32.9696971939271,1,12,1994,"bottomS","1e-3"
"mean","01130",32.871826608497,1,1,1995,"bottomS","1e-3"
"mean","01130",32.9757550251053,1,2,1995,"bottomS","1e-3"
"mean","01130",32.5900176864073,1,3,1995,"bottomS","1e-3"
"mean","01130",32.6485083936209,1,4,1995,"bottomS","1e-3"
"mean","01130",32.6297008100762,1,5,1995,"bottomS","1e-3"
"mean","01130",32.4104823836361,1,6,1995,"bottomS","1e-3"
"mean","01130",32.4481616881957,1,7,1995,"bottomS","1e-3"
"mean","01130",33.5897011124944,1,8,1995,"bottomS","1e-3"
"mean","01130",33.8749570501856,1,9,1995,"bottomS","1e-3"
"mean","01130",33.2417348379112,1,10,1995,"bottomS","1e-3"
"mean","01130",32.8804213512375,1,11,1995,"bottomS","1e-3"
"mean","01130",32.6506222644484,1,12,1995,"bottomS","1e-3"
"mean","01130",32.7826610473265,1,1,1996,"bottomS","1e-3"
"mean","01130",32.7901803901397,1,2,1996,"bottomS","1e-3"
"mean","01130",32.6943225630795,1,3,1996,"bottomS","1e-3"
"mean","01130",32.4625109936818,1,4,1996,"bottomS","1e-3"
"mean","01130",32.4314596566809,1,5,1996,"bottomS","1e-3"
"mean","01130",32.214061174048,1,6,1996,"bottomS","1e-3"
"mean","01130",32.0488933195551,1,7,1996,"bottomS","1e-3"
"mean","01130",31.6813381264009,1,8,1996,"bottomS","1e-3"
"mean","01130",31.7741622005601,1,9,1996,"bottomS","1e-3"
"mean","01130",32.0523402891963,1,10,1996,"bottomS","1e-3"
"mean","01130",31.9157329122704,1,11,1996,"bottomS","1e-3"
"mean","01130",31.878430780158,1,12,1996,"bottomS","1e-3"
"mean","01130",32.1111527868064,1,1,1997,"bottomS","1e-3"
"mean","01130",32.1772731872926,1,2,1997,"bottomS","1e-3"
"mean","01130",32.228998391025,1,3,1997,"bottomS","1e-3"
"mean","01130",32.2337049691074,1,4,1997,"bottomS","1e-3"
"mean","01130",32.2959092151688,1,5,1997,"bottomS","1e-3"
"mean","01130",32.686867886279,1,6,1997,"bottomS","1e-3"
"mean","01130",32.3225117189338,1,7,1997,"bottomS","1e-3"
"mean","01130",32.4198676074844,1,8,1997,"bottomS","1e-3"
"mean","01130",33.3399730590453,1,9,1997,"bottomS","1e-3"
"mean","01130",32.6694483469768,1,10,1997,"bottomS","1e-3"
"mean","01130",32.1399523838457,1,11,1997,"bottomS","1e-3"
"mean","01130",32.1790380707706,1,12,1997,"bottomS","1e-3"
"mean","01130",32.0572489313332,1,1,1998,"bottomS","1e-3"
"mean","01130",32.1062719391053,1,2,1998,"bottomS","1e-3"
"mean","01130",32.1720522225621,1,3,1998,"bottomS","1e-3"
"mean","01130",32.1454952653632,1,4,1998,"bottomS","1e-3"
"mean","01130",32.1185338583337,1,5,1998,"bottomS","1e-3"
"mean","01130",31.9729278173791,1,6,1998,"bottomS","1e-3"
