"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","01200",1.66573452573469,4,9,1997,"chlor_a","m-3"
"mean","01200",2.20979729693998,1,10,1997,"chlor_a","m-3"
"mean","01200",1.63135394871792,1,11,1997,"chlor_a","m-3"
"mean","01200",1.42487367068496,1,12,1997,"chlor_a","m-3"
"mean","01200",1.38784803411403,1,1,1998,"chlor_a","m-3"
"mean","01200",1.53427933736754,1,2,1998,"chlor_a","m-3"
"mean","01200",1.16823544327715,1,3,1998,"chlor_a","m-3"
"mean","01200",1.54011696521367,1,4,1998,"chlor_a","m-3"
"mean","01200",1.32276999783293,1,5,1998,"chlor_a","m-3"
"mean","01200",1.44494071612106,1,6,1998,"chlor_a","m-3"
"mean","01200",1.43409828103591,1,7,1998,"chlor_a","m-3"
"mean","01200",1.53875554220699,1,8,1998,"chlor_a","m-3"
"mean","01200",1.76406405480851,1,9,1998,"chlor_a","m-3"
"mean","01200",1.89435453912551,1,10,1998,"chlor_a","m-3"
"mean","01200",1.73928090243686,1,11,1998,"chlor_a","m-3"
"mean","01200",1.46057691176732,1,12,1998,"chlor_a","m-3"
"mean","01200",1.31414059537965,1,1,1999,"chlor_a","m-3"
"mean","01200",1.55587368330852,1,2,1999,"chlor_a","m-3"
"mean","01200",2.35238994616214,1,3,1999,"chlor_a","m-3"
"mean","01200",2.08167700845504,1,4,1999,"chlor_a","m-3"
"mean","01200",1.48618280052025,1,5,1999,"chlor_a","m-3"
"mean","01200",1.56249584958561,1,6,1999,"chlor_a","m-3"
"mean","01200",1.40964242472456,1,7,1999,"chlor_a","m-3"
"mean","01200",1.64404021839486,1,8,1999,"chlor_a","m-3"
"mean","01200",2.24466158370734,1,9,1999,"chlor_a","m-3"
"mean","01200",1.93350949614219,1,10,1999,"chlor_a","m-3"
"mean","01200",1.34436633542319,1,11,1999,"chlor_a","m-3"
"mean","01200",1.29142798441593,1,12,1999,"chlor_a","m-3"
"mean","01200",1.02275367438608,1,1,2000,"chlor_a","m-3"
"mean","01200",1.49107933824307,1,2,2000,"chlor_a","m-3"
"mean","01200",4.07439667784908,1,3,2000,"chlor_a","m-3"
