"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","01200",9.77094333370527,1,1,2021,"bottomT","degC"
"mean","01200",9.66650139292081,2,1,2021,"bottomT","degC"
"mean","01200",9.55466627081235,3,1,2021,"bottomT","degC"
"mean","01200",9.36631368597349,4,1,2021,"bottomT","degC"
"mean","01200",9.10561692714691,5,1,2021,"bottomT","degC"
"mean","01200",8.95578629771868,6,1,2021,"bottomT","degC"
"mean","01200",8.88679157694181,7,1,2021,"bottomT","degC"
"mean","01200",8.83958707253138,8,1,2021,"bottomT","degC"
"mean","01200",8.79915769894918,9,1,2021,"bottomT","degC"
"mean","01200",8.66806548833847,10,1,2021,"bottomT","degC"
"mean","01200",8.52486499150594,11,1,2021,"bottomT","degC"
"mean","01200",8.4788506825765,12,1,2021,"bottomT","degC"
"mean","01200",8.46404159565767,13,1,2021,"bottomT","degC"
"mean","01200",8.44005403916041,14,1,2021,"bottomT","degC"
"mean","01200",8.41271711885929,15,1,2021,"bottomT","degC"
"mean","01200",8.38243512809277,16,1,2021,"bottomT","degC"
"mean","01200",8.41073336203893,17,1,2021,"bottomT","degC"
"mean","01200",8.52658926943938,18,1,2021,"bottomT","degC"
"mean","01200",8.58296455939611,19,1,2021,"bottomT","degC"
"mean","01200",8.45441298186779,20,1,2021,"bottomT","degC"
"mean","01200",8.28489791353544,21,1,2021,"bottomT","degC"
"mean","01200",8.204641888539,22,1,2021,"bottomT","degC"
"mean","01200",8.14423045516014,23,1,2021,"bottomT","degC"
"mean","01200",7.90458391110102,24,1,2021,"bottomT","degC"
"mean","01200",7.69660786787669,25,1,2021,"bottomT","degC"
"mean","01200",7.54593034585317,26,1,2021,"bottomT","degC"
"mean","01200",7.46329388022423,27,1,2021,"bottomT","degC"
"mean","01200",7.34651480118434,28,1,2021,"bottomT","degC"
"mean","01200",7.21450698375702,29,1,2021,"bottomT","degC"
"mean","01200",7.00948364535968,30,1,2021,"bottomT","degC"
"mean","01200",6.79358807702859,31,1,2021,"bottomT","degC"
"mean","01200",6.71819971501827,1,2,2021,"bottomT","degC"
"mean","01200",6.6745124955972,2,2,2021,"bottomT","degC"
"mean","01200",6.74914550284545,3,2,2021,"bottomT","degC"
"mean","01200",6.75823237001896,4,2,2021,"bottomT","degC"
"mean","01200",6.75281533102194,5,2,2021,"bottomT","degC"
"mean","01200",6.78518020610015,6,2,2021,"bottomT","degC"
"mean","01200",6.83121739824613,7,2,2021,"bottomT","degC"
"mean","01200",6.75112922489643,8,2,2021,"bottomT","degC"
"mean","01200",6.61313974360625,9,2,2021,"bottomT","degC"
"mean","01200",6.56702627241611,10,2,2021,"bottomT","degC"
"mean","01200",6.45857112606366,11,2,2021,"bottomT","degC"
"mean","01200",6.34660635391871,12,2,2021,"bottomT","degC"
"mean","01200",6.30038607120514,13,2,2021,"bottomT","degC"
