"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","01220",9.72759719923431,1,1,2021,"bottomT","degC"
"mean","01220",9.72913386774998,2,1,2021,"bottomT","degC"
"mean","01220",9.68583351958032,3,1,2021,"bottomT","degC"
"mean","01220",9.66403258080576,4,1,2021,"bottomT","degC"
"mean","01220",9.60886940301633,5,1,2021,"bottomT","degC"
"mean","01220",9.55577431473077,6,1,2021,"bottomT","degC"
"mean","01220",9.53532340479832,7,1,2021,"bottomT","degC"
"mean","01220",9.54651112649955,8,1,2021,"bottomT","degC"
"mean","01220",9.56982008616129,9,1,2021,"bottomT","degC"
"mean","01220",9.59722212249157,10,1,2021,"bottomT","degC"
"mean","01220",9.59802636913225,11,1,2021,"bottomT","degC"
"mean","01220",9.58844714071236,12,1,2021,"bottomT","degC"
"mean","01220",9.60818008348054,13,1,2021,"bottomT","degC"
"mean","01220",9.63075663996678,14,1,2021,"bottomT","degC"
"mean","01220",9.66249581879261,15,1,2021,"bottomT","degC"
"mean","01220",9.67754676295262,16,1,2021,"bottomT","degC"
"mean","01220",9.67015058854047,17,1,2021,"bottomT","degC"
"mean","01220",9.67476068758497,18,1,2021,"bottomT","degC"
"mean","01220",9.67157238604976,19,1,2021,"bottomT","degC"
"mean","01220",9.72944979574166,20,1,2021,"bottomT","degC"
"mean","01220",9.73249450384402,21,1,2021,"bottomT","degC"
"mean","01220",9.7313886904249,22,1,2021,"bottomT","degC"
"mean","01220",9.75805826748119,23,1,2021,"bottomT","degC"
"mean","01220",9.77197467579561,24,1,2021,"bottomT","degC"
"mean","01220",9.78760011523378,25,1,2021,"bottomT","degC"
"mean","01220",9.83612819746429,26,1,2021,"bottomT","degC"
"mean","01220",9.87029452417411,27,1,2021,"bottomT","degC"
"mean","01220",9.85456850949456,28,1,2021,"bottomT","degC"
"mean","01220",9.83245166142782,29,1,2021,"bottomT","degC"
"mean","01220",9.86737908569037,30,1,2021,"bottomT","degC"
"mean","01220",9.83108724332323,31,1,2021,"bottomT","degC"
"mean","01220",9.81182826734057,1,2,2021,"bottomT","degC"
"mean","01220",9.78242993822285,2,2,2021,"bottomT","degC"
"mean","01220",9.73507961572385,3,2,2021,"bottomT","degC"
"mean","01220",9.64873730902578,4,2,2021,"bottomT","degC"
