"STATISTIC","AREA","DATA_VALUE","DAY","MONTH","YEAR","INDICATOR_NAME","INDICATOR_UNITS"
"mean","01220",6.70076681137085,2,1,1959,"bottomT","degC"
"mean","01220",6.71249459266663,3,1,1959,"bottomT","degC"
"mean","01220",6.63530060768127,4,1,1959,"bottomT","degC"
"mean","01220",6.58303900718689,5,1,1959,"bottomT","degC"
"mean","01220",6.54871243476868,6,1,1959,"bottomT","degC"
"mean","01220",6.41419383049011,7,1,1959,"bottomT","degC"
"mean","01220",6.38459320068359,8,1,1959,"bottomT","degC"
"mean","01220",6.41472718238831,9,1,1959,"bottomT","degC"
"mean","01220",6.42136180877686,10,1,1959,"bottomT","degC"
"mean","01220",6.36448959350586,11,1,1959,"bottomT","degC"
"mean","01220",6.36575201034546,12,1,1959,"bottomT","degC"
"mean","01220",6.35104158401489,13,1,1959,"bottomT","degC"
"mean","01220",6.37187759399414,14,1,1959,"bottomT","degC"
"mean","01220",6.39720936775208,15,1,1959,"bottomT","degC"
"mean","01220",6.40868717193603,16,1,1959,"bottomT","degC"
"mean","01220",6.43256936073303,17,1,1959,"bottomT","degC"
"mean","01220",6.44163123130798,18,1,1959,"bottomT","degC"
"mean","01220",6.38719679832458,19,1,1959,"bottomT","degC"
"mean","01220",6.49843799591064,20,1,1959,"bottomT","degC"
"mean","01220",6.57949377059937,21,1,1959,"bottomT","degC"
"mean","01220",6.60056519508362,22,1,1959,"bottomT","degC"
"mean","01220",6.63400978088379,23,1,1959,"bottomT","degC"
"mean","01220",6.53912376403809,24,1,1959,"bottomT","degC"
"mean","01220",6.51246838569641,25,1,1959,"bottomT","degC"
"mean","01220",6.55430718421936,26,1,1959,"bottomT","degC"
"mean","01220",6.53716339111328,27,1,1959,"bottomT","degC"
"mean","01220",6.59898603439331,28,1,1959,"bottomT","degC"
"mean","01220",6.63308382034302,29,1,1959,"bottomT","degC"
"mean","01220",6.64851017951965,30,1,1959,"bottomT","degC"
"mean","01220",6.64217637062073,31,1,1959,"bottomT","degC"
"mean","01220",6.56847558021545,1,2,1959,"bottomT","degC"
"mean","01220",6.52755418777466,2,2,1959,"bottomT","degC"
"mean","01220",6.58721280097961,3,2,1959,"bottomT","degC"
"mean","01220",6.65190980911255,4,2,1959,"bottomT","degC"
"mean","01220",6.59555258750916,5,2,1959,"bottomT","degC"
"mean","01220",6.54107681274414,6,2,1959,"bottomT","degC"
"mean","01220",6.6173224067688,7,2,1959,"bottomT","degC"
"mean","01220",6.59547899246216,8,2,1959,"bottomT","degC"
"mean","01220",6.55925519943237,9,2,1959,"bottomT","degC"
"mean","01220",6.4983081817627,10,2,1959,"bottomT","degC"
"mean","01220",6.63885880470276,11,2,1959,"bottomT","degC"
"mean","01220",6.63357920646667,12,2,1959,"bottomT","degC"
"mean","01220",6.74238598823547,13,2,1959,"bottomT","degC"
"mean","01220",6.71211678504944,14,2,1959,"bottomT","degC"
"mean","01220",6.51468616485596,15,2,1959,"bottomT","degC"
"mean","01220",6.60034061431885,16,2,1959,"bottomT","degC"
"mean","01220",6.64805640220642,17,2,1959,"bottomT","degC"
"mean","01220",6.728401222229,18,2,1959,"bottomT","degC"
"mean","01220",6.66820586204529,19,2,1959,"bottomT","degC"
"mean","01220",6.71496437072754,20,2,1959,"bottomT","degC"
"mean","01220",6.59547283172607,21,2,1959,"bottomT","degC"
"mean","01220",6.42890659332275,22,2,1959,"bottomT","degC"
"mean","01220",6.36842759132385,23,2,1959,"bottomT","degC"
"mean","01220",6.39535581588745,24,2,1959,"bottomT","degC"
"mean","01220",6.49036438941956,25,2,1959,"bottomT","degC"
"mean","01220",6.53875659942627,26,2,1959,"bottomT","degC"
"mean","01220",6.51760101318359,27,2,1959,"bottomT","degC"
"mean","01220",6.46326300621033,28,2,1959,"bottomT","degC"
"mean","01220",6.46303097724915,1,3,1959,"bottomT","degC"
"mean","01220",6.47023438453674,2,3,1959,"bottomT","degC"
"mean","01220",6.45290919303894,3,3,1959,"bottomT","degC"
"mean","01220",6.45558201789856,4,3,1959,"bottomT","degC"
"mean","01220",6.51822902679443,5,3,1959,"bottomT","degC"
"mean","01220",6.41504062652588,6,3,1959,"bottomT","degC"
"mean","01220",6.32872159004211,7,3,1959,"bottomT","degC"
"mean","01220",6.31964978218079,8,3,1959,"bottomT","degC"
"mean","01220",6.15403678894043,9,3,1959,"bottomT","degC"
"mean","01220",6.16370240211487,10,3,1959,"bottomT","degC"
"mean","01220",6.24787482261658,11,3,1959,"bottomT","degC"
"mean","01220",6.31838080406189,12,3,1959,"bottomT","degC"
"mean","01220",6.38666902542114,13,3,1959,"bottomT","degC"
"mean","01220",6.41089462280273,14,3,1959,"bottomT","degC"
"mean","01220",6.13302038669586,15,3,1959,"bottomT","degC"
"mean","01220",6.01920422077179,16,3,1959,"bottomT","degC"
"mean","01220",6.16308039188385,17,3,1959,"bottomT","degC"
"mean","01220",6.21599541187286,18,3,1959,"bottomT","degC"
"mean","01220",6.23838635444641,19,3,1959,"bottomT","degC"
"mean","01220",6.29901582241058,20,3,1959,"bottomT","degC"
"mean","01220",6.35591636657715,21,3,1959,"bottomT","degC"
"mean","01220",6.3637121963501,22,3,1959,"bottomT","degC"
"mean","01220",6.41440320968628,23,3,1959,"bottomT","degC"
"mean","01220",6.23890580654144,24,3,1959,"bottomT","degC"
"mean","01220",6.07291954040527,25,3,1959,"bottomT","degC"
"mean","01220",6.05890157699585,26,3,1959,"bottomT","degC"
"mean","01220",6.15025121688843,27,3,1959,"bottomT","degC"
"mean","01220",6.19532183647156,28,3,1959,"bottomT","degC"
"mean","01220",6.23721797943115,29,3,1959,"bottomT","degC"
"mean","01220",6.333992395401,30,3,1959,"bottomT","degC"
"mean","01220",6.3348295879364,31,3,1959,"bottomT","degC"
"mean","01220",6.23440382003784,1,4,1959,"bottomT","degC"
"mean","01220",6.19920803070068,2,4,1959,"bottomT","degC"
"mean","01220",6.19824983596802,3,4,1959,"bottomT","degC"
"mean","01220",6.18495282173157,4,4,1959,"bottomT","degC"
"mean","01220",6.15107242584229,5,4,1959,"bottomT","degC"
"mean","01220",6.14630200386047,6,4,1959,"bottomT","degC"
"mean","01220",6.16244901657104,7,4,1959,"bottomT","degC"
"mean","01220",6.17144516944885,8,4,1959,"bottomT","degC"
"mean","01220",6.18970697402954,9,4,1959,"bottomT","degC"
"mean","01220",6.21207937240601,10,4,1959,"bottomT","degC"
"mean","01220",6.25408299446106,11,4,1959,"bottomT","degC"
"mean","01220",6.28146817207336,12,4,1959,"bottomT","degC"
"mean","01220",6.28781216621399,13,4,1959,"bottomT","degC"
"mean","01220",6.28215758323669,14,4,1959,"bottomT","degC"
"mean","01220",6.28676937103272,15,4,1959,"bottomT","degC"
"mean","01220",6.25551619529724,16,4,1959,"bottomT","degC"
"mean","01220",6.23442158699036,17,4,1959,"bottomT","degC"
"mean","01220",6.22517236709595,18,4,1959,"bottomT","degC"
"mean","01220",6.21208038330078,19,4,1959,"bottomT","degC"
"mean","01220",6.20381200790405,20,4,1959,"bottomT","degC"
"mean","01220",6.18697605133057,21,4,1959,"bottomT","degC"
"mean","01220",6.17762781143188,22,4,1959,"bottomT","degC"
"mean","01220",6.17657115936279,23,4,1959,"bottomT","degC"
"mean","01220",6.15742559432983,24,4,1959,"bottomT","degC"
"mean","01220",6.15233218193054,25,4,1959,"bottomT","degC"
"mean","01220",6.16546520233154,26,4,1959,"bottomT","degC"
"mean","01220",6.14231620788574,27,4,1959,"bottomT","degC"
"mean","01220",6.11502100944519,28,4,1959,"bottomT","degC"
"mean","01220",6.1205343914032,29,4,1959,"bottomT","degC"
"mean","01220",6.17214859962463,30,4,1959,"bottomT","degC"
"mean","01220",6.17360939979553,1,5,1959,"bottomT","degC"
"mean","01220",6.15398280143738,2,5,1959,"bottomT","degC"
"mean","01220",6.1334183883667,3,5,1959,"bottomT","degC"
"mean","01220",6.12698879241943,4,5,1959,"bottomT","degC"
"mean","01220",6.12887499809265,5,5,1959,"bottomT","degC"
"mean","01220",6.14234436988831,6,5,1959,"bottomT","degC"
"mean","01220",6.15291719436645,7,5,1959,"bottomT","degC"
"mean","01220",6.15742700576782,8,5,1959,"bottomT","degC"
"mean","01220",6.16340840339661,9,5,1959,"bottomT","degC"
"mean","01220",6.1695506477356,10,5,1959,"bottomT","degC"
"mean","01220",6.18540459632873,11,5,1959,"bottomT","degC"
"mean","01220",6.21503998756409,12,5,1959,"bottomT","degC"
