COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.6628,.3459,.3049,1.0502,N,.6628
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",1.1879,.3127,.6906,1.9317,N,1.1879
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.5846,.2551,.3569,.8575,N,.5846
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.5713,.1779,.4136,.7437,N,.5713
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.5301,.3016,.2918,.8322,N,.5301
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",4.2533,.6138,.2974,9.3585,N,4.2533
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",1.0461,.4102,.3522,1.8404,N,1.0461
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.6063,.2869,.3198,.915,N,.6063
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",.4015,.328,.1926,.63,N,.4015
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.4758,.4633,.1846,.8745,N,.4758
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",1.4298,.6465,.2079,3.1194,N,1.4298
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.6472,.1937,.4573,.8629,N,.6472
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.6173,.2289,.4094,.8807,N,.6173
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",1.3355,.2257,.8244,1.8281,N,1.3355
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",1.4079,.3069,.7423,2.0611,N,1.4079
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.6588,.1646,.4826,.847,N,.6588
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.6008,.3293,.3239,.9422,N,.6008
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",.8008,.1174,.649,.9607,N,.8008
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",.9793,.2026,.6887,1.3158,N,.9793
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",2.1781,.3602,1.1951,3.7673,N,2.1781
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",3.7546,.0751,3.3146,4.2209,N,3.7546
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",.3864,.2539,.226,.5419,N,.3864
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",.6174,.22,.394,.8487,N,.6174
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",3.31,.2633,1.9627,4.86,N,3.31
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",.6662,.2764,.3907,.9895,N,.6662
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",2.2655,.2138,1.4969,3.1138,N,2.2655
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",.8483,.2337,.541,1.2097,N,.8483
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",3.783,.2714,2.2723,5.6583,N,3.783
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",1.0976,.2895,.5771,1.6152,N,1.0976
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",2.2965,.2201,1.5323,3.1451,N,2.2965
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",1.8423,.2287,1.166,2.5493,N,1.8423
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",4.1881,.3216,2.1288,6.5802,N,4.1881
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",1.7057,.1283,1.3561,2.0705,N,1.7057
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",2.8906,.2794,1.6414,4.3357,N,2.8906
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",6.4933,.2276,4.2969,9.0515,N,6.4933
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",12.297,.259,7.1206,17.5246,N,12.297
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",11.6968,.2321,7.2801,16.1329,N,11.6968
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",12.3138,.1793,8.9593,16.1982,N,12.3138
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",12.0856,.0901,10.2385,13.8014,N,12.0856
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",14.964,.3034,8.5948,22.6693,N,14.964
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",12.1055,.2501,7.1166,17.3987,N,12.1055
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",4.7469,.2077,3.1374,6.3481,N,4.7469
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",15.8484,.2776,8.7149,22.9714,N,15.8484
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",7.4634,.1655,5.5269,9.6146,N,7.4634
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",9.8447,.3103,5.5207,15.1427,N,9.8447
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",3.2157,.1176,2.6335,3.8538,N,3.2157
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",6.8419,.2096,4.5358,9.1776,N,6.8419
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",5.1446,.2985,2.7591,7.7371,N,5.1446
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",8.2641,.1954,5.6688,10.9593,N,8.2641
ALEWIFE,161706,UNIT,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",9.168,.1957,6.3937,12.2118,N,9.168
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",9.377,.3325,4.9257,14.8927,N,9.377
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",5.3649,.2375,3.3625,7.5345,N,5.3649
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",8.9398,.1923,6.3768,12.0835,N,8.9398
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",9.4538,.3844,4.718,16.4286,N,9.4538
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",14.4497,.2437,8.8936,20.6442,N,14.4497
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",7.7643,.189,5.5727,10.2895,N,7.7643
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",5.505,.2016,3.8657,7.4302,N,5.505
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",2.1244,.235,1.4077,3.0874,N,2.1244
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",3.5763,.2715,2.0897,5.2439,N,3.5763
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",2.8092,.347,1.5222,4.5275,N,2.8092
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",2.8734,.237,1.851,4.0972,N,2.8734
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",6.4524,.1303,5.1327,7.8951,N,6.4524
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",5.0137,.1536,3.7848,6.3702,N,5.0137
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",4.4224,.1376,3.5134,5.5474,N,4.4224
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",4.54,.1185,3.6382,5.4453,N,4.54
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1991,"Abundance (numbers/tow)",7.6345,.3213,4.1072,12.0005,N,7.6345
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1992,"Abundance (numbers/tow)",5.1786,.2197,3.5139,7.2173,N,5.1786
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1993,"Abundance (numbers/tow)",5.9375,.1885,4.1981,7.9077,N,5.9375
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1994,"Abundance (numbers/tow)",5.8158,.1931,4.0725,7.6215,N,5.8158
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1995,"Abundance (numbers/tow)",6.2398,.1908,4.4601,8.4569,N,6.2398
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1996,"Abundance (numbers/tow)",9.3168,.27,5.7021,13.7649,N,9.3168
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1997,"Abundance (numbers/tow)",9.4379,.2741,5.6891,14.2515,N,9.4379
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1998,"Abundance (numbers/tow)",9.5339,.1155,7.7982,11.4059,N,9.5339
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,1999,"Abundance (numbers/tow)",11.0043,.222,7.2556,15.3404,N,11.0043
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,2000,"Abundance (numbers/tow)",9.1335,.3679,4.3371,14.5701,N,9.1335
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,2001,"Abundance (numbers/tow)",10.6183,.1591,7.8644,13.5704,N,10.6183
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,2002,"Abundance (numbers/tow)",6.1674,.1057,5.1697,7.3563,N,6.1674
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,2003,"Abundance (numbers/tow)",7.251,.1627,5.4038,9.2273,N,7.251
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,2004,"Abundance (numbers/tow)",9.3209,.1616,6.9872,11.7717,N,9.3209
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,2005,"Abundance (numbers/tow)",10.0717,.1269,8.0579,12.2146,N,10.0717
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,2006,"Abundance (numbers/tow)",16.3411,.1919,11.2302,21.4191,N,16.3411
ALEWIFE,161706,UNIT,NONE,10,"NMFS spring BTS",SPRING,2007,"Abundance (numbers/tow)",7.8853,.2044,5.5383,10.8626,N,7.8853
