COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",14.1724,.1448,11.1079,17.8806,N,14.1724
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",8.1995,.1293,6.4818,9.9092,N,8.1995
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",11.9499,.1242,9.5534,14.439,N,11.9499
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",18.2848,.137,14.2814,22.4924,N,18.2848
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",11.015,.2025,7.4246,14.5314,N,11.015
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",8.6111,.1502,6.5071,10.6458,N,8.6111
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",7.6177,.1564,5.705,9.5113,N,7.6177
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",6.4614,.1341,5.2106,8.096,N,6.4614
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",7.4695,.156,5.6644,9.4885,N,7.4695
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",7.4434,.1354,5.8152,9.0648,N,7.4434
"FLOUNDER, PLAICE, AMERICAN (DAB)",172877,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",6.1871,.0979,5.2409,7.1948,N,6.1871
