COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.1771,.7133,.0264,.4287,N,.1771
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.0096,.52,.0027,.018,N,.0096
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.0405,.6993,.0048,.0918,N,.0405
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.0259,.5146,.0072,.0503,N,.0259
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.1285,.3576,.0562,.2067,N,.1285
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.0401,.5814,.0078,.0785,N,.0401
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.2073,.6059,.0455,.4604,N,.2073
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.0479,.3235,.024,.0734,N,.0479
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.1297,.5183,.0277,.2604,N,.1297
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",.2909,.3325,.1463,.4672,N,.2909
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.1876,.6646,.0327,.4232,N,.1876
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",.1642,.8344,.0123,.4479,N,.1642
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.0292,.3494,.0135,.047,N,.0292
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",.0716,.3135,.037,.1102,N,.0716
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.0522,.3105,.0275,.0819,N,.0522
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.31,.3756,.1354,.514,N,.31
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",.0545,.3688,.0222,.0874,N,.0545
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.0759,.2134,.0501,.1031,N,.0759
"SHAD, AMERICAN",161702,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.1026,.4436,.0397,.1902,N,.1026
