COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",5.4936,.2119,3.705,7.4929,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",5.4731,.2644,3.1714,7.8003,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",2.3589,.2483,1.4592,3.3744,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",5.4091,.2104,3.6583,7.5479,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",1.6776,.3378,.7858,2.5856,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",1.3647,.4173,.4137,2.2912,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",3.7734,.3541,1.7251,6.0487,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",2.246,.4684,.6148,4.026,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",3.3941,.4511,1.0735,6.0885,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",1.5861,.3503,.7394,2.5568,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",2.1327,.3155,1.0928,3.3131,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",3.2113,.3359,1.4663,5.0262,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",2.5905,.4056,.9585,4.517,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.3857,.3908,.1625,.6502,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",1.0723,.3187,.5384,1.6456,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",.4753,.32,.2411,.7522,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",.9947,.4536,.3259,1.8308,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",1.0141,.3611,.4738,1.6595,Y,
"COD, ATLANTIC",164712,EGB,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",1.0247,.3442,.5249,1.6625,Y,
