COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",.886,.555,.0667,1.7053,N,.886
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",0,,0,0,N,0
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",1.1171,.5784,.1779,2.1452,N,1.1171
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",.3736,.6075,.0534,.8539,N,.3736
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.785,.3932,.2893,1.3162,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.3933,.5997,.0532,.8188,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.6225,.5877,.0798,1.3405,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.1064,.9201,0,.3191,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.0332,.5889,0,.0665,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.133,.9306,0,.3989,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.021,.958,0,.063,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.0263,.8305,0,.0788,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.0266,.9097,0,.0798,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",.017,.8768,0,.0341,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",.0834,.578,.017,.1667,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",.0135,.892,0,.0404,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",.0142,.8832,0,.0426,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",0,,0,0,Y,
"COD, ATLANTIC",164712,SNE,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",0,,0,0,Y,
