COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",6.7568,.2478,3.9611,9.4955,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",2.6447,.1465,2.0572,3.2903,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",7.1713,.2515,4.3775,10.5231,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",5.3399,.2002,3.6587,7.1538,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",3.7992,.1572,2.8196,4.7831,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",4.5774,.2036,3.0716,6.1211,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",3.3033,.1404,2.5469,4.1103,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",5.3672,.3277,2.7588,8.4074,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",6.0235,.1877,4.2853,7.898,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",19.3006,.3301,10.1153,30.9361,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",10.83,.1711,7.8589,13.9311,Y,
"COD, ATLANTIC",164712,WGOM,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",5.938,.2215,3.8506,8.3232,Y,
