COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",.039,.4672,.0113,.0714,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.0218,.4157,.008,.0375,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",.0149,.5138,.0046,.0275,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",.0026,.8506,0,.0077,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.0032,.8992,0,.0064,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.0129,.8762,0,.0387,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.0246,.6498,.0032,.0539,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.0032,.8705,0,.008,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.0111,.9147,0,.0332,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.0126,.6864,0,.029,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.0152,.7672,0,.0367,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.0044,.9245,0,.0132,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.0174,.6702,0,.0396,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.0378,.4755,.0119,.0723,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.0123,.5295,.0031,.0245,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.0281,.504,.0081,.0551,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.0148,.3942,.0066,.025,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.0073,.7228,0,.0165,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",.0244,.4152,.0088,.0426,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.0151,.6993,0,.0344,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",0,,0,0,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.0055,.8873,0,.0165,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",.0154,.9153,0,.0463,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.0293,.5594,.0044,.0591,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.029,.5798,.0034,.058,Y,
"HALIBUT, ATLANTIC",172933,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",.0061,.9165,0,.0184,Y,
