COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.5668,.1814,.4049,.7461,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.9616,.3674,.4127,1.5752,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",1.5299,.2163,1.0295,2.1055,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.9688,.1932,.6855,1.2934,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.9979,.3059,.5108,1.521,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.7166,.3576,.3393,1.1356,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",4.2957,.4452,1.1707,7.5061,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",2.342,.2937,1.2805,3.5784,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",1.0727,.2093,.7093,1.4475,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.8761,.178,.6379,1.1529,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.4937,.1848,.3493,.6568,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",1.0999,.5943,.2482,2.2686,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.7925,.3333,.3804,1.251,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",1.0014,.3979,.4156,1.6799,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.2803,.3178,.1442,.4441,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",1.1255,.3152,.5961,1.7781,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.4238,.2366,.2688,.6094,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.5411,.2756,.3071,.799,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",3.9634,.5849,.4352,8.3247,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",1.6422,.5641,.4434,3.5967,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.7748,.2908,.43,1.1542,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.6995,.359,.3285,1.147,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",.9065,.4698,.2319,1.6271,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",1.1016,.4126,.4206,1.9368,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",.3739,.3208,.1961,.5989,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",.8606,.3465,.4139,1.3305,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",1.0106,.3654,.4612,1.6594,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",1.7093,.4779,.5468,3.2645,Y,
"POLLOCK, ATLANTIC",164727,ALB,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",2.0666,.5883,.4961,4.622,Y,
