COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",.2356,.2871,.1297,.3497,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",1.0758,.4852,.3256,2.0421,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",4.468,.575,.7629,8.995,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",1.5713,.4049,.6345,2.743,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",1.3665,.4526,.4945,2.4845,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",9.4405,.5499,1.031,18.1756,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",2.8008,.5703,.6869,6.0191,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",1.8427,.5287,.3319,3.416,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",.5939,.4565,.2066,1.0771,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",.5566,.2147,.3699,.7662,N,.5566
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",.4759,.6332,.0758,1.0585,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2020,"Abundance (numbers/tow)",,,,,,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2021,"Abundance (numbers/tow)",.5685,.4672,.2136,1.0452,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2022,"Abundance (numbers/tow)",4.7332,.6524,.265,10.3024,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2023,"Abundance (numbers/tow)",.8718,.76,.097,2.2412,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2024,"Abundance (numbers/tow)",.1232,.3221,.0611,.193,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2025,"Abundance (numbers/tow)",.0521,.5076,.0055,.0988,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2009,"Abundance (numbers/tow)",.9057,.2762,.5149,1.3699,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2010,"Abundance (numbers/tow)",1.1373,.4014,.492,1.9233,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2011,"Abundance (numbers/tow)",3.2271,.6568,.4918,7.8266,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2012,"Abundance (numbers/tow)",.9445,.3723,.4071,1.5648,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2013,"Abundance (numbers/tow)",.8106,.2397,.5145,1.1667,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2014,"Abundance (numbers/tow)",1.393,.3799,.6207,2.3334,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2015,"Abundance (numbers/tow)",2.3077,.7064,.4793,5.769,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2016,"Abundance (numbers/tow)",4.3775,.3763,1.7597,7.1374,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2017,"Abundance (numbers/tow)",4.5771,.5467,.6292,9.0118,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2018,"Abundance (numbers/tow)",18.9618,.7743,.4409,37.627,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2019,"Abundance (numbers/tow)",.6122,.3209,.3254,.9602,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2020,"Abundance (numbers/tow)",,,,,,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2021,"Abundance (numbers/tow)",.457,.301,.2472,.7121,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2022,"Abundance (numbers/tow)",1.2754,.3327,.6371,2.0032,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2023,"Abundance (numbers/tow)",.575,.6703,.0401,1.3837,N,.575
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2024,"Abundance (numbers/tow)",.5946,.258,.3606,.8551,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2025,"Abundance (numbers/tow)",.1726,.3422,.0827,.2785,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2009,"Biomass (kg/tow)",.178,.2999,.0939,.2667,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2010,"Biomass (kg/tow)",3.0603,.5006,.8047,5.8012,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2011,"Biomass (kg/tow)",2.9603,.4516,.9696,5.3234,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2012,"Biomass (kg/tow)",1.6144,.3943,.7027,2.8575,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2013,"Biomass (kg/tow)",.6931,.3509,.3236,1.0992,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2014,"Biomass (kg/tow)",6.0419,.5114,1.065,11.404,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2015,"Biomass (kg/tow)",2.2576,.5186,.7941,4.646,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2016,"Biomass (kg/tow)",1.3825,.4771,.3632,2.5464,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2017,"Biomass (kg/tow)",.9169,.6446,.1823,2.0733,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2018,"Biomass (kg/tow)",.7198,.2587,.426,1.0374,N,.7198
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2019,"Biomass (kg/tow)",1.3167,.7227,.1013,3.2717,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2020,"Biomass (kg/tow)",,,,,,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2021,"Biomass (kg/tow)",.3411,.3903,.1369,.5718,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2022,"Biomass (kg/tow)",2.2357,.6145,.2143,4.8339,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2023,"Biomass (kg/tow)",.8554,.7006,.1291,2.057,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2024,"Biomass (kg/tow)",.2766,.329,.1405,.4416,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS fall BTS",FALL,2025,"Biomass (kg/tow)",.1362,.7207,.0051,.2886,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2009,"Biomass (kg/tow)",1.6741,.2911,.9283,2.5741,Y,
"POLLOCK, ATLANTIC",164727,BIG,NONE,10,"NMFS spring BTS",SPRING,2010,"Biomass (kg/tow)",1.2513,.2353,.7703,1.7248,Y,
