COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",11.4802,.1773,8.5328,15.0145,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",3.82,.2613,2.3948,5.5798,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",2.7291,.2376,1.7203,3.906,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",2.3443,.211,1.5561,3.1072,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",1.3705,.371,.6344,2.3158,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.9937,.3145,.4818,1.4894,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",4.3189,.2862,2.29,6.3093,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",4.6518,.3017,2.5117,7.146,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",6.5244,.3809,3.2529,10.3319,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",9.6391,.2157,6.3439,13.1533,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",7.311,.299,4.0041,11.1275,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",2.956,.1945,2.001,3.8675,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",8.2188,.1773,5.6432,10.6444,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",7.2532,.1932,5.0751,9.7355,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",13.3446,.1342,10.4807,16.41,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",14.3767,.1875,10.2455,19.124,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",6.815,.1729,4.9979,8.8624,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",16.9393,.2156,11.6193,23.6413,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",17.9478,.4071,8.4095,28.7521,Y,
"HAKE, ATLANTIC, RED",164730,NORTH,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",7.6134,.2649,4.2384,10.7664,Y,
