COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",46.9256,.2241,30.3615,64.919,N,46.9256
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",23.2785,.2364,14.4142,32.2598,N,23.2785
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",30.6825,.19,21.438,40.7544,N,30.6825
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",26.6726,.2888,15.4792,40.6025,N,26.6726
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",7.8726,.2576,4.7117,11.4203,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",14.8508,.1824,10.4654,19.6925,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",17.5847,.2081,11.9466,24.2509,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",15.1722,.1436,11.5735,18.821,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",17.4338,.1572,12.9359,21.861,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",25.5137,.2283,16.5599,35.5864,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",19.197,.2721,10.7041,27.6639,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",22.0482,.194,15.8585,29.6802,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",33.8767,.1946,23.1184,44.974,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",19.9492,.1778,14.4139,26.1928,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",12.7134,.1949,8.7113,17.0153,Y,
"HAKE, ATLANTIC, RED",164730,SOUTH,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",11.7261,.1723,8.514,15.1952,Y,
