COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",4.6587,.2796,2.7093,6.9752,N,4.6587
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.6065,.203,.414,.8173,Y,
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",2.7211,.2186,1.7863,3.6593,Y,
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",6.0274,.1758,4.3824,7.7619,Y,
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",1.968,.2171,1.3259,2.7131,Y,
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.7584,.1683,.5506,.9747,Y,
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.3762,.2339,.238,.5335,Y,
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.3442,.2812,.2012,.5174,Y,
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",1.7432,.5657,.3585,3.521,Y,
"HERRING, ATLANTIC, SEA",161722,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.5065,.2377,.3215,.7206,Y,
