COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",5.4682,.1125,4.5167,6.5381,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",1.8736,.1532,1.4236,2.3669,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",4.1604,.1821,3.0493,5.4774,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",7.5634,.1222,6.0671,9.0934,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",4.0604,.1381,3.1489,5.0372,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",4.3968,.1891,3.0496,5.8251,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",10.1467,.1119,8.2803,12.0637,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",8.8484,.1115,7.3102,10.5798,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",11.196,.1865,7.9989,14.7981,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",14.029,.2588,9.3447,21.2256,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",9.8626,.1465,7.6136,12.4362,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",5.4001,.1186,4.3906,6.4944,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",5.1463,.1152,4.2073,6.1364,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",6.7416,.1566,5.1101,8.5897,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",10.5754,.0986,8.9088,12.2976,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",8.3427,.1079,6.88,9.8592,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",5.5605,.1105,4.6023,6.6764,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",12.0013,.1548,9.0544,15.1502,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",8.4283,.0978,7.1109,9.8043,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",1.876,.1548,1.4339,2.373,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",8.9909,.11,7.4198,10.7145,Y,
"HAKE, ATLANTIC, WHITE",164732,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",5.1726,.0937,4.3656,5.9891,Y,
