COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",.0311,.585,.0056,.0622,N,.0311
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.0879,.4371,.0339,.1566,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",.3055,.4349,.0975,.5476,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",.3338,.4503,.0893,.5961,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.089,.5999,.0144,.1907,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.1467,.3484,.0674,.2337,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.0094,.7982,0,.0188,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.0766,.4873,.022,.1404,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.121,.4277,.0413,.2135,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.1293,.414,.047,.2192,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.3417,.3166,.1651,.5038,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",.2295,.7045,.0226,.5757,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.0383,.3184,.0209,.0591,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.0696,.5811,.0081,.1392,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.042,.3514,.0205,.067,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.4721,.2435,.2913,.6741,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.0543,.2864,.0301,.078,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.1397,.3086,.0702,.213,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",.2608,.4225,.0986,.4739,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.0481,.4171,.0157,.0835,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",.2472,.3267,.1155,.3819,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.04,.4672,.0074,.0725,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",.1884,.3946,.0756,.3193,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.0963,.3479,.0395,.1522,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.0356,.3354,.0139,.0565,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",.1143,.3042,.0615,.1752,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.1353,.4262,.0493,.2332,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",.1052,.525,.027,.2,Y,
"WOLFFISH, ATLANTIC",171341,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",.1336,.3819,.0535,.2258,Y,
