COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",.7336,.1761,.5341,.9656,N,.7336
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",.394,.2026,.2626,.5339,N,.394
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",.711,.1622,.518,.8932,N,.711
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",.4668,.2155,.3141,.6453,N,.4668
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",.0594,.3649,.0274,.0966,N,.0594
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",.1346,.2326,.0842,.1866,N,.1346
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",.0402,.5846,.0069,.0817,N,.0402
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",.0073,.9524,0,.0218,N,.0073
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",.1147,.8257,.0065,.308,N,.1147
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",.0125,.5436,.0029,.0251,N,.0125
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",.0081,.634,0,.0162,N,.0081
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",0,,0,0,N,0
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.0106,.9575,0,.0317,N,.0106
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.0588,.4996,.0147,.1092,N,.0588
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",0,,0,0,N,0
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",0,,0,0,N,0
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.003,.9742,0,.0089,N,.003
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",0,,0,0,N,0
"SKATE, BARNDOOR",564139,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",0,,0,0,N,0
