COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",0,,0,0,N,0
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",.0685,.5051,.0145,.1225,N,.0685
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",0,,0,0,N,0
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",.1222,.6127,.021,.2517,N,.1222
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",.0184,.8255,0,.0513,N,.0184
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",.2845,.4661,.0839,.5144,N,.2845
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",1.9807,.7951,.0576,5.3036,N,1.9807
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",.2668,.5779,.0595,.5727,N,.2668
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",0,,0,0,N,0
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",.0174,.9269,0,.0521,N,.0174
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",.0357,.9757,0,.1072,N,.0357
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1991,"Abundance (numbers/tow)",.0248,.7466,0,.0602,N,.0248
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1992,"Abundance (numbers/tow)",.0332,.9375,0,.0997,N,.0332
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1993,"Abundance (numbers/tow)",.0333,.927,0,.1,N,.0333
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1994,"Abundance (numbers/tow)",.0944,.7159,0,.1888,N,.0944
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1995,"Abundance (numbers/tow)",.116,.405,.0332,.1989,N,.116
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1996,"Abundance (numbers/tow)",.0809,.5028,.0165,.1454,N,.0809
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1997,"Abundance (numbers/tow)",.435,.6408,0,.87,N,.435
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1998,"Abundance (numbers/tow)",.0167,.937,0,.05,N,.0167
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,1999,"Abundance (numbers/tow)",.0835,.5293,.0225,.164,N,.0835
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2000,"Abundance (numbers/tow)",.1253,.4991,.0272,.2246,N,.1253
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2001,"Abundance (numbers/tow)",.3732,.5813,.0191,.7274,N,.3732
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2002,"Abundance (numbers/tow)",.4738,.2647,.2676,.6858,N,.4738
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2003,"Abundance (numbers/tow)",.4351,.2608,.2569,.61,N,.4351
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2004,"Abundance (numbers/tow)",.2518,.1419,.1887,.3149,N,.2518
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2005,"Abundance (numbers/tow)",.7639,.8615,.0311,2.0891,N,.7639
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2006,"Abundance (numbers/tow)",.1636,.6575,.0303,.3801,N,.1636
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2007,"Abundance (numbers/tow)",1.0248,.5117,.2018,1.9472,N,1.0248
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2008,"Abundance (numbers/tow)",.1353,.7932,.0014,.343,Y,
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2009,"Abundance (numbers/tow)",.9543,.3183,.4778,1.4765,Y,
"SEA BASS, BLACK",167687,NORTH,NONE,10,"NMFS spring BTS",SPRING,2010,"Abundance (numbers/tow)",.5686,.3438,.2772,.9156,Y,
