COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",4.8956,.3325,2.4411,7.7329,N,4.8956
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",1.7125,.3074,.87,2.5747,N,1.7125
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",.4567,.4791,.11,.7954,Y,
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",1.0316,.4679,.2285,1.8569,Y,
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",.4409,.28,.2517,.6619,N,.4409
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",.6029,.2616,.3423,.8651,N,.6029
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",1.4899,.4057,.5866,2.4763,N,1.4899
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",1.4048,.1246,1.1289,1.7158,N,1.4048
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",3.9678,.3021,2.1589,6.115,N,3.9678
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",1.5648,.2058,1.0172,2.0822,N,1.5648
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",1.6588,.3773,.7906,2.7792,N,1.6588
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1991,"Abundance (numbers/tow)",1.8642,.3129,.9903,2.9062,N,1.8642
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1992,"Abundance (numbers/tow)",3.1613,.3304,1.5745,5.0224,N,3.1613
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1993,"Abundance (numbers/tow)",2.7761,.5323,.5481,5.0014,N,2.7761
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1994,"Abundance (numbers/tow)",.4294,.4313,.1682,.6967,N,.4294
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1995,"Abundance (numbers/tow)",1.077,.2692,.595,1.5793,Y,
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1996,"Abundance (numbers/tow)",.6481,.3188,.3413,1.0255,N,.6481
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1997,"Abundance (numbers/tow)",2.8822,.6634,.5152,6.8799,N,2.8822
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1998,"Abundance (numbers/tow)",.7911,.4661,.225,1.3493,N,.7911
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,1999,"Abundance (numbers/tow)",2.7552,.5876,.5627,5.0184,N,2.7552
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2000,"Abundance (numbers/tow)",5.2027,.6874,1.0271,12.764,N,5.2027
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2001,"Abundance (numbers/tow)",3.7137,.3308,1.7538,5.8744,N,3.7137
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2002,"Abundance (numbers/tow)",5.3481,.1512,3.9465,6.6478,N,5.3481
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2003,"Abundance (numbers/tow)",14.729,.5442,2.5503,27.8342,N,14.729
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2004,"Abundance (numbers/tow)",3.6182,.3041,1.863,5.322,N,3.6182
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2005,"Abundance (numbers/tow)",3.1286,.4276,1.1387,5.5861,Y,
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2006,"Abundance (numbers/tow)",1.3976,.4568,.4008,2.6352,N,1.3976
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2007,"Abundance (numbers/tow)",.5547,.2674,.3196,.803,Y,
"SEA BASS, BLACK",167687,SOUTH,NONE,10,"NMFS spring BTS",SPRING,2008,"Abundance (numbers/tow)",.9327,.2761,.5249,1.3859,N,.9327
