COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1968,"Abundance (numbers/tow)",.291,.6369,.011,.566,N,.291
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1969,"Abundance (numbers/tow)",1.2812,.6155,.1054,2.457,N,1.2812
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1970,"Abundance (numbers/tow)",.1249,.1809,.0883,.1632,N,.1249
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1971,"Abundance (numbers/tow)",.2657,.5838,.0534,.4893,N,.2657
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1972,"Abundance (numbers/tow)",1.0817,.3152,.5508,1.6962,N,1.0817
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1973,"Abundance (numbers/tow)",.9686,.4555,.2901,1.69,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1974,"Abundance (numbers/tow)",2.3987,.3304,1.1209,3.6988,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1975,"Abundance (numbers/tow)",2.1489,.5154,.6274,3.7864,N,2.1489
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1976,"Abundance (numbers/tow)",3.1607,.2563,1.7646,4.523,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1977,"Abundance (numbers/tow)",8.2128,.6918,.8591,15.6595,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1978,"Abundance (numbers/tow)",4.5926,.362,1.7792,7.3455,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1979,"Abundance (numbers/tow)",5.2582,.7491,.3727,10.2618,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1980,"Abundance (numbers/tow)",2.9963,.3192,1.4946,4.7201,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1981,"Abundance (numbers/tow)",1.0757,.2987,.5721,1.618,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1982,"Abundance (numbers/tow)",.2916,.4735,.0789,.4981,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1983,"Abundance (numbers/tow)",.7372,.4262,.2335,1.2794,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1984,"Abundance (numbers/tow)",.2864,.2607,.1616,.4073,N,.2864
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1985,"Abundance (numbers/tow)",.5361,.2404,.3349,.744,N,.5361
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1986,"Abundance (numbers/tow)",2.1747,.503,.6585,4.3824,N,2.1747
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1987,"Abundance (numbers/tow)",1.0944,.1283,.875,1.3267,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1988,"Abundance (numbers/tow)",2.4685,.31,1.2866,3.7611,N,2.4685
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1989,"Abundance (numbers/tow)",.7877,.2359,.4957,1.0988,N,.7877
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1990,"Abundance (numbers/tow)",1.0013,.3908,.4432,1.6814,N,1.0013
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1991,"Abundance (numbers/tow)",1.1456,.3154,.59,1.7621,N,1.1456
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1992,"Abundance (numbers/tow)",1.9402,.3408,.9592,3.0827,N,1.9402
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1993,"Abundance (numbers/tow)",1.7335,.537,.3392,3.1284,N,1.7335
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1994,"Abundance (numbers/tow)",.3264,.3698,.1426,.5398,N,.3264
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1995,"Abundance (numbers/tow)",.7406,.2539,.4349,1.0423,N,.7406
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1996,"Abundance (numbers/tow)",.4063,.3076,.2158,.6284,N,.4063
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1997,"Abundance (numbers/tow)",2.0367,.5244,.5565,4.4294,N,2.0367
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1998,"Abundance (numbers/tow)",.5,.4789,.1364,.8608,N,.5
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,1999,"Abundance (numbers/tow)",1.733,.5964,.3472,3.2487,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2000,"Abundance (numbers/tow)",3.1081,.714,.5479,7.6939,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2001,"Abundance (numbers/tow)",2.3515,.3956,.8756,4.102,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2002,"Abundance (numbers/tow)",3.1195,.1634,2.2335,3.9031,N,3.1195
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2003,"Abundance (numbers/tow)",9.5054,.49,1.9497,17.4439,N,9.5054
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2004,"Abundance (numbers/tow)",2.3613,.2851,1.2166,3.4605,N,2.3613
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2005,"Abundance (numbers/tow)",2.4397,.3805,1.0202,4.0255,N,2.4397
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2006,"Abundance (numbers/tow)",.5436,.3223,.2569,.8206,N,.5436
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2007,"Abundance (numbers/tow)",1.0004,.3344,.4855,1.5925,N,1.0004
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2008,"Abundance (numbers/tow)",.6142,.2744,.3459,.8992,N,.6142
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2009,"Abundance (numbers/tow)",.7594,.3119,.4183,1.1883,N,.7594
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2010,"Abundance (numbers/tow)",1.5364,.1281,1.2195,1.8596,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2011,"Abundance (numbers/tow)",.6547,.3095,.3283,.9896,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2012,"Abundance (numbers/tow)",1.6051,.207,1.0795,2.2083,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2013,"Abundance (numbers/tow)",4.5548,.3355,2.1618,7.1638,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2014,"Abundance (numbers/tow)",3.9041,.4505,1.2122,7.2576,N,3.9041
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2015,"Abundance (numbers/tow)",1.3028,.4618,.4057,2.3952,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2016,"Abundance (numbers/tow)",1.8567,.2979,1.0131,2.8268,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2017,"Abundance (numbers/tow)",2.2039,.241,1.3426,3.1101,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2018,"Abundance (numbers/tow)",3.5728,.4887,.7873,6.8188,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2019,"Abundance (numbers/tow)",3.0483,.5964,.3991,6.8321,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2020,"Abundance (numbers/tow)",4.8201,.3314,2.3536,7.5015,N,4.8201
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2021,"Abundance (numbers/tow)",4.4584,.4617,1.7335,8.2532,N,4.4584
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2022,"Abundance (numbers/tow)",4.1404,.4092,1.6112,7.1061,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2023,"Abundance (numbers/tow)",.3101,.8611,0,.6202,N,.3101
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2024,"Abundance (numbers/tow)",14.8746,.3313,6.9018,22.6772,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS spring BTS",SPRING,2025,"Abundance (numbers/tow)",16.0421,.5085,5.188,32.2394,Y,
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS winter BTS",WINTER,1992,"Abundance (numbers/tow)",5.4517,.2952,3.1779,8.623,N,5.4517
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS winter BTS",WINTER,1993,"Abundance (numbers/tow)",4.2351,.2999,2.2526,6.4984,N,4.2351
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS winter BTS",WINTER,1994,"Abundance (numbers/tow)",.9599,.2312,.6304,1.3593,N,.9599
"SEA BASS, BLACK",167687,UNIT,NONE,10,"NMFS winter BTS",WINTER,1995,"Abundance (numbers/tow)",2.5371,.2932,1.473,3.9056,N,2.5371
