COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.0297,.5705,.0061,.0639,N,.0297
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.0149,.4682,.0044,.0258,N,.0149
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.547,.901,.009,1.5959,N,.547
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.2187,.3619,.0994,.361,N,.2187
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.0854,.6429,.0145,.1869,N,.0854
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.7608,.8246,.0196,2.2073,N,.7608
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",.0047,.9385,0,.0142,N,.0047
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.019,.4406,.004,.0327,N,.019
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",.1293,.7909,.0108,.3424,N,.1293
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.0505,.5903,.0088,.1032,N,.0505
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",.0619,.5606,.0091,.1201,N,.0619
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.0343,.4255,.0145,.0588,N,.0343
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",.0265,.3615,.0111,.043,N,.0265
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",.0053,0,.0053,.0053,N,.0053
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.0126,.5206,.0018,.0235,N,.0126
"HERRING, BLUEBACK",161703,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",0,,0,0,N,0
