COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",17.7357,.1089,14.5552,20.734,Y,
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",40.7478,.3722,17.5423,63.4652,N,40.7478
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",7.4457,.215,4.7675,10.0494,N,7.4457
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",30.4676,.5483,3.9036,56.5973,N,30.4676
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",91.2731,.1798,64.2577,118.7016,N,91.2731
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",9.3209,.1704,6.7258,12.0298,N,9.3209
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",15.7966,.2385,9.5479,22.0191,N,15.7966
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",17.8653,.0689,15.7809,19.7757,N,17.8653
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",1.9786,.186,1.3395,2.6481,N,1.9786
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",12.3794,.1087,10.1812,14.5965,N,12.3794
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",9.3877,.1521,6.9198,11.7764,N,9.3877
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",10.8609,.1994,7.2992,14.4897,N,10.8609
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",5.695,.1442,4.3148,6.9905,N,5.695
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",10.5165,.2857,4.901,15.8301,N,10.5165
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",24.5702,.2896,12.6754,36.7382,N,24.5702
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",4.591,.1863,3.1686,6.0196,N,4.591
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",19.4333,.1408,14.9784,23.8057,N,19.4333
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",18.5056,.0565,16.8267,20.2281,N,18.5056
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",35.7213,.1547,26.8927,44.5691,N,35.7213
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",10.5921,.1306,8.2935,12.9316,N,10.5921
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",35.5872,.0832,30.5888,40.32,N,35.5872
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",25.2668,.1242,20.0391,30.368,N,25.2668
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",15.2281,.1202,12.2352,18.3911,N,15.2281
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",13.2034,.1132,10.7278,15.7,N,13.2034
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",11.9874,.4608,4.285,20.0727,Y,
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",8.4317,.2198,5.5026,11.7352,Y,
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",10.1805,.1417,7.7043,12.5352,Y,
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",6.7643,.2055,4.5569,8.958,Y,
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",3.5645,.5763,.8598,6.3194,Y,
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",4.6942,.2402,2.7926,6.5789,Y,
BLUEFISH,168559,UNIT,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",1.7904,.2244,1.1749,2.4885,Y,
