COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",252.786,.2638,142.9982,362.8609,N,252.786
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",231.8041,.1927,159.3134,308.8117,N,231.8041
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",122.0665,.31,58.5165,191.2275,N,122.0665
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",153.7658,.219,101.9308,210.5277,N,153.7658
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",163.4667,.2046,112.0678,223.6674,N,163.4667
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",321.7677,.4056,154.0775,564.36,N,321.7677
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",72.5093,.2197,49.2009,100.7938,N,72.5093
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",55.1714,.1697,40.9592,71.5197,N,55.1714
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",162.5712,.0996,137.3304,189.6299,N,162.5712
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",134.9467,.2505,79.8497,190.6304,N,134.9467
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",158.4126,.3329,81.2322,254.1009,N,158.4126
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",137.5927,.2232,90.7929,191.5739,N,137.5927
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",56.4849,.2013,39.8017,77.1049,N,56.4849
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",66.5117,.1559,50.0062,84.4817,N,66.5117
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",125.3682,.1076,104.3916,147.878,N,125.3682
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",59.5548,.1831,42.808,78.5645,N,59.5548
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",34.574,.1636,26.0073,45.1434,N,34.574
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",128.4126,.1996,90.3495,174.938,N,128.4126
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",35.8506,.1326,28.1327,43.8178,N,35.8506
BUTTERFISH,172567,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",85.9039,.1624,62.4465,108.7625,N,85.9039
