COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",.1678,.3326,.085,.2703,Y,
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",.1416,.2805,.077,.2085,Y,
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",.6527,.3895,.3237,1.1397,Y,
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",.1935,.3519,.0855,.3015,Y,
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",.2561,.3912,.1073,.4356,Y,
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",.4973,.2255,.3199,.6914,N,.4973
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",.1315,.2899,.0746,.1974,Y,
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",.1202,.3143,.0577,.1859,Y,
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",.1039,.3788,.0393,.1707,Y,
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",.164,.3967,.0735,.2852,N,.164
"SKATE, CLEARNOSE",160855,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",.1971,.3407,.0927,.3118,Y,
