COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2001,"Abundance (numbers/tow)",19.6742,.1409,15.1255,24.4083,N,19.6742
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2002,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2003,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2004,"Abundance (numbers/tow)",9.9144,.059,8.9503,10.912,N,9.9144
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2005,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2006,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2007,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2008,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2009,"Abundance (numbers/tow)",9.614,.0915,8.1112,11.0573,N,9.614
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2010,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2011,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2012,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2013,"Abundance (numbers/tow)",,,,,,
GOOSEFISH,164499,NORTH,NONE,04,"NMFS Coop. Monkfish",WINTER,2014,"Abundance (numbers/tow)",,,,,,
