COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1963,"Abundance (numbers/tow)",145.0365,.131,113.7063,176.9235,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1964,"Abundance (numbers/tow)",193.1814,.1703,139.9118,245.3759,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1965,"Abundance (numbers/tow)",101.7038,.1323,80.2832,124.9293,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1966,"Abundance (numbers/tow)",34.1078,.1757,24.9224,45.0019,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",16.9848,.2794,10.269,25.6359,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",7.5332,.3004,4.2811,11.4828,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",3.3057,.2255,2.2329,4.6972,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",7.6291,.5046,2.7787,15.2319,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",4.2183,.1891,3.0139,5.6434,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",11.3551,.1816,8.1744,14.8228,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",14.8691,.341,6.8927,23.3399,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",4.033,.2232,2.6268,5.5948,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",30.9631,.2105,21.1145,42.7435,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",71.0414,.4597,21.6524,133.0465,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",23.2364,.2991,12.9032,35.0479,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",25.2962,.1978,17.4652,33.9622,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",52.2204,.5368,17.4201,108.9749,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",30.5242,.205,20.6433,41.4379,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",13.4812,.2815,7.8088,20.3097,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",5.4437,.2929,3.0779,8.3512,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",7.9932,.3707,3.9641,13.759,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",5.3969,.3452,2.6098,8.6741,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",13.2337,.3243,6.5285,20.219,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",6.7871,.4406,2.4419,12.5426,Y,
HADDOCK,164744,GBK,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",3.6141,.3042,1.9012,5.557,Y,
