COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",8.2958,.3117,4.2298,12.7545,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",9.7748,.1725,7.1202,12.7466,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",6.1741,.2059,4.1759,8.3571,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",7.1517,.3416,3.6925,11.7922,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",4.4559,.1871,3.1695,5.8907,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",2.6267,.3309,1.3521,4.075,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",2.5984,.2821,1.4183,3.8792,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",1.6965,.2559,1.0246,2.4317,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",4.0787,.3934,1.7277,6.9227,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",.6227,.4032,.243,1.0438,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",1.0349,.3187,.568,1.6156,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",.3348,.6408,.0643,.7285,Y,
HADDOCK,164744,GOM,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",.2829,.379,.1248,.4774,Y,
