COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",15.2449,.2446,9.3465,21.701,N,15.2449
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",5.359,.1852,3.8169,7.1,N,5.359
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",5.7798,.1406,4.4554,7.1616,N,5.7798
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",6.1564,.1675,4.5484,7.9765,N,6.1564
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",4.5146,.155,3.4391,5.6993,N,4.5146
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",8.4173,.2271,5.3494,11.6438,N,8.4173
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",3.4835,.1884,2.431,4.5609,N,3.4835
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",7.0992,.2083,4.8293,9.5447,N,7.0992
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",3.303,.1922,2.3318,4.352,N,3.303
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",9.4026,.288,5.3234,14.0274,N,9.4026
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",4.3779,.1415,3.3618,5.4244,N,4.3779
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",3.2225,.1481,2.4428,4.0416,N,3.2225
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",4.273,.1349,3.3362,5.2329,N,4.273
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",5.3144,.1512,4.1181,6.7965,N,5.3144
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",5.0718,.1501,3.8762,6.338,N,5.0718
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",5.0573,.1372,3.9452,6.2384,N,5.0573
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",6.3628,.1309,4.9753,7.7117,N,6.3628
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",8.1202,.1638,6.077,10.4926,N,8.1202
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",5.9493,.1738,4.2813,7.7511,N,5.9493
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",6.2787,.1365,5.0067,7.7764,N,6.2787
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",7.6255,.1394,6.0269,9.5068,N,7.6255
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",18.9573,.1732,13.8622,24.8292,N,18.9573
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2004,"Abundance (numbers/tow)",4.499,.1772,3.2177,5.8504,N,4.499
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2005,"Abundance (numbers/tow)",7.8501,.1918,5.5878,10.4709,N,7.8501
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2006,"Abundance (numbers/tow)",7.3624,.1482,5.6197,9.2456,N,7.3624
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2007,"Abundance (numbers/tow)",5.3417,.1984,3.6473,7.0122,N,5.3417
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2008,"Abundance (numbers/tow)",3.4156,.1505,2.633,4.3083,N,3.4156
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2009,"Abundance (numbers/tow)",5.4446,.1231,4.4118,6.6203,N,5.4446
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2010,"Abundance (numbers/tow)",6.1695,.1364,4.849,7.6051,N,6.1695
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2011,"Abundance (numbers/tow)",5.8958,.1373,4.5171,7.1768,N,5.8958
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2012,"Abundance (numbers/tow)",7.3175,.1197,5.9248,8.9308,N,7.3175
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2013,"Abundance (numbers/tow)",4.2527,.0998,3.6212,4.9858,N,4.2527
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2014,"Abundance (numbers/tow)",4.6622,.1181,3.8351,5.6089,N,4.6622
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2015,"Abundance (numbers/tow)",4.8915,.2144,3.2572,6.6708,N,4.8915
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2016,"Abundance (numbers/tow)",4.2326,.1204,3.445,5.0663,N,4.2326
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2017,"Abundance (numbers/tow)",3.0315,.1633,2.2406,3.8757,N,3.0315
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2018,"Abundance (numbers/tow)",4.9899,.1441,3.824,6.2067,N,4.9899
"SKATE, LITTLE",564130,UNIT,NONE,10,"NMFS fall BTS",FALL,2019,"Abundance (numbers/tow)",3.8778,.0992,3.2696,4.5088,N,3.8778
