COMMON_NAME,SPECIES_ITIS,STOCK_ABBREV,SEX_TYPE,PURPOSE_CODE,SURVEY,SEASON,YEAR,INDEX_TYPE,INDEX,CV,LOWER_90_CI,UPPER_90_CI,STRATA_SAMPLING_COMPLETE,INCOMPLETE_INDEX
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1967,"Abundance (numbers/tow)",142.9022,.1923,102.2369,192.8371,N,142.9022
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1968,"Abundance (numbers/tow)",183.1315,.1141,148.8777,216.9259,N,183.1315
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1969,"Abundance (numbers/tow)",229.5749,.1462,177.4505,288.8869,N,229.5749
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1970,"Abundance (numbers/tow)",84.9743,.1317,66.5326,102.8519,N,84.9743
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1971,"Abundance (numbers/tow)",172.9912,.1321,136.1908,211.9747,N,172.9912
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1972,"Abundance (numbers/tow)",265.7588,.1566,199.4759,333.1802,N,265.7588
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1973,"Abundance (numbers/tow)",387.1075,.1352,308.5694,479.9133,N,387.1075
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1974,"Abundance (numbers/tow)",302.7959,.1323,238.1932,368.9107,N,302.7959
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1975,"Abundance (numbers/tow)",526.0737,.1724,376.3493,683.8436,N,526.0737
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1976,"Abundance (numbers/tow)",428.2581,.1224,341.2283,512.3468,N,428.2581
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1977,"Abundance (numbers/tow)",340.9524,.1146,278.8908,407.9626,N,340.9524
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1978,"Abundance (numbers/tow)",144.9357,.1157,117.3995,172.0762,N,144.9357
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1979,"Abundance (numbers/tow)",185.7625,.1134,151.0537,218.3174,Y,
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1980,"Abundance (numbers/tow)",368.8959,.1133,301.956,436.7958,N,368.8959
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1981,"Abundance (numbers/tow)",196.1813,.1185,160.2592,232.5664,N,196.1813
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1982,"Abundance (numbers/tow)",281.2044,.1664,208.5246,360.7442,N,281.2044
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1983,"Abundance (numbers/tow)",399.358,.1095,327.1146,470.7576,N,399.358
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1984,"Abundance (numbers/tow)",300.2969,.1462,229.8544,373.6489,N,300.2969
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1985,"Abundance (numbers/tow)",366.0431,.1275,291.974,449.273,N,366.0431
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1986,"Abundance (numbers/tow)",387.3259,.137,299.8975,479.9798,Y,
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1987,"Abundance (numbers/tow)",63.343,.1066,52.7516,75.3905,N,63.343
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1988,"Abundance (numbers/tow)",473.3561,.1086,390.1044,561.5998,Y,
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1989,"Abundance (numbers/tow)",364.4059,.1324,290.2174,445.3286,N,364.4059
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1990,"Abundance (numbers/tow)",302.094,.1177,244.918,364.2056,N,302.094
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1991,"Abundance (numbers/tow)",279.1014,.0877,239.4206,319.6348,Y,
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1992,"Abundance (numbers/tow)",773.8971,.235,492.7517,1104.7689,N,773.8971
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1993,"Abundance (numbers/tow)",160.6117,.2026,116.7645,222.3705,N,160.6117
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1994,"Abundance (numbers/tow)",478.1954,.1077,393.8063,566.5112,N,478.1954
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1995,"Abundance (numbers/tow)",198.6591,.1436,154.3969,247.5203,N,198.6591
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1996,"Abundance (numbers/tow)",192.9655,.1861,136.972,257.8366,Y,
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1997,"Abundance (numbers/tow)",334.5709,.134,262.5591,412.2701,Y,
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1998,"Abundance (numbers/tow)",203.6573,.1274,163.4531,249.8225,Y,
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,1999,"Abundance (numbers/tow)",697.1088,.1108,570.6504,828.3199,Y,
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,2000,"Abundance (numbers/tow)",679.6373,.1252,542.0473,821.2417,N,679.6373
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,2001,"Abundance (numbers/tow)",346.8239,.1679,255.538,445.2724,N,346.8239
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,2002,"Abundance (numbers/tow)",813.4438,.2069,555.745,1111.6781,N,813.4438
"SQUID, LONGFIN LOLIGO",082372,UNIT,NONE,10,"NMFS fall BTS",FALL,2003,"Abundance (numbers/tow)",404.0814,.2128,268.2252,545.771,N,404.0814
